sender,receiver,pair,pathway,ligand_is_complex,receptor_is_complex,ONFH_3A_vs_HOA_n_a,ONFH_3A_vs_HOA_n_b,ONFH_4_vs_ONFH_3A_n_a,ONFH_4_vs_ONFH_3A_n_b,ONFH_4_vs_HOA_n_a,ONFH_4_vs_HOA_n_b,SONFH_libraries_n,HOA_donors_n,ONFH_4_vs_ONFH_3A_median_a,ONFH_4_vs_ONFH_3A_median_b,ONFH_4_vs_ONFH_3A_delta,ONFH_4_vs_ONFH_3A_hodges_lehmann,ONFH_4_vs_ONFH_3A_rank_biserial,ONFH_4_vs_ONFH_3A_p,ONFH_4_vs_ONFH_3A_minimum_p_no_ties,ONFH_3A_vs_HOA_median_a,ONFH_3A_vs_HOA_median_b,ONFH_3A_vs_HOA_delta,ONFH_3A_vs_HOA_hodges_lehmann,ONFH_3A_vs_HOA_rank_biserial,ONFH_3A_vs_HOA_p,ONFH_3A_vs_HOA_minimum_p_no_ties,ONFH_4_vs_HOA_median_a,ONFH_4_vs_HOA_median_b,ONFH_4_vs_HOA_delta,ONFH_4_vs_HOA_hodges_lehmann,ONFH_4_vs_HOA_rank_biserial,ONFH_4_vs_HOA_p,ONFH_4_vs_HOA_minimum_p_no_ties,SONFH_libraries_vs_HOA_delta_descriptive,ONFH_3A_vs_HOA_fdr,ONFH_4_vs_ONFH_3A_fdr,ONFH_4_vs_HOA_fdr,abs_delta
NK,EC,CCL5 - ACKR1,CCL,False,False,3,1,3,3,3,1,1,1,6.232913017272949,4.204216480255127,2.0286965370178223,1.0324406623840332,0.33333333333333326,0.7,0.1,,,,,,,,,,,,,,,-2.3461709022521973,,1.0,,2.0286965370178223
Myeloid,EC,CXCL8 - ACKR1,CXCL,False,False,3,2,3,3,3,2,4,2,4.572141170501709,2.657808303833008,1.9143328666687012,1.1687226295471191,0.33333333333333326,0.7,0.1,2.657808303833008,5.783695220947266,-3.125886917114258,-0.9575158357620239,-0.6666666666666667,0.4,0.2,4.572141170501709,5.783695220947266,-1.2115540504455566,-0.5213664770126343,0.0,1.0,0.2,-4.591009140014648,1.0,1.0,1.0,1.9143328666687012
EC,Osteoblast,SELE - CD44,SELE,False,False,3,2,3,3,3,2,4,2,1.9685481786727905,0.5231807231903076,1.445367455482483,0.7935462668538094,0.5555555555555556,0.4,0.1,0.5231807231903076,0.6062633395195007,-0.08308261632919312,0.09029225632548332,0.0,1.0,0.2,1.9685481786727905,0.6062633395195007,1.3622848987579346,1.169383466243744,0.6666666666666667,0.4,0.2,0.598239004611969,1.0,1.0,0.9712962962962963,1.445367455482483
Osteoblast,EC,APP - CD74,APP,False,False,3,2,3,3,3,2,4,2,2.3001861572265625,3.657069683074951,-1.3568835258483887,-1.3568835258483887,-1.0,0.1,0.1,3.657069683074951,3.0308542251586914,0.6262154579162598,0.6262154579162598,0.33333333333333326,0.8,0.2,2.3001861572265625,3.0308542251586914,-0.7306680679321289,-0.7169793844223022,-1.0,0.2,0.2,-1.3078795671463013,1.0,1.0,0.9712962962962963,1.3568835258483887
Myeloid,EC,CXCL3 - ACKR1,CXCL,False,False,3,2,3,3,3,2,4,2,2.39359712600708,1.101216435432434,1.292380690574646,0.6748250722885132,0.33333333333333326,0.7,0.1,1.101216435432434,2.0116329193115234,-0.9104164838790894,0.1252627968788147,0.0,1.0,0.2,2.39359712600708,2.0116329193115234,0.38196420669555664,0.13111719489097595,0.0,1.0,0.2,-0.6616029739379883,1.0,1.0,1.0,1.292380690574646
EC,Plasma,APP - CD74,APP,False,False,3,2,3,3,3,2,2,2,3.390770673751831,4.666139602661133,-1.2753689289093018,-0.3178579807281494,-0.33333333333333337,0.7,0.1,4.666139602661133,4.52083683013916,0.14530277252197266,0.12211942672729492,0.0,1.0,0.2,3.390770673751831,4.52083683013916,-1.130066156387329,-0.9182436466217041,-0.33333333333333337,0.8,0.2,0.35338306427001953,1.0,1.0,1.0,1.2753689289093018
EC,NK,HLA-E - CD94:NKG2C,MHC-I,False,True,2,0,2,2,2,0,1,0,2.723660945892334,1.5220757722854614,1.2015851736068726,1.201585292816162,1.0,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,1.0,,1.2015851736068726
EC,T_cell,HLA-C - CD8A,MHC-I,False,False,3,2,3,3,3,2,4,2,1.3417381048202515,2.495190382003784,-1.1534522771835327,-0.8284996747970581,-0.7777777777777778,0.2,0.1,2.495190382003784,2.374509572982788,0.1206808090209961,-0.1714843511581421,-0.33333333333333337,0.8,0.2,1.3417381048202515,2.374509572982788,-1.0327714681625366,-0.8018752932548523,-0.6666666666666667,0.4,0.2,-1.3835620880126953,1.0,1.0,0.9712962962962963,1.1534522771835327
EC,Mast,CLEC2B - KLRB1,CLEC,False,False,2,2,3,2,3,2,1,2,0.9343714118003845,1.9832359552383423,-1.0488646030426025,-0.6211414337158203,-0.6666666666666667,0.4,0.2,1.9832359552383423,2.4492993354797363,-0.46606338024139404,-0.46606332063674927,-0.5,0.6666666666666666,0.3333333333333333,0.9343714118003845,2.4492993354797363,-1.514927864074707,-1.092068076133728,-0.6666666666666667,0.4,0.2,-1.7374293804168701,1.0,1.0,0.9712962962962963,1.0488646030426025
EC,EC,APP - CD74,APP,False,False,3,2,3,3,3,2,4,2,4.024628639221191,5.072628498077393,-1.0479998588562012,-0.5014727115631104,-0.7777777777777778,0.2,0.1,5.072628498077393,4.470578670501709,0.6020498275756836,0.37195730209350586,0.33333333333333326,0.8,0.2,4.024628639221191,4.470578670501709,-0.4459500312805176,-0.4459500312805176,-0.6666666666666667,0.4,0.2,-1.44277024269104,1.0,1.0,0.9712962962962963,1.0479998588562012
