,baseMean,log2FoldChange,inferential_status
PFDN5,2290.364984460715,-5.82581091816967,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
RGS5,169.68895528784728,-5.737417597211952,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
SPP1,1182.0096354701702,7.840171736659711,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
BCAP29,399.2080429053794,-4.010002115297296,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
F8,234.041465015788,-4.757812220845009,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
NUPR1,400.698513696772,-6.704839607291021,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
PSMA2,208.8947138088054,-3.9057102804207298,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
COQ8A,68.05165853280623,-5.813005513642921,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
COL12A1,356.17985420148574,6.091939113159655,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
CHRM3,199.04739030099068,-5.6380941921491114,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
RPL17,1002.9391326554938,-2.4490172876446055,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
DSG2,148.64987593604994,-4.7443717657501185,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
TIMP4,90.37312305874752,-4.39614162997834,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
MAP1B,1198.4327972817478,2.9108856794668454,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
SOCS2,805.4144994125297,-2.252294491824114,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
NDRG1,1113.4355630688765,-3.127648206511885,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
RPL7,5386.011830676466,-1.619034436862833,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
ABCF2,89.99370267264362,4.468257245487105,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
TXNIP,11592.22072968598,-2.7397257577632703,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
BCAT1,124.80732127406168,4.085867047680887,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
P2RY6,196.83383915733899,5.273704112606148,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
PYURF,342.1668603262641,-13.273383072395465,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
ATXN7,156.66485343201632,3.514075738767313,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
SELENOH,646.0772725845691,-2.029801488084846,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
LBH,657.6152558049017,2.359493325844658,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
IQSEC3,37.66437541776887,-6.536284354221151,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
DSC2,46.145397592474566,-5.559596961814139,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
POMK,69.65776348383504,4.119895617615303,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
COL6A3,342.83733307101204,4.659351675459887,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
ZNF676,28.804634103614042,-5.486489476801221,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
ARL17A,40.0893173445409,-4.228837620629326,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
RPL21,10686.189427039277,-1.5535658920701059,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
CTSK,187.02041236978494,5.051361943774575,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
RPS10,4089.0964770873916,-2.2182485382162143,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
COL6A2,2155.664715132647,3.2933917641528243,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
ZFP36,7873.85678344582,-2.803702697151792,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
LPL,106.18969019776488,-4.730474631058562,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
RPL26,14298.906080407427,-1.7879030728345915,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
NRG2,31.212694920974663,-4.31088423834682,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
MMP9,124.84878801608372,4.720296769462994,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
HBA2,38.2307047468812,-7.524498771429099,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
ZNF727,39.73292873491632,-3.320542100634569,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
AQP7,133.08898127057617,-3.902103490807713,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
ZNF320,52.998368302850345,5.195307908791418,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
LYVE1,271.10499075691604,3.987545882414795,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
PLIN2,4256.547499205592,-3.484061930746597,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
S100A3,62.36089054216736,4.3126211869960756,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
GPR146,413.0705232734948,-2.1126350329576664,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
CCDC3,511.38503660581745,2.7732479016349756,descriptive_only_four_SONFH_libraries_from_three_reported_patients_mapping_unavailable
