,selection_frequency
AMBRA1,0.8
FKBP8,0.8
GABARAPL2,0.8
YAP1,0.64
BNIP3L,0.56
TAX1BP1,0.56
ULK1,0.44
MAP1LC3B,0.32
ATG7,0.32
BAX,0.28
MFN1,0.28
BNIP3,0.24
BCL2L1,0.24
BCL2,0.24
NBR1,0.24
MTFR1L,0.2
AKT1,0.2
BID,0.2
NFKB1,0.16
MCL1,0.12
TSC1,0.12
TMEM173,0.08
INF2,0.08
TNF,0.08
GIGYF2,0.08
IKBKB,0.08
FIS1,0.08
EIF4EBP1,0.08
BBC3,0.04
DNM2,0.04
CALCOCO2,0.04
TEAD1,0.04
PINK1,0.04
MTFR1,0.04
WWTR1,0.04
RELA,0.04
ATG5,0.0
BCL2L13,0.0
BAK1,0.0
GIGYF1,0.0
GDAP1,0.0
DNM1,0.0
DNM1L,0.0
CHUK,0.0
CCL5,0.0
MST1,0.0
MIEF2,0.0
MIEF1,0.0
MFN2,0.0
MFF,0.0
IRF7,0.0
LATS1,0.0
LATS2,0.0
IL6,0.0
HIF1A,0.0
IRF3,0.0
CXCL10,0.0
GABARAP,0.0
FUNDC1,0.0
MTOR,0.0
MTCH2,0.0
RPTOR,0.0
RPS6KB1,0.0
RHEB,0.0
PMAIP1,0.0
PHB2,0.0
PLD6,0.0
OPA1,0.0
OPTN,0.0
TEAD4,0.0
TBK1,0.0
SQSTM1,0.0
TSC2,0.0
VDAC1,0.0
VCP,0.0
VDAC3,0.0
VDAC2,0.0
