sample,dataset,group,inferential_unit,independent_for_inference,lymphatic,typeH_EMCN_KDR,typeR_bone_remodel,venous_ACKR1
AL,sonfh_cystic,SONFH,sequencing_library,False,2.33433734939759,51.204819277108435,9.33734939759036,37.123493975903614
DWR,sonfh_cystic,SONFH,sequencing_library,False,0.0,57.98474085766904,13.470139436990266,28.5451197053407
S1,healthy,Healthy,participant,True,0.0,31.03448275862069,31.03448275862069,37.93103448275862
S2,healthy,Healthy,participant,True,0.0,27.86885245901639,26.229508196721312,45.90163934426229
S3,healthy,Healthy,participant,True,0.0,28.57142857142857,35.714285714285715,35.714285714285715
S4,healthy,Healthy,participant,True,0.0,17.24137931034483,37.93103448275862,44.827586206896555
WXJ,sonfh_cystic,SONFH,sequencing_library,False,0.0,51.12285336856011,23.91017173051519,24.9669749009247
bone,sonfh_cystic,SONFH,sequencing_library,False,0.0,53.914988814317674,14.541387024608502,31.543624161073826
fnf1,liao_alcohol,FNF,participant,True,0.0,42.857142857142854,0.0,57.14285714285714
fnf2,liao_alcohol,FNF,participant,True,0.0,28.440366972477065,32.56880733944954,38.99082568807339
hoa1,liao_alcohol,HOA,participant,True,0.0,26.923076923076923,34.61538461538461,38.46153846153847
hoa2,liao_alcohol,HOA,participant,True,0.0,37.58389261744966,20.709491850431448,41.70661553211889
hoa3,liao_alcohol,HOA,participant,True,0.0,34.078947368421055,18.552631578947366,47.368421052631575
onfh1,liao_alcohol,ONFH_3A,participant,True,0.0,50.444839857651246,25.26690391459075,24.288256227758005
onfh2,liao_alcohol,ONFH_3A,participant,True,0.0,31.746031746031743,20.634920634920633,47.61904761904761
onfh3,liao_alcohol,ONFH_3A,participant,True,0.0,35.34743202416919,18.429003021148034,46.22356495468278
onfh4,liao_alcohol,ONFH_4,participant,True,1.3333333333333335,45.33333333333333,20.0,33.33333333333333
onfh5,liao_alcohol,ONFH_4,participant,True,0.3184713375796179,33.43949044585987,15.605095541401273,50.63694267515923
onfh6,liao_alcohol,ONFH_4,participant,True,0.0,47.38461538461539,17.53846153846154,35.07692307692308
