,"Liao ONFH 3A vs HOA
(independent donors)","SONFH vs HOA
(descriptive libraries)"
BAX,0.552647437244084,0.9797457197731728
BAK1,0.7253302584636386,1.6475871404139684
SQSTM1,-0.4496132924894891,-1.2647045192072868
CALCOCO2,-0.1618604760298234,-1.298942922181739
BNIP3L,-0.182064337125504,-0.6366161237663946
MAP1LC3B,0.2008495553161473,-0.5471520266808791
GABARAP,0.1465256854065794,-0.8926687458206651
TBK1,-0.1617163592273582,1.004171419134998
TMEM173,0.4967266684770808,0.7048274116715848
CGAS,-0.7715725165633379,-0.9565213780458868
EIF4EBP1,0.8688132784417125,1.2966616294093305
DNM1L,0.2231339350166776,-0.1447061606880214
OPA1,0.1894060453370686,0.4122764765656687
MFN1,0.1346569152853086,0.6040123328215333
MFN2,0.1183243104338981,0.2934239089906052
