subtype,gene,panel,mean_expression,fraction,scaled_mean
Lymphatic,EMCN,Type H,0.16487689316272736,0.2058823529411765,0.0
Lymphatic,KDR,Type H,0.8462265729904175,0.8823529411764707,0.32580369790875446
Lymphatic,CDH5,Type H,1.438049554824829,1.0,0.4809492641992374
Lymphatic,DACH1,Type H,0.0,0.0,0.0
Lymphatic,SMAD1,Type R,1.3116447925567627,0.911764705882353,1.0
Lymphatic,PPARG,Type R,0.15193043649196625,0.2058823529411765,0.0
Lymphatic,NOTCH4,Type R,0.20774489641189575,0.35294117647058826,0.0
Lymphatic,COL4A1,Type R,2.180022716522217,1.0,0.7684972261153499
Lymphatic,ACKR1,Venous,0.030559809878468513,0.029411764705882353,0.0
Lymphatic,SELE,Venous,0.04497724771499634,0.058823529411764705,0.0
Lymphatic,VCAM1,Venous,0.0,0.0,0.0
Lymphatic,PLAT,Venous,1.423257827758789,0.8823529411764707,1.0
Lymphatic,LYVE1,Lymphatic,1.852279543876648,1.0,1.0
Lymphatic,PDPN,Lymphatic,2.504533052444458,1.0,1.0
Type H / EMCN-KDR,EMCN,Type H,1.6426775455474854,0.9039334341906289,1.0
Type H / EMCN-KDR,KDR,Type H,0.9189017415046692,0.6479576399394917,0.4825098493430301
Type H / EMCN-KDR,CDH5,Type H,1.4636938571929932,0.857639939485636,0.5222032772700399
Type H / EMCN-KDR,DACH1,Type H,0.20636531710624695,0.2021180030257204,0.8775320873368909
Type H / EMCN-KDR,SMAD1,Type R,0.6487514972686768,0.5411497730711095,0.0
Type H / EMCN-KDR,PPARG,Type R,0.16642016172409058,0.1609682299546156,0.060390489421266375
Type H / EMCN-KDR,NOTCH4,Type R,0.5022932291030884,0.41210287443268157,0.2852747690719194
Type H / EMCN-KDR,COL4A1,Type R,2.3645262718200684,0.9048411497730797,1.0
Type H / EMCN-KDR,ACKR1,Venous,1.4040201902389526,0.6226928895612767,0.740531218769753
Type H / EMCN-KDR,SELE,Venous,0.9830751419067383,0.49712556732224367,0.7048595301002449
Type H / EMCN-KDR,VCAM1,Venous,0.34734421968460083,0.28880484114977567,0.8845534366468909
Type H / EMCN-KDR,PLAT,Venous,0.8722219467163086,0.5019667170953148,0.4501661215519809
Type H / EMCN-KDR,LYVE1,Lymphatic,0.2961055040359497,0.26611195158850465,0.10495278614846378
Type H / EMCN-KDR,PDPN,Lymphatic,0.04181912913918495,0.04735249621785203,0.002023605221756126
Type R / bone-remodeling,EMCN,Type H,1.3635294437408447,0.7933333333333626,0.811105712156661
Type R / bone-remodeling,KDR,Type H,1.1588966846466064,0.7088888888889134,1.0
Type R / bone-remodeling,CDH5,Type H,1.7607016563415527,0.8711111111111448,1.0
Type R / bone-remodeling,DACH1,Type H,0.2351655513048172,0.21911111111111004,1.0
Type R / bone-remodeling,SMAD1,Type R,0.7888377904891968,0.5515555555555712,0.21132555452931545
Type R / bone-remodeling,PPARG,Type R,0.3918643295764923,0.3253333333333363,1.0
Type R / bone-remodeling,NOTCH4,Type R,1.2402523756027222,0.758666666666694,1.0
Type R / bone-remodeling,COL4A1,Type R,2.2458877563476562,0.8662222222222556,0.8511402917028765
Type R / bone-remodeling,ACKR1,Venous,0.15776346623897552,0.10088888888888851,0.06858463485629737
Type R / bone-remodeling,SELE,Venous,0.2272893488407135,0.1208888888888884,0.13698402131238102
Type R / bone-remodeling,VCAM1,Venous,0.18423916399478912,0.15333333333333266,0.4691869806399025
Type R / bone-remodeling,PLAT,Venous,0.42107170820236206,0.31155555555555775,0.0
Type R / bone-remodeling,LYVE1,Lymphatic,0.11362931877374649,0.10311111111111072,0.0
Type R / bone-remodeling,PDPN,Lymphatic,0.03682546317577362,0.03333333333333336,0.0
Venous / ACKR1,EMCN,Type H,1.612754464149475,0.8742277140335137,0.9797516117280617
Venous / ACKR1,KDR,Type H,0.6951295137405396,0.5507502206531523,0.0
Venous / ACKR1,CDH5,Type H,1.1390820741653442,0.7594880847307934,0.0
Venous / ACKR1,DACH1,Type H,0.16383641958236694,0.15931156222418216,0.6966854570038842
Venous / ACKR1,SMAD1,Type R,0.665084958076477,0.5500882612533289,0.0246396530541193
Venous / ACKR1,PPARG,Type R,0.2495984584093094,0.24492497793468423,0.40706221476986487
Venous / ACKR1,NOTCH4,Type R,0.3910816013813019,0.343556928508393,0.17756452971467737
Venous / ACKR1,COL4A1,Type R,1.5675442218780518,0.8053839364518816,0.0
Venous / ACKR1,ACKR1,Venous,1.8852559328079224,0.7599293909973424,1.0
Venous / ACKR1,SELE,Venous,1.3758777379989624,0.5913503971756533,1.0
Venous / ACKR1,VCAM1,Venous,0.3926774859428406,0.30317740511915625,1.0
Venous / ACKR1,PLAT,Venous,1.0024943351745605,0.5421447484554482,0.5801543402232904
Venous / ACKR1,LYVE1,Lymphatic,0.1731368452310562,0.15997352162400563,0.03422627829228147
Venous / ACKR1,PDPN,Lymphatic,0.05032999441027641,0.04832303618711374,0.005472500588493517
