pathway,pval,padj,NES,size
HALLMARK_ALLOGRAFT_REJECTION,2.25798638594842e-19,1.12899319297421e-17,2.53892245101427,179
HALLMARK_INTERFERON_GAMMA_RESPONSE,8.46500243796778e-16,2.11625060949194e-14,2.40252963451346,190
HALLMARK_INTERFERON_ALPHA_RESPONSE,4.99686067723294e-11,8.32810112872156e-10,2.35647939126227,94
HALLMARK_INFLAMMATORY_RESPONSE,9.22467876381339e-11,1.15308484547667e-09,2.19299204908346,177
HALLMARK_COMPLEMENT,2.66428494937386e-08,2.66428494937386e-07,2.0439975679121,172
HALLMARK_COAGULATION,3.58135893049401e-06,2.98446577541167e-05,1.97759295282563,97
HALLMARK_KRAS_SIGNALING_UP,1.28380054115166e-05,9.17000386536901e-05,1.81597305613604,169
HALLMARK_G2M_CHECKPOINT,1.79041280541861e-05,0.000111900800338663,-1.75203905957742,192
HALLMARK_TGF_BETA_SIGNALING,0.000242619767596372,0.00134788759775762,-1.90766147337181,52
HALLMARK_FATTY_ACID_METABOLISM,0.00035467581354704,0.0017733790677352,-1.71128650749721,136
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.000616070045738145,0.00280031838971884,1.5916272054932,187
HALLMARK_ANGIOGENESIS,0.00149667762316729,0.00623615676319703,1.78377545375268,28
HALLMARK_IL2_STAT5_SIGNALING,0.0016858137563895,0.00648389906303653,1.54142402941581,189
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.00358035327122795,0.0127869759686713,1.64201259510474,75
HALLMARK_UV_RESPONSE_DN,0.00556970002734551,0.0185656667578184,-1.48115879984588,135
HALLMARK_DNA_REPAIR,0.00638262099395849,0.0199456906061203,1.4762981406883,148
HALLMARK_APICAL_JUNCTION,0.0145366734674266,0.0427549219630193,1.39709390823079,161
HALLMARK_MTORC1_SIGNALING,0.0178268316738737,0.0495189768718714,1.37149031495811,195
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.0198882406011086,0.0523374752660752,1.36221879071223,200
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.0273795651476905,0.0651894408278346,-1.41320232968903,69
HALLMARK_UV_RESPONSE_UP,0.027059401590391,0.0651894408278346,-1.30781825567976,142
HALLMARK_NOTCH_SIGNALING,0.0526060164572608,0.119559128311956,-1.50771076030144,31
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.0583232077764277,0.126789582122669,1.2689878550947,193
HALLMARK_BILE_ACID_METABOLISM,0.0608886029120024,0.126851256066672,-1.28136822316332,86
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.0809464508094645,0.161892901618929,1.25589251710122,164
HALLMARK_GLYCOLYSIS,0.0935960591133005,0.179992421371732,1.23293827756145,174
HALLMARK_HYPOXIA,0.103864232890937,0.192341172020253,-1.19702450236119,172
HALLMARK_HEME_METABOLISM,0.121492750225396,0.216951339688207,-1.18104179749333,177
HALLMARK_SPERMATOGENESIS,0.133574007220217,0.230300012448649,-1.214925310521,77
HALLMARK_HEDGEHOG_SIGNALING,0.168674698795181,0.281124497991968,-1.22015673953663,29
HALLMARK_MITOTIC_SPINDLE,0.181818181818182,0.284090909090909,-1.11999401893023,194
HALLMARK_PEROXISOME,0.177777777777778,0.284090909090909,-1.16004785659274,87
HALLMARK_ADIPOGENESIS,0.224598930481283,0.340301409820126,-1.0864791493215,190
HALLMARK_ANDROGEN_RESPONSE,0.254445964432285,0.374185241812183,1.12541051921245,92
HALLMARK_APOPTOSIS,0.274213836477987,0.380852550663871,1.11446182713818,151
HALLMARK_P53_PATHWAY,0.27027027027027,0.380852550663871,1.10129527096437,186
HALLMARK_ESTROGEN_RESPONSE_LATE,0.30188679245283,0.407955124936257,1.0971932480782,153
HALLMARK_MYC_TARGETS_V2,0.35016835016835,0.440167682926829,-1.05923593278642,57
HALLMARK_PANCREAS_BETA_CELLS,0.352134146341463,0.440167682926829,1.09839156839958,14
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.345479082321188,0.440167682926829,1.07098665579546,108
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.384615384615385,0.469043151969981,-1.0342129279137,49
HALLMARK_MYOGENESIS,0.40125,0.477678571428571,1.03616775983472,158
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.433544303797468,0.504121283485428,-1.01369821942749,38
HALLMARK_XENOBIOTIC_METABOLISM,0.454317897371715,0.516270337922403,1.00523604460771,149
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.517711171662125,0.575234635180139,0.970985886735546,96
HALLMARK_APICAL_SURFACE,0.596385542168675,0.648245154531168,-0.926342860815475,35
HALLMARK_MYC_TARGETS_V1,0.685230024213075,0.728968110864973,0.901570167554446,195
HALLMARK_KRAS_SIGNALING_DN,0.820547945205479,0.854737442922375,0.815343765518438,95
HALLMARK_PROTEIN_SECRETION,0.946648426812586,0.965967782461822,0.709528086901556,92
HALLMARK_E2F_TARGETS,0.989024390243902,0.989024390243902,0.698216974616978,197
