sample,dataset,group,inferential_unit,independent_for_inference,Mito_fission,Mito_fusion,Mitophagy_core,cGAS_STING,EC_inflammation,YAP_mTOR
AL,sonfh_cystic,SONFH,sequencing_library,False,-0.05891341393151029,0.006539354567678867,0.051682162427555516,-0.03352822131428865,0.061905621238190975,-0.09664747231304047
DWR,sonfh_cystic,SONFH,sequencing_library,False,-0.008637602780973523,0.02348161125584673,0.07558804590694038,-0.01472818385699162,-0.16647742348955924,-0.061694688119366015
S1,healthy,Healthy,participant,True,-0.09105954487842666,0.008163718658625425,0.06643967265750865,-0.027422634423780397,0.08753493949094832,-0.11740943927737488
S2,healthy,Healthy,participant,True,-0.05417833507162524,-0.004682735166867386,0.047111810548986846,-0.032934719751666904,0.1615621236597161,-0.1273655059767551
S3,healthy,Healthy,participant,True,-0.03102954711103852,-0.013334941378992134,0.08439358482263251,-0.03525896985051978,0.1174103437098943,-0.06553607237575546
S4,healthy,Healthy,participant,True,-0.03334022955260787,0.021917787888029935,0.02240817552522021,0.013067699937984864,0.11774301800978915,-0.06010772399895493
WXJ,sonfh_cystic,SONFH,sequencing_library,False,-0.023786151321381895,0.005924593557192333,0.11800542656421381,0.09478346133714236,0.2739364834338283,-0.08293532393646366
bone,sonfh_cystic,SONFH,sequencing_library,False,-0.04563578479265672,0.012405917469325994,0.08652538694509225,-0.02350951935981058,0.16176837327567667,-0.04245905256608425
fnf1,liao_alcohol,FNF,participant,True,0.006724865425495584,-0.026327116939608423,0.14754227464410888,-0.08520665750726239,0.22529116031722785,-0.0032509748055821394
fnf2,liao_alcohol,FNF,participant,True,-0.024428266744590636,-0.016157568511004597,0.11626446941441947,-0.07762028928498217,-0.2067256911053422,-0.09451765166501022
hoa1,liao_alcohol,HOA,participant,True,-0.06466023408092342,0.013910413043879048,0.05606731344881165,-0.03175571160889393,0.2272592443176345,-0.09753318537274996
hoa2,liao_alcohol,HOA,participant,True,-0.06720660661669882,0.00043025581861978334,0.057100329216323804,-0.0449429292082216,0.11896507286838642,-0.09569410428783447
hoa3,liao_alcohol,HOA,participant,True,-0.06919780814979144,-0.005232466568697805,0.06859054658748784,-0.006553633600627577,0.4928129066339965,-0.09332267252313824
onfh1,liao_alcohol,ONFH_3A,participant,True,-0.05944675734012599,0.014228258147084167,0.04735937637889196,-0.0206625284717218,-0.0764410222607514,-0.11849070477496262
onfh2,liao_alcohol,ONFH_3A,participant,True,-0.06690731574164005,-0.016211963592990906,0.06666136594270576,0.014094397463334041,0.3866602974500292,-0.09829388167176928
onfh3,liao_alcohol,ONFH_3A,participant,True,-0.05853535083705345,-0.01837564008178568,0.1261190489270211,0.008631036955756751,0.7190770258358108,-0.05991219428586816
onfh4,liao_alcohol,ONFH_4,participant,True,-0.04359501530030073,-0.012053754693533043,0.03846930462575744,0.0029437621600947148,0.41944033939228914,-0.08778653981314764
onfh5,liao_alcohol,ONFH_4,participant,True,-0.06018171363280847,-0.012023612938721638,0.09118579839339179,-0.019930092733966044,0.5154255291396108,-0.08587466284249871
onfh6,liao_alcohol,ONFH_4,participant,True,-0.0748711435140787,-0.0004795105504444593,0.06690767390039686,0.011331562425524367,0.345555526606605,-0.09488346883688217
