sample,dataset,group,participant_id,inferential_unit,independent_for_inference,AR,ATF1,ATF2,ATF3,ATF4,ATF6,BACH1,CEBPA,CEBPB,CEBPD,CREB1,CTCF,E2F1,E2F2,E2F3,E2F4,EGR1,ELK1,EPAS1,ERG,ESR1,ESR2,ETS1,ETS2,ETV4,FLI1,FOS,FOSL1,FOXA1,FOXL2,FOXM1,FOXO1,FOXO3,FOXO4,GATA1,GATA2,GATA3,GLI2,HIF1A,HNF4A,HSF1,IRF1,JUN,JUND,KLF4,KMT2A,LEF1,MEF2C,MITF,MYB,MYC,MYCN,NFE2L2,NFIC,NFKB1,NFKB2,NR3C1,PAX5,POU2F1,PPARA,PPARG,RARA,RBPJ,REL,RELA,RELB,RFX5,RUNX1,RUNX3,RXRA,SMAD3,SMAD4,SOX10,SOX2,SOX9,SP1,SP3,SPI1,SREBF1,SREBF2,SRF,STAT1,STAT2,STAT3,STAT5A,STAT5B,STAT6,TAL1,TBP,TCF3,TCF7L2,TFAP2A,TFAP2C,TFDP1,TP53,TP63,TWIST1,USF1,USF2,VDR,WT1,YY1
AL,sonfh_cystic,SONFH,,sequencing_library,False,1.7239764116431626,1.2379594352623404,4.7047031669265165,-8.08246303497025e-05,0.2751329153200579,2.8319049920883304,-0.7232205552118356,-0.6424254218479142,0.49350631493209957,1.0343552734419355,0.5119565815707481,-0.498353177377569,0.5720894562634317,-1.2447690288337572,-0.6006799238577898,5.158186219845176,3.1998190561172843,2.692712744427257,0.9775909831579169,5.163574371470152,1.1947050280367826,2.696176815838906,2.9270226952408893,1.9185480763373917,3.5997825135879835,0.3860412276038884,1.8281407642025624,0.9116176375873439,2.370795650571247,0.24680751284194782,1.3783813517372077,1.648035057283456,1.7860660388879288,1.6656024006323933,-0.5882335799544058,2.552904021352997,0.028890156178834572,-0.4027451156351241,4.296455784316145,-1.0213734691917384,7.972187498101174,1.1389340113419064,3.6130045303531726,0.5023466657645145,0.5496317802196936,-0.035203709068252716,-0.15102359297544043,1.8954729049230175,0.9660755893394092,0.5878750652598794,8.541634449494437,0.11067641751755002,2.874452664174289,2.5854794305595235,3.2815968335848864,0.8802753493574493,0.25308450040602853,-0.5465568754865053,0.6837568230105271,-0.620731511271975,0.3044793125381579,0.9579443596919008,-0.07122333599260362,0.6768552768301482,1.8613875609004291,0.800039716483631,5.542044921910491,1.3878549590461289,1.0694582468932727,-0.10715184427714151,3.0597634994888603,2.7750614065314254,-1.1838699607358023,-0.2396707827993568,1.803268431328969,5.444618163939043,2.5160203624395003,0.45758062868154986,-0.1998548274634532,-0.17321709327362864,6.379371452546041,1.6194542684182496,1.4124279808031985,5.146574073918009,0.3305536107808043,0.33586044697168577,1.304581237753947,1.3050269171454598,2.163554684043478,-0.3706491306098414,-1.6405877222492196,0.6815907122853342,-0.9499101198030764,2.438147373979668,2.734264347159758,1.1347059490366271,0.039583652486008924,2.545364114158795,1.9179610408714993,2.6458077352603713,1.0022451118854039,0.7100883239250184
DWR,sonfh_cystic,SONFH,,sequencing_library,False,1.0832510855042696,1.0778466943782998,3.866640256608451,-0.4535000762455653,-0.1640501404337598,2.6306794700452385,-0.3091109143595467,-1.2436787791480686,-0.059386298184908384,0.11322064906593621,-0.11809885513421717,-0.35846627996405056,0.345776135620422,-1.163440339229903,-0.8661737925543695,5.195700967887612,3.141569511634989,1.756688908223337,0.8017143632009736,5.150155391682684,1.1458682035144034,1.3179957491947352,2.7383317319205,1.0781738216810235,4.278564711074378,0.3249397227167483,1.5933004172026568,0.03555386837034049,1.935601973103427,0.03603741409964759,1.8769266359446024,1.032467912227854,0.2937154773878404,0.6227325882224662,-0.4642689534474121,2.3527160119364434,0.2981429230320413,0.34971753214657436,3.50949854887843,-1.155021787065288,5.572120195867763,1.260227344729183,3.5409742992937696,-0.16599269652071688,-0.4297790511658787,-0.19888272284979663,0.23882667697952661,1.8772801516023823,0.6349160404326121,0.5308070582636406,7.966166802289764,0.27327649886898714,2.4916735182212215,1.698099230243856,2.6286809106393982,0.03577606440392756,0.3235592100934882,-0.3022700605391998,0.5662433538340844,-1.0195167600313586,-0.7445557603067622,0.8972161025012378,-0.6686593545212975,-0.27880584995746593,0.8230097951488804,0.3631314619208231,1.8928945992620652,1.4171988541035656,1.1062495098773855,-0.19187812016739098,2.0779713922462517,1.1802971038299122,-1.272797008629639,0.11047712494678855,0.3290439565236879,4.811180978271694,2.5613837241375523,0.01425244053305023,-0.13900813834144565,0.0676232255276914,6.725304190512251,0.9889251119162061,1.3254015315562138,3.61891436203109,0.7491813042084393,0.6170145489919083,1.018785708764224,1.409643255298108,2.5557215150380177,-0.36327595221075565,-1.719053259558423,0.8139541668794189,-1.08788013437372,2.8116498422778338,2.810841700774709,0.8476234689442516,0.19111070526940005,2.8584408159368175,1.8896566250701003,2.22668850320089,1.07353178279794,0.5570729517751003
S1,healthy,Healthy,GSE169396_S1,participant,True,2.171205092358608,1.9624934898397899,5.827078942917577,0.1038515007282208,0.7307912870923213,2.150907339406767,-1.066930705366986,0.44698629027273423,1.8572628686650006,0.7461013192827258,1.1793101015865104,-0.7300544451510306,0.9048609006978067,-1.3228897404551618,-0.5656540165239229,4.884023658743476,3.3641535198032253,4.143929932583212,0.060036352410574347,4.379555350786251,1.4428635521133262,3.4323516775765275,3.0100027834480385,2.2592233493567346,3.3519869751205835,-0.0009401605495073613,1.6638798411855888,0.306624833349728,2.2395114003026673,1.4454380712141068,1.047392987735757,3.0412775572462993,2.881151624723599,2.0789717425481564,0.05292158232184793,2.0120035362341993,-0.0390423355092943,-0.5103000368167826,3.361958459091877,-0.6723609559830049,4.2154785358035145,3.1523482286792763,3.0925572075887704,-0.21639603538846752,1.3168590573612784,-0.05255490831215015,-0.36025791747029706,3.619946277649056,0.7976961873171963,0.02704391161093774,6.672404634054084,-0.06648438315624547,2.3233905363077594,1.769994629915106,3.626875953631109,0.7443566331588837,0.3513248643283293,-0.589310361524682,-0.6837958556874603,0.25149379771797525,1.5151333779707887,1.1185649337317642,-0.18001041818196747,0.7305255020635438,2.137227058884272,1.1354109450314036,7.666541407763888,1.2513283530948816,0.7277771040326306,-0.3086844124977517,1.8366228801862514,3.051042302432806,-1.1401617204526882,-0.11683058428321932,1.8747156733397121,4.7972023677816775,2.2615963370673415,1.542388515816155,-0.19422716259785713,-0.3241695814791836,6.945271610242482,4.350461665967364,7.141154087430369,5.69452593349012,0.7369933285148338,0.8130976803230612,1.238612567637465,1.5111055268510427,1.886514030495772,0.0807619866356542,-1.3536314441331612,0.5041660792533789,-1.1939760641203585,1.8013244370305437,2.554411522206892,1.5809315341263444,0.7578339836003463,2.3257978201082223,2.855124810842772,2.621670242220671,1.2922158627473939,-0.025133947337515658
S2,healthy,Healthy,GSE169396_S2,participant,True,2.2690018885018093,1.9392371420185663,6.73708474753246,-0.11720938789148376,1.0052218836463915,2.2828332668149987,-0.8068803152308252,0.7633679016233188,2.0718102607589413,0.8081513979894119,1.481463168714783,-0.8023458724023156,0.7665158634833751,-1.1066012720859135,-0.14250136714879913,5.235134467621864,3.9082441244313015,4.1584306431097815,0.5815396820489469,4.099558444919106,1.645485865404139,3.6973363613223413,2.7119757014851733,2.659654467547333,2.8988291376879345,-0.3203169227336829,1.8434329533163816,0.611240701913228,1.5039092794931244,1.7484159019972392,1.0271497081303544,2.736042446524792,2.590018967873648,1.9294430014065853,0.5057134331500206,2.479136468565969,-0.3390813040198505,-0.09882969059471958,3.7756745881961375,-0.8541063304092256,5.28653215003552,1.900297298400172,3.767776510317539,0.24422748095118976,2.116158264718304,0.03248632176641565,-0.10298467405480322,3.4466001269239026,0.6412223666023638,0.2939149783992481,7.736981097070856,-0.26438155387357687,2.938775934787448,2.2083874405476625,3.9458483469667844,1.1199895624856457,0.29077161374269556,-0.6225171248456807,-0.18683876181278516,-0.057495125006764944,1.8573702710666582,1.4253453224719033,-0.026984450594851925,1.1558754367846775,2.6659790795951612,1.2678105995988456,6.344154151993169,0.9788718218045601,1.027953646302125,-0.03981687716528733,2.3647195170482695,3.3008544293940605,-0.9198458195052238,0.04314798605160131,2.066020385513535,5.2744338516028195,2.196630003681792,1.429706038416167,-0.1554023078636935,0.06827673127477087,6.79871254306492,2.7114427563462757,2.911540785945698,6.3123348912099155,0.7732729364642472,0.8305297184564235,1.3116945241352498,1.0792923063152942,2.24880882699859,-0.18555362330881103,-1.4405533278140457,0.7141744215817268,-0.985638384487186,2.0454603522278743,2.29891821697605,2.0415466227280015,0.3326324300774993,2.350430904196249,2.5384572648229877,3.1584825183481677,1.5565772160403655,0.41172886616442994
S3,healthy,Healthy,GSE169396_S3,participant,True,1.476299051120846,1.6562504908765976,3.8357472929697165,0.23634800569358577,0.5742266337205378,1.7204483774485035,-0.6031641577983891,0.28651081900189984,1.2941040006596605,1.6605266716565314,0.3922769633667109,-0.7916741935196724,0.6103725027636606,-1.0420769052157937,-0.5112178091387948,5.0326137747740525,2.8044259503270887,2.7300261930783707,0.7813316549879843,3.782421583019385,0.7984369442474846,1.426738490384864,1.8332333121389646,1.380351115480958,2.8749727018294386,-0.4548282448354878,1.2882547817067749,0.33384061142094634,1.282410242746434,1.0460353196718783,0.5965995404245337,1.1460942958385123,1.318072764792609,1.3584544504466274,0.13396840282513386,1.4890455414635542,-0.27720293389312156,-0.5822875972519513,3.8080190965148795,-1.051705444196023,4.314461265535876,0.8686202157584587,3.1155692818495715,0.4436950270949945,1.5073794454536713,-0.2753795796340449,-0.43499802586542424,2.3342527766155134,0.5457399104761043,-0.009215071303005523,9.017172607918,-0.48985400570933485,2.094920050935986,1.0111407408918032,2.9650879297023836,1.0760535226918142,0.15739564670309902,-0.7009942837817856,-0.30908035134092865,0.060587977893060696,0.8110620709774403,0.9045977173719119,-0.17655052139065988,0.9176104567289896,1.9764997963904745,1.4047265527254376,3.7215618038529845,0.8182884148487952,1.294255921772897,0.07484588651636676,1.5005552494329106,1.605325952337488,-0.9287958632060415,-0.2889068675600746,1.0131317402502356,4.15542919184804,1.172611657496135,0.4393422220562245,-0.23752386761873384,-0.03264060510308154,6.302829975476298,1.0009522566252491,0.9199569700868466,4.172186821761755,0.03574811418803649,0.19675012249862425,1.0280402643755007,0.8444986083502508,2.194021462321289,-0.3138508692999106,-1.742398439433515,0.3021829753200874,-0.8330644689654337,2.55934053658087,1.897387097132102,1.202880433248211,-0.13789526935340135,2.1656955943262504,1.659067209760194,2.6084069273354586,1.4036662639862327,0.144713303829943
S4,healthy,Healthy,GSE169396_S4,participant,True,2.109470582360648,1.8467796398775524,6.399603524365997,0.077699084785551,0.7173278900777429,1.6577303752296315,-0.8367093075285573,0.13672535525909107,1.9620175127665245,1.5874219803384781,1.306212747322207,-0.8791357179652934,0.5438452950091309,-1.1879175021532753,-0.09949149113770382,5.184327602309649,3.923810685270646,4.716273952402906,0.2855162442404923,3.989852441731974,1.8101702024670205,3.173738821659496,2.532802540135931,2.1740595992880856,3.4329651902012333,-0.8833306672629979,1.7202202124972095,0.8196261353079768,1.8923410384855017,1.5122279594773222,0.661786815808355,2.6299591032817498,2.3111549729131053,2.182617936069465,0.4007034259340492,2.12710269586933,-0.2648079540405813,-0.745361709936572,3.4689462619148577,-0.9716680949366062,4.558522651775898,1.4485122829728865,3.694482439684223,0.2670498697533747,2.557274628516672,0.3074837916175338,-0.3099723888478966,3.3229518208692976,1.03530221510736,0.5318378038979075,7.637697704450561,-0.6254694474106112,2.2999816875924335,1.1182242748096491,3.536973217909305,1.1865877145479038,0.6584704563643886,-1.0062270839227785,-0.2846005162662748,-0.4178328862539317,0.5975677150207661,1.2375165506521715,0.19573713190696443,1.3128934860948502,3.1394624783911724,1.4455824129042725,4.3188970125641415,1.302595003077046,1.2490372694527807,-0.1970590147937244,2.7104420395938185,3.6067079492352687,-0.8181485726122663,-0.233137166992681,1.9329652452332757,5.763241342711644,2.015971900998395,0.9328449447473989,0.24968181099703587,0.5803519594864947,7.925341860468364,2.653746114603584,3.246416984282888,6.572140349544526,0.47961630277747913,0.9286244532394098,1.561390862997031,0.9370671041611218,2.607262789485934,-0.22829490884080694,-1.7998235560962532,0.8616373442044429,-1.0646321746692957,2.4983557789967836,2.126843442528041,2.198625737773816,0.13406186236430837,2.038406757102335,2.4758358468610164,3.3263774938066706,1.741252558330936,0.013963942546046217
WXJ,sonfh_cystic,SONFH,,sequencing_library,False,1.6266600609615194,1.5787491645470648,5.236108087256834,0.05472940930184488,0.41279571341586924,3.6118871852269554,-0.5296737566602037,-0.2620139669944422,0.8299624388571848,0.8702049332386554,0.4858358313199971,-0.6048184440158191,0.5426318173271112,-1.3836376054280488,-0.9363413199242949,5.045466260713921,3.238391536774702,3.943604383906862,0.6874347209106784,4.026866080930069,0.9697602212829092,2.3514456334259237,3.286800197121264,1.913529666480625,3.4550089031634865,-0.6599969503686536,2.574493558447941,-0.14333180312219088,2.3419049504781797,1.9942788017636224,1.6156183053853932,1.7032203639611696,1.479126323950761,1.1006675511490345,-0.4926816775614291,1.8597222637510662,0.20441932111036215,-0.5455097736420226,4.164869620024056,-1.2986878563161217,6.69984722296004,2.4375891939797225,4.438227247203134,-0.09378361650871397,0.43709644898278865,-0.31337617056610384,-0.409075538514981,3.136400645992752,1.032308306119796,0.17988096402844148,8.195987254545567,-0.08163788688485775,2.855948022860307,1.1587779005212355,4.617305917162326,1.1575854084049981,0.29436326556411185,-0.8937757180277998,-0.3742763588675418,-0.1602791989145163,-0.12843827234276253,1.294775884976011,-0.5610536774222317,2.349047702343084,3.4735994607718848,2.0940465913258834,4.151597284455935,1.2637220636831075,1.2039262212438362,-0.21746188974716085,2.385505437314205,1.512120948313339,-1.2152433786631163,-0.15687239412470863,0.6186286128961698,4.839846830842809,2.184982807108783,0.8731896367367926,-0.10270326531151965,-0.052463487099203863,8.201132023085624,3.113986368390472,5.638787779178042,5.061808585304743,0.8181337215514127,0.2680736438398448,1.199254501638663,1.0338643543306143,1.9818003155712787,-0.11530628070701825,-1.4876598940414643,0.5333035636628424,-1.612206762318029,1.7367566087731767,1.9842926755887516,1.0129434928988077,0.45900373885293505,2.5203460962321564,2.4861522459532575,3.1214787895170124,1.40601303576412,0.5003434306184205
bone,sonfh_cystic,SONFH,,sequencing_library,False,1.5043178991260304,1.393459832760113,6.002028336957717,0.15948829128805714,0.3523763819261214,3.400305396420308,-0.848926519165255,-0.8309830656304865,0.7832442562623116,1.2425518586945412,0.49444154745986496,-0.6289914059023203,0.6971489476868127,-1.1177759535211365,-0.5234226161593555,5.179978466293392,4.3268384368806005,2.631292111295111,1.5336994413764005,5.133431547497285,1.4950149345063697,2.1954830074138907,3.1480320276079725,2.008415943995611,4.209114957841289,-0.13687207377709878,2.5140179983519984,0.9371636971534523,2.269593740480339,0.6462739955787308,1.8590927305510758,1.4120111621959899,1.5488481477148652,1.6919806003906466,-0.5870999060863596,2.739668187507217,0.511478545466028,-0.703871520923405,4.729745863110345,-0.9632930243168846,7.947382284696356,0.986383862801082,5.092673529224595,1.0920348557334958,0.4797484005371333,-0.02424280537580761,0.04980557377951772,2.5248862252933253,1.1929552888596993,0.8896853145514083,7.67264188666542,0.17115811270852574,3.1779255786128484,3.469300779540776,4.56723248067037,1.1322020106787813,0.45527816603871263,-0.7480361895626583,1.1855348974925488,-0.4461040663403059,0.06278029000490032,1.3776761535774298,-0.3433120406346316,1.3067400032059642,2.957222120241494,1.3157461507901564,1.699104373987381,1.2807647880523858,1.1899753148024206,-0.1516057834596256,5.169184005792138,2.1312293601251455,-1.2258085498978846,-0.03723820844229952,1.6886183501864405,6.183708494287167,3.2806172163038982,0.2673248184604808,-0.03144024746814668,0.2542653302312336,7.606267731018196,1.3084855204877903,0.879413794959193,5.553544415886096,0.4310318443883148,0.3931700630859113,1.1216781417369512,1.5156381764376434,3.320888268869374,-0.47992769054575696,-1.5339474248991214,0.9454694279706944,-1.1965661932319351,2.806151266783062,3.031359953926885,1.4878688915608949,0.19552481440658595,2.636568842706248,2.2454877871800654,2.793708420242157,1.3494315932971166,0.7943408553144702
fnf1,liao_alcohol,FNF,LIAO_fnf1,participant,True,1.6004246785248368,1.2471371929590986,2.7135147150689103,0.825224459543248,1.2846038135159723,1.6165431714659009,-0.7283695930398784,0.9220268164992085,1.4591580708502643,2.7094719092543533,-0.241423783998474,-0.7920205835128484,0.12727038862900722,-0.9094098998610731,-0.526830204912607,6.0115469962905665,1.9554422034680223,0.6898353974210689,1.1762142196609815,3.2805946647300828,0.21367924727860657,0.11234947611856312,0.6305928355183281,0.4336881059128737,2.5654688345179792,-0.09469117277446856,1.7342970056079507,0.6411903049093437,0.1966274046437027,1.2664723542515084,0.7941817456074859,1.33684661618479,0.6127060652051719,1.0103038297507385,-0.39481082685928154,1.4596979856684007,-0.9544394155048428,0.022298942233873905,4.586709618767778,-1.2636487147918876,4.792002568033103,0.9932093690346152,3.47794592965802,0.3059573649554959,0.5446900905157002,-0.6897382653810838,-0.3755932864390519,0.7215351143362975,-0.5627475366523785,-0.42842529393025064,11.310370466500698,-0.03252175443565998,3.1547392798842315,0.5221300955591265,3.527081670559497,1.08605675613833,0.21684873484396952,-0.572350727712941,-0.37142364174982617,0.05925193207233685,1.6564999952071022,0.16956573519235082,-0.582639727906731,0.8213241648056954,2.152242015074739,1.0456381692508534,1.670419706892049,-0.05986130875436056,0.6775963755031947,0.10177612839520198,0.7680565674202494,0.7069922245146705,-1.0650753472549446,-0.509391184652017,0.1494755264135528,3.847336025927382,0.6178365293666428,0.20206258267418495,-0.18967675425090813,0.4818727648863489,6.496012688187846,0.12660532976067773,0.4177201361400763,3.281515530832944,0.050485822114917034,0.08153233711948261,0.24197905349715013,0.3557588842173364,2.9459022653471876,-0.33051596946408085,-1.5294302068930459,0.3446857666327426,-0.9083447936372723,3.9007013206036047,2.6622234241405858,-0.01476261774062672,-0.6916537070079455,2.6090485330544113,1.6257939616307766,1.5279047340986696,1.1236936963166222,0.5329778181853493
fnf2,liao_alcohol,FNF,LIAO_fnf2,participant,True,1.4745178913561667,0.9686030684063094,3.7390093776599964,0.7780824283573995,0.5724334572809994,2.2622045834652087,-0.718078717456618,0.7208032752100184,0.8190044326860825,0.9356047879425703,-0.08054678759449484,-0.5865451903893675,0.5919797977375081,-1.1694104371236287,-0.8879220757000066,5.33796535193709,2.347953475160552,1.8787532247416536,0.6161055282810471,4.615834646863414,0.7277137357823247,2.203243575302267,1.6016831497689472,0.6473180928531772,2.6858165754310637,-0.0462439956208525,1.391709862430049,-0.22852192713554415,1.1888619565519243,0.45241098044761185,0.8243286681824079,2.0494542232594006,1.9235562804410429,1.128249181917212,-0.5076002844547886,1.5800711497048627,-0.8782658910285168,-0.14921841566914534,4.082968244617994,-0.9131205530989436,3.959552369509097,1.8431010895167783,2.525207379515266,-0.0237974090624767,0.13653430661636826,-0.4638633543109188,-0.40975394027995427,1.5641574221845282,-0.04989065781872882,-0.4517688451744826,8.856048384806563,0.3522964594253212,2.988362306443941,1.3951783800949733,2.479140206776324,0.009790559066188477,0.13406235831688437,-0.526637096353313,-0.16106477838220576,0.9306483824309828,3.69707871001654,0.18380532123960636,-0.7060038020667903,-0.16733826351642045,0.2261080779850441,0.4780253554174772,5.056463656971628,0.586912859047744,1.0756031762631595,0.6893423365035927,0.7162733207363116,0.9143502056762974,-0.8964851176828056,-0.6047769150602609,0.30839228407552544,4.4814369661882125,1.1202560889701667,0.5401382976993164,-0.0488631029554513,0.11745530257339051,5.605865394785862,1.4533455058729834,2.7190959267986243,3.3364684428449762,-0.007791399953507965,-0.06718194210151168,0.9480672779595373,0.4512797740649482,2.0751120246137944,-0.051561443262350494,-2.0610907104207588,0.5314259911682098,-0.7882124019644375,2.907117728673031,2.0935384392251963,0.4905355892410924,-0.021466244040272784,2.9790381280237144,2.7157668267173434,1.8253119004062746,0.6891507305757683,0.39308090471329615
