TF,Liao_KW_p,Liao_KW_method,ONFH_3A_vs_HOA_effect,ONFH_3A_vs_HOA_hodges_lehmann,ONFH_3A_vs_HOA_rank_biserial,ONFH_3A_vs_HOA_p,ONFH_3A_vs_HOA_minimum_p_no_ties,ONFH_4_vs_ONFH_3A_effect,ONFH_4_vs_ONFH_3A_hodges_lehmann,ONFH_4_vs_ONFH_3A_rank_biserial,ONFH_4_vs_ONFH_3A_p,ONFH_4_vs_ONFH_3A_minimum_p_no_ties,ONFH_4_vs_HOA_effect,ONFH_4_vs_HOA_hodges_lehmann,ONFH_4_vs_HOA_rank_biserial,ONFH_4_vs_HOA_p,ONFH_4_vs_HOA_minimum_p_no_ties,SONFH_libraries_vs_HOA_effect_descriptive,Liao_KW_fdr,ONFH_3A_vs_HOA_fdr,ONFH_4_vs_ONFH_3A_fdr,ONFH_4_vs_HOA_fdr
AR,1.0,"exhaustive permutation, tie-corrected",-0.04950774901643995,-0.022896914277847902,-0.11111111111111116,1.0,0.1,-0.04724446935880233,-0.0070871239151759635,-0.11111111111111116,1.0,0.1,-0.09675221837524228,0.04749890454190542,0.11111111111111116,1.0,0.1,-0.31972439881885406,1.0,1.0,1.0,1.0
ATF1,0.9928571428571429,"exhaustive permutation, tie-corrected",-0.05301946132998103,-0.05301946132998103,-0.11111111111111116,1.0,0.1,-0.20033687546169654,-0.025303478807433777,-0.11111111111111116,1.0,0.1,-0.25335633679167757,-0.13124716009167003,-0.11111111111111116,1.0,0.1,-0.5841911311793035,1.0,1.0,1.0,1.0
ATF2,0.25357142857142856,"exhaustive permutation, tie-corrected",-1.1860590406360298,-1.1860590406360298,-0.7777777777777778,0.2,0.1,0.8644097538439457,0.6023520945734484,0.5555555555555556,0.4,0.1,-0.32164928679208415,-0.3474048060745645,-0.5555555555555556,0.4,0.1,-0.8728774237117687,0.9764359351988219,1.0,1.0,1.0
ATF3,0.6285714285714286,"exhaustive permutation, tie-corrected",-0.050727749164320574,0.14113569511683835,0.11111111111111116,1.0,0.1,-0.20567062832460867,-0.20567062832460867,-0.5555555555555556,0.4,0.1,-0.25639837748892924,-0.25639837748892924,-0.33333333333333337,0.7,0.1,-0.14941069528518178,0.9764359351988219,1.0,1.0,1.0
ATF4,0.6642857142857143,"exhaustive permutation, tie-corrected",0.0044477854794122695,0.0044477854794122695,0.11111111111111116,1.0,0.1,-0.2784078094847193,-0.19174300269469668,-0.33333333333333337,0.7,0.1,-0.27396002400530706,-0.22702767790413228,-0.5555555555555556,0.4,0.1,-0.1916023412223432,0.9764359351988219,1.0,1.0,1.0
ATF6,0.8785714285714286,"exhaustive permutation, tie-corrected",0.2336488141359363,0.2336488141359363,0.33333333333333326,0.7,0.1,-0.19304846619866467,-0.19304846619866467,-0.11111111111111116,1.0,0.1,0.04060034793727163,0.04060034793727163,0.11111111111111116,1.0,0.1,1.1237053117059819,0.9764359351988219,1.0,1.0,1.0
BACH1,0.8285714285714286,"exhaustive permutation, tie-corrected",-0.074627420636456,-0.074627420636456,-0.11111111111111116,1.0,0.1,0.10733725894676405,0.10733725894676405,0.33333333333333326,0.7,0.1,0.03270983831030805,0.05106512863287582,0.33333333333333326,0.7,0.1,0.3118769323691749,0.9764359351988219,1.0,1.0,1.0
CEBPA,0.5107142857142857,"exhaustive permutation, tie-corrected",0.27712757572742824,0.27712757572742824,0.5555555555555556,0.4,0.1,-0.4114250001551214,-0.4114250001551214,-0.5555555555555556,0.4,0.1,-0.13429742442769319,0.02308591710771684,0.11111111111111116,1.0,0.1,-1.0366492381521735,0.9764359351988219,1.0,1.0,1.0
CEBPB,0.8285714285714286,"exhaustive permutation, tie-corrected",0.5150958198741161,0.4398196282111091,0.33333333333333326,0.7,0.1,-0.4069331331391841,-0.4069331331391841,-0.33333333333333337,0.7,0.1,0.10816268673493201,-0.01662077044151422,-0.11111111111111116,1.0,0.1,-0.31196540655557425,0.9764359351988219,1.0,1.0,1.0
CEBPD,0.9285714285714286,"exhaustive permutation, tie-corrected",0.18725488218864839,0.18725488218864839,0.11111111111111116,1.0,0.1,-0.05756136750992824,-0.05756136750992824,-0.11111111111111116,1.0,0.1,0.12969351467872015,0.12969351467872015,0.33333333333333326,0.7,0.1,-0.26557988174083746,0.9764359351988219,1.0,1.0,1.0
