Gene,rank_manuscript_hoa2,p_value_manuscript_hoa2,adjusted_p_value_manuscript_hoa2,rank_manuscript_hoa3,p_value_manuscript_hoa3,adjusted_p_value_manuscript_hoa3,rank_official_default_hoa2,p_value_official_default_hoa2,adjusted_p_value_official_default_hoa2,rank_official_default_hoa3,p_value_official_default_hoa3,adjusted_p_value_official_default_hoa3,mean_rank_across_profiles_and_donors,max_rank_across_profiles_and_donors,fdr_significant_all_profiles_and_donors,top10_all_profiles_and_donors
SQSTM1,1,6.560743276661e-51,1.9682229829983e-48,1,4.0984864746263e-52,1.22954594238789e-49,1,6.74835533929264e-50,2.0245066017877902e-47,1,7.3235936726355206e-59,2.19707810179066e-56,1.0,1,True,True
MT-ND1,2,0.0001343066199202,0.0131917894827253,3,0.0002355381286308,0.0235538128630823,6,0.261119879732254,0.999999999988552,2,8.87549888738178e-06,0.0013313248331072,3.25,6,False,True
MT-ATP6,3,0.0001407051649616,0.0131917894827253,4,0.0052308016604101,0.392310124530762,2,6.19628226182816e-10,9.29442339274224e-08,6,0.251800195107496,0.999999999994531,3.75,6,False,True
MT-ND4,4,0.0001758905264363,0.0131917894827253,6,0.0171897671727057,0.859488358635285,3,1.9142242584987e-07,1.9142242584987e-05,5,0.232689192203775,0.999999999994531,4.5,6,False,True
VWF,7,0.211744584551328,0.999999999996351,2,2.81522901404964e-05,0.0042228435210744,8,0.886187491927194,0.999999999988552,4,0.0871488792859556,0.999999999994531,5.25,8,False,True
MT-CO2,5,0.0002239781468038,0.0134386888082333,7,0.0409095969140746,0.999999999992947,5,0.160246478083043,0.999999999988552,8,0.696169650806442,0.999999999994531,6.25,8,False,True
NFKBIA,10,0.432600373046186,0.999999999996351,9,0.22452322742859,0.999999999992947,7,0.846072871281171,0.999999999988552,7,0.584863564299316,0.999999999994531,8.25,10,False,True
MT-CO1,6,0.0018265552023787,0.0913277601189391,10,0.255984391228789,0.999999999992947,4,0.0011151442726124,0.0836358204459298,14,0.755689229179315,0.999999999994531,8.5,14,False,False
ENG,8,0.252004488014306,0.999999999996351,8,0.0559070593647884,0.999999999992947,14,0.941822609117061,0.999999999988552,9,0.702448313695406,0.999999999994531,9.75,14,False,False
ICAM1,9,0.430360156634065,0.999999999996351,13,0.451231661866802,0.999999999992947,9,0.923339089756366,0.999999999988552,13,0.754800721056548,0.999999999994531,11.0,13,False,False
MCL1,20,0.677585359940396,0.999999999996351,15,0.467659189322375,0.999999999992947,10,0.925884742606178,0.999999999988552,10,0.711662478081298,0.999999999994531,13.75,20,False,False
C7,22,0.711823691793984,0.999999999996351,5,0.009902975690476,0.59417854142856,33,0.969223687946116,0.999999999988552,3,0.0008191939525441,0.0819193952544131,15.75,33,False,False
KDM6B,24,0.733695606798766,0.999999999996351,14,0.466395034262961,0.999999999992947,19,0.9489756187301,0.999999999988552,11,0.71739162425801,0.999999999994531,17.0,24,False,False
SELE,12,0.600817960715528,0.999999999996351,12,0.398669137246541,0.999999999992947,35,0.972777092255867,0.999999999988552,16,0.832202309600528,0.999999999994531,18.75,35,False,False
TIPARP,37,0.838120894912733,0.999999999996351,16,0.496094310631457,0.999999999992947,20,0.952495469150316,0.999999999988552,12,0.724826648379745,0.999999999994531,21.25,37,False,False
ADAMTS4,29,0.798487900126591,0.999999999996351,27,0.71974607134393,0.999999999992947,12,0.940426540722248,0.999999999988552,18,0.849686326070703,0.999999999994531,21.5,29,False,False
ADGRG6,23,0.712362258056428,0.999999999996351,11,0.370545895747061,0.999999999992947,49,0.9838475217508,0.999999999988552,19,0.857175204016092,0.999999999994531,25.5,49,False,False
CXCL2,14,0.64165570085778,0.999999999996351,45,0.858656910206353,0.999999999992947,13,0.940630772888454,0.999999999988552,35,0.939473630965977,0.999999999994531,26.75,45,False,False
MIR222HG,16,0.66473815442703,0.999999999996351,37,0.811849108281145,0.999999999992947,29,0.96469999743164,0.999999999988552,26,0.905170376152173,0.999999999994531,27.0,37,False,False
CKS2,28,0.795636271303548,0.999999999996351,42,0.842465953515933,0.999999999992947,11,0.939582919408353,0.999999999988552,28,0.912829811666811,0.999999999994531,27.25,42,False,False
SERPINE1,43,0.870628727874287,0.999999999996351,39,0.81514983922116,0.999999999992947,21,0.952920023212543,0.999999999988552,23,0.889402038647305,0.999999999994531,31.5,43,False,False
C11orf96,52,0.902065227904422,0.999999999996351,26,0.699251853987339,0.999999999992947,31,0.968793578929646,0.999999999988552,21,0.879887405690588,0.999999999994531,32.5,52,False,False
NR4A2,25,0.761262620466661,0.999999999996351,40,0.824230634047028,0.999999999992947,36,0.973655836133183,0.999999999988552,31,0.928249328631079,0.999999999994531,33.0,40,False,False
HBEGF,62,0.925270850791,0.999999999996351,32,0.771115153494712,0.999999999992947,24,0.955827621955809,0.999999999988552,20,0.870684004132688,0.999999999994531,34.5,62,False,False
MAP1LC3B,46,0.87914198062507,0.999999999996351,44,0.844219954951752,0.999999999992947,17,0.944825077652181,0.999999999988552,41,0.952861460026912,0.999999999994531,37.0,46,False,False
SLC25A44,26,0.78124694120034,0.999999999996351,59,0.916513405266223,0.999999999992947,28,0.964316554977245,0.999999999988552,40,0.952171162594245,0.999999999994531,38.25,59,False,False
EGR1,15,0.644863197500372,0.999999999996351,52,0.879066095354685,0.999999999992947,45,0.979940250653588,0.999999999988552,42,0.953124693897085,0.999999999994531,38.5,52,False,False
C2CD4B,63,0.925519234368921,0.999999999996351,31,0.760488383413232,0.999999999992947,39,0.97579314269537,0.999999999988552,24,0.890021008072092,0.999999999994531,39.25,63,False,False
SOD2,33,0.816173100630084,0.999999999996351,54,0.885621133884094,0.999999999992947,42,0.978059781300561,0.999999999988552,37,0.944542770550639,0.999999999994531,41.5,54,False,False
AKAP12,32,0.806668010431437,0.999999999996351,55,0.895321575844958,0.999999999992947,47,0.982034905688025,0.999999999988552,47,0.965422450853477,0.999999999994531,45.25,55,False,False
MT2A,53,0.904123691778485,0.999999999996351,60,0.921655890150526,0.999999999992947,25,0.95808473957705,0.999999999988552,43,0.95579734714329,0.999999999994531,45.25,60,False,False
ATF3,39,0.853232805244475,0.999999999996351,68,0.951795869579112,0.999999999992947,26,0.958197936385536,0.999999999988552,49,0.96632878256133,0.999999999994531,45.5,68,False,False
HMOX1,61,0.919463140975581,0.999999999996351,56,0.897970318863589,0.999999999992947,32,0.968830961645135,0.999999999988552,33,0.930622810066316,0.999999999994531,45.5,61,False,False
NR4A1,19,0.675685487184511,0.999999999996351,88,0.98146452372622,0.999999999992947,22,0.953426876646914,0.999999999988552,55,0.976556097813919,0.999999999994531,46.0,88,False,False
EGR3,35,0.822341785114794,0.999999999996351,79,0.975465874032671,0.999999999992947,23,0.95485351444013,0.999999999988552,48,0.965801422924356,0.999999999994531,46.25,79,False,False
ICAM4,21,0.694644339497901,0.999999999996351,69,0.961027767370414,0.999999999992947,43,0.978687498200893,0.999999999988552,57,0.977633401287067,0.999999999994531,47.5,69,False,False
TNFAIP3,40,0.862306246133662,0.999999999996351,17,0.553692066576605,0.999999999992947,118,0.995725786656165,0.999999999988552,15,0.776120086255859,0.999999999994531,47.5,118,False,False
MSX1,75,0.953083270438305,0.999999999996351,51,0.872959487596729,0.999999999992947,34,0.9722505331047,0.999999999988552,36,0.940899661083921,0.999999999994531,49.0,75,False,False
PECAM1,38,0.846349943791768,0.999999999996351,57,0.899447529902444,0.999999999992947,18,0.945739569598546,0.999999999988552,83,0.990857204474777,0.999999999994531,49.0,83,False,False
UQCRB,51,0.900969171298932,0.999999999996351,20,0.642537191059419,0.999999999992947,70,0.989715797542107,0.999999999988552,66,0.983482557655243,0.999999999994531,51.75,70,False,False
