"donor","gene","wt_outgoing_weight","ko_outgoing_weight","absolute_wt_weight"
"hoa3","NFKBIA",0.171,0,0.171
"hoa3","VWF",-0.149,0,0.149
"hoa3","MCL1",0.146,0,0.146
"hoa3","KDM6B",0.144,0,0.144
"hoa3","TIPARP",0.132,0,0.132
"hoa3","MT-ND1",-0.124,0,0.124
"hoa3","ICAM1",0.118,0,0.118
"hoa3","TNFAIP3",0.118,0,0.118
"hoa3","MT-ATP6",-0.09,0,0.09
"hoa3","ADAMTS4",0.089,0,0.089
"hoa3","C7",-0.088,0,0.088
"hoa3","SELE",0.088,0,0.088
"hoa3","C11orf96",0.083,0,0.083
"hoa3","NFE2L2",0.083,0,0.083
"hoa3","HBEGF",0.079,0,0.079
"hoa3","MT-ND4",-0.079,0,0.079
"hoa3","HIF1A",0.069,0,0.069
"hoa3","MT-CO2",-0.068,0,0.068
"hoa3","C2CD4B",0.067,0,0.067
"hoa3","SERPINE1",0.066,0,0.066
"hoa3","NR4A2",0.065,0,0.065
"hoa3","ENG",-0.064,0,0.064
"hoa3","MIR222HG",0.062,0,0.062
"hoa3","B3GNT5",0.06,0,0.06
"hoa3","MAP1LC3B",0.06,0,0.06
"hoa3","MIR22HG",0.057,0,0.057
"hoa3","SYNJ2",0.057,0,0.057
"hoa3","CKS2",0.056,0,0.056
"hoa3","ADAMTS9",0.055,0,0.055
"hoa3","MSX1",0.053,0,0.053
"hoa3","CXCL2",0.051,0,0.051
"hoa3","BIRC3",0.05,0,0.05
"hoa3","PHLDA1",0.048,0,0.048
"hoa3","PECAM1",-0.046,0,0.046
"hoa3","SOD2",0.046,0,0.046
"hoa3","CALCOCO2",-0.045,0,0.045
"hoa3","HMOX1",0.042,0,0.042
"hoa3","PIM1",0.042,0,0.042
"hoa3","EGR1",0.04,0,0.04
"hoa3","SLC25A44",0.04,0,0.04
"hoa3","AKAP12",0.039,0,0.039
"hoa3","MT-CO1",-0.037,0,0.037
"hoa3","MT2A",0.035,0,0.035
"hoa3","ADGRG6",-0.03,0,0.03
"hoa3","CCL2",0.027,0,0.027
"hoa3","ATF3",0.025,0,0.025
"hoa3","ICAM4",0.023,0,0.023
"hoa3","CAT",-0.022,0,0.022
"hoa3","ATP13A3",0.021,0,0.021
"hoa3","NFKB1",0.021,0,0.021
"hoa3","WWTR1",0.021,0,0.021
"hoa3","KCNQ1OT1",0.02,0,0.02
"hoa3","CLDN5",-0.019,0,0.019
"hoa3","CR381670.1",-0.019,0,0.019
"hoa3","EGR3",0.018,0,0.018
"hoa3","NR4A1",0.018,0,0.018
"hoa3","TEK",-0.018,0,0.018
"hoa3","ACKR1",-0.016,0,0.016
"hoa3","EMCN",-0.016,0,0.016
"hoa3","F8",-0.016,0,0.016
"hoa3","PRDX2",-0.016,0,0.016
"hoa3","UQCRB",-0.016,0,0.016
"hoa3","CXCL3",0.015,0,0.015
"hoa3","GADD45G",0.015,0,0.015
"hoa3","MET",-0.015,0,0.015
"hoa3","ATP5F1A",-0.014,0,0.014
"hoa3","CGAS",0.014,0,0.014
"hoa3","GCNT2",0.014,0,0.014
"hoa3","PLEKHG2",0.014,0,0.014
"hoa3","RASGEF1B",0.014,0,0.014
"hoa3","RGS16",0.014,0,0.014
"hoa3","VCAN",-0.014,0,0.014
"hoa3","CXCL12",0.013,0,0.013
"hoa3","F2RL3",0.013,0,0.013
"hoa3","FBLN2",-0.013,0,0.013
"hoa3","NSUN6",0.013,0,0.013
"hoa3","SOD1",-0.013,0,0.013
"hoa3","ZNF331",0.013,0,0.013
"hoa3","ANKRD29",-0.012,0,0.012
"hoa3","ATP5MC1",-0.012,0,0.012
