"donor","state","gene","PC1","PC2"
"hoa2","WT","AC002558.3",0.000489868138137757,0.00436852974480294
"hoa2","WT","AC010359.3",-0.0019129189616001,0.00322146077119306
"hoa2","WT","AC091271.1",-0.00708368264023628,0.00439002818248295
"hoa2","WT","AC109326.1",0.0040194922051706,0.00190321396653242
"hoa2","WT","ACE",0.00727795831616128,6.57140447740016e-05
"hoa2","WT","ACKR1",0.0405976703590118,-0.00806147456358004
"hoa2","WT","ADAMTS1",-0.00217464467119472,0.00381479645413209
"hoa2","WT","ADAMTS4",-0.00385092557721265,0.00416603408299035
"hoa2","WT","ADAMTS6",0.00719097151210391,2.77316643485633e-05
"hoa2","WT","ADAMTS9",0.00277686341056467,0.00223634721472638
"hoa2","WT","ADGRG6",0.00837688908639201,0.00197433106669983
"hoa2","WT","ADM",-0.00308856825069259,0.00403196538539954
"hoa2","WT","AFG3L2",-0.000818875544956147,0.00454920600611651
"hoa2","WT","AKAP12",-0.00440134235924336,0.00392778595517265
"hoa2","WT","AKT1",-0.00634564238861908,0.00486693634449581
"hoa2","WT","ANKRD29",0.00856221276332964,-0.000503411102101671
"hoa2","WT","ANKRD42",-0.00371405862675833,0.0043779098867001
"hoa2","WT","APOD",-0.000246705517906462,0.00192884621628238
"hoa2","WT","AQP7",0.00655350415369259,0.000354088666111796
"hoa2","WT","ARL15",0.00437144973977125,0.00134248051460006
"hoa2","WT","ARL4C",0.000364422367589575,0.00285946105489897
"hoa2","WT","ATF3",-0.0059866058382084,0.00507161682636888
"hoa2","WT","ATG5",-0.000222569606109542,-0.000301055596107703
"hoa2","WT","ATP13A3",0.00615550437298215,0.000446766540303075
"hoa2","WT","ATP5F1A",-0.0100555163096107,0.00650045500911098
"hoa2","WT","ATP5F1B",-0.00790788467349112,0.00593515640305288
"hoa2","WT","ATP5MC1",-0.00953163670240819,0.00718419881140336
"hoa2","WT","ATP8A1",0.00603515632449505,0.000658324312997525
"hoa2","WT","B3GNT5",-0.0017450582552728,0.00347542479365327
"hoa2","WT","BAX",-0.00795351377954354,0.00613465677627118
"hoa2","WT","BCL2L1",-0.000304900593276506,0.00237712323090095
"hoa2","WT","BCL2L13",-8.01029402407528e-05,0.00266976749078642
"hoa2","WT","BGN",-0.00247380846651621,0.00379938634607197
"hoa2","WT","BID",-0.00579786762708812,0.00459061921956796
"hoa2","WT","BIRC3",-0.00215611055608504,0.00406220288391618
"hoa2","WT","BMP4",-0.0291077613069424,0.00678861222651274
"hoa2","WT","BNIP3",-0.121618234634444,-0.00462418973272873
"hoa2","WT","BNIP3L",-0.00586583262792973,0.00559285580910247
"hoa2","WT","BTNL9",0.0109249156083099,-0.00145840781720416
"hoa2","WT","C11orf96",-0.00585309701269458,0.00496770619152642
"hoa2","WT","C1orf54",0.000586096427115415,0.00277859360348118
"hoa2","WT","C2CD4B",-0.00549632374450702,0.00514202089813938
"hoa2","WT","C7",0.0105565600710534,-0.000498163953254496
"hoa2","WT","CALCOCO2",-0.00707941088925027,0.00591239092444588
"hoa2","WT","CAT",-0.00347982204993686,0.107751483211297
"hoa2","WT","CBWD5",-0.00258977478776458,0.00629358061415004
"hoa2","WT","CCL2",-0.00434552273286032,0.00447986434052079
"hoa2","WT","CCL23",-0.00199884031619474,0.00225009429761347
"hoa2","WT","CCN1",-0.0027117532894573,0.00438613218376023
"hoa2","WT","CCN2",3.87843019291611e-14,-4.75201538540504e-14
"hoa2","WT","CCND1",-0.00431665346913033,-0.0120025313980876
"hoa2","WT","CD14",-0.000860300478583434,0.0026700897544209
"hoa2","WT","CD300LG",0.0105730894355383,-0.00411096221481746
"hoa2","WT","CD83",-0.00511801351040564,0.00512969980635177
"hoa2","WT","CDH13",0.00852063024248154,-0.000371912592253812
"hoa2","WT","CGAS",8.54647747833519e-06,3.64779092970255e-05
"hoa2","WT","CKS2",-0.00569392028695447,0.00497176158537923
"hoa2","WT","CLDN5",0.0068043856794381,0.00013644772824639
"hoa2","WT","CLPP",-0.000117374092500543,-0.00077275344346224
"hoa2","WT","CNKSR3",-0.00102107633255176,0.00295623148512164
"hoa2","WT","COX4I1",-0.010091707786911,0.00723134793850868
"hoa2","WT","COX5A",-0.00691029656860891,0.00601940839390962
"hoa2","WT","COX6C",-0.0100935864893604,0.00723999367266156
"hoa2","WT","COX7A2",-0.00746056786573609,0.00607211510519115
"hoa2","WT","CR381670.1",-0.216382522249107,0.00510376437868679
"hoa2","WT","CREB5",-0.00226598319800115,0.00394027469782557
"hoa2","WT","CRIP1",0.00216808178669161,0.00231359605994229
"hoa2","WT","CX3CL1",-0.000549294990493585,0.00249701525586546
"hoa2","WT","CXCL12",0.00643356318333719,0.000198779669770329
"hoa2","WT","CXCL2",-0.00531738658743779,0.00450539144279738
"hoa2","WT","CXCL3",-0.00341932561937398,0.00380643592910066
"hoa2","WT","CXCR4",-0.000180423507785915,0.00155069878808164
"hoa2","WT","CYP1B1",-0.0109991155271655,0.00335805278238433
"hoa2","WT","DDHD1",0.000600591292366617,0.00275662432615327
"hoa2","WT","DEPP1",0.00766712048193206,-0.000194126678634855
"hoa2","WT","DGKE",0.00708857039577186,0.00033216477970536
"hoa2","WT","DLL4",0.000717232445563276,-8.88570007882645e-05
"hoa2","WT","DNAJA4",5.52462793733099e-06,0.00237040688224738
"hoa2","WT","DNM1L",-0.00527149472061859,0.00459107257281188
"hoa2","WT","DNM2",-2.02499228458415e-05,-0.000392447298766262
"hoa2","WT","DUSP2",-0.0055532217412728,0.00559941228114562
"hoa2","WT","DUSP4",-0.00165503678170225,0.00259339146584802
"hoa2","WT","ECRG4",-0.000231923215643692,0.000601659075889697
"hoa2","WT","EDN1",0.00608337574183271,0.000631791678447613
"hoa2","WT","EDNRB",0.00283658238868765,0.00154134726500377
"hoa2","WT","EFNB1",0.00910176619192183,-0.000647902409882148
"hoa2","WT","EGR1",-0.00912582902619224,0.00582393574534148
"hoa2","WT","EGR3",-0.00343075053890611,0.00392189056562302
"hoa2","WT","EIF4EBP1",0.00110807341134364,0.000596904541489703
"hoa2","WT","EMCN",-0.00751721502784347,0.00509422304644464
"hoa2","WT","EMP3",0.000762890250725807,0.00282131718731562
"hoa2","WT","ENG",0.00192454686396417,0.00297924459037126
"hoa2","WT","ERO1B",-0.000460915656010146,0.00303304193138414
"hoa2","WT","F2RL3",2.20259398369852e-13,-2.41801437734938e-13
"hoa2","WT","F8",-0.00228608317162486,0.00250927124049349
"hoa2","WT","FAM107A",0.00612309533876699,0.000562890376049269
"hoa2","WT","FAM184A",-0.0325568491103284,-0.636058646525175
"hoa2","WT","FAN1",0.000470525501263667,0.00114657480953911
"hoa2","WT","FBLN2",0.00337912572993036,0.00185751850248674
"hoa2","WT","FILIP1",0.00869851455234627,-0.000385631881987364
"hoa2","WT","FILIP1L",0.00175204149042928,0.00240905320060013
"hoa2","WT","FIS1",-0.0202535170304087,0.000926710689293809
"hoa2","WT","FKBP8",-0.0288831518418558,-0.000450460437638168
"hoa2","WT","FLT1",-0.0181118300969811,-0.22903690630085
"hoa2","WT","FMO2",0.00143004931788174,0.00370599761869874
"hoa2","WT","FUT8",0.0064106589708485,0.00038890117762058
"hoa2","WT","GABARAP",-0.00678065674107881,0.00547649819797727
"hoa2","WT","GABARAPL2",-0.00233954106079746,0.00464173205832059
"hoa2","WT","GABPA",-0.00977680416089676,0.00720818852317094
"hoa2","WT","GABRB2",-0.00150152872648641,-0.00815120726880272
"hoa2","WT","GADD45G",-0.00556324752575895,0.00522244574244601
"hoa2","WT","GBP1",-0.007028099994852,0.00608352005503958
"hoa2","WT","GCNT2",0.00481578499462016,0.00186049175625681
"hoa2","WT","GIGYF1",0.0002290516014966,-0.00186531514894385
"hoa2","WT","GIGYF2",-0.00500651596382967,0.00540538468816828
"hoa2","WT","GPRC5A",0.000110580497635769,0.00279184606981155
"hoa2","WT","GPRC5B",0.00656414532235136,0.000643530704843849
"hoa2","WT","GPX4",-0.00910832745146264,0.00652479413635941
"hoa2","WT","H19",0.00659491875986761,0.000527561182939859
"hoa2","WT","HBEGF",-0.0059220219618913,0.00532872449051139
"hoa2","WT","HES1",-0.00916267580266975,0.00621750518199907
"hoa2","WT","HIF1A",-0.00428537183123839,0.00466022493801736
"hoa2","WT","HLA-DQA1",-0.0044000914834177,0.00458456694859194
"hoa2","WT","HMOX1",-0.00685618828793655,0.0054846349860133
"hoa2","WT","HSPD1",-0.00944829366077405,0.00682678696001021
"hoa2","WT","HSPE1",-0.00791595591078627,0.00648955973012101
"hoa2","WT","HTRA2",-0.000166438448775284,-0.00180453874925272
"hoa2","WT","ICAM1",-0.00627936017409574,0.00479636007552906
"hoa2","WT","ICAM4",-0.00525031717030145,0.00430582662966665
"hoa2","WT","IER3",-0.00594635897978299,0.00473076003952359
"hoa2","WT","IFIT1",-0.002961934036023,0.00393634208663112
"hoa2","WT","IFIT2",0.00017681301177592,-0.00277063449320086
"hoa2","WT","IFIT3",-0.00595962734103759,0.00599575309666838
"hoa2","WT","IFT88",-0.00144442126236095,0.00196041754553955
"hoa2","WT","IGFBP5",-0.00265749388389753,0.00411771347029359
"hoa2","WT","IKBKB",0.00133697743586245,0.00233451579769267
"hoa2","WT","IL32",0.00577983377962118,0.000799057729799035
"hoa2","WT","INF2",0.000563376841310574,-0.000681321112783209
"hoa2","WT","INHBB",-0.00427111748524581,0.00515505451228054
"hoa2","WT","INMT",-0.010199147273847,0.00698062429547629
"hoa2","WT","IRF3",0.224267579665521,-0.0107570783042733
"hoa2","WT","IRF7",-3.38718616698607e-13,3.1789311879575e-13
"hoa2","WT","ISG15",-0.000984321780448816,0.00333879775846931
"hoa2","WT","JAG1",0.0060389874892603,0.00061079646517194
"hoa2","WT","JAG2",0.00731197363493961,-9.53736044454746e-05
"hoa2","WT","KCNQ1OT1",0.000409852884755495,0.00173098616061586
"hoa2","WT","KDM6B",-0.00448034216509055,0.00434796703770891
"hoa2","WT","KDR",-0.0136978659638186,0.0135854888346728
"hoa2","WT","KEAP1",-0.00580316562670548,0.00586707677529772
"hoa2","WT","KIAA0040",-0.000181412687344725,0.00477230419056328
"hoa2","WT","LAMA3",0.00746060331733557,-3.30905498320396e-05
"hoa2","WT","LATS1",-0.00381283130194509,0.00476035793410628
"hoa2","WT","LATS2",-0.00162360422326141,0.0019701317453555
"hoa2","WT","LCN6",-0.00056959697154659,0.0036113569956955
"hoa2","WT","LEPR",0.00686631528922179,0.000217101851053017
"hoa2","WT","LGALS1",0.00235340395809066,0.0021067353657071
"hoa2","WT","LINC00472",0.743965880812781,-0.0301803753421013
"hoa2","WT","LONP1",4.23186296203889e-14,-3.03431515398622e-14
"hoa2","WT","LRG1",-0.00351737314210487,0.00383662634144533
"hoa2","WT","LTBP4",0.00563325018760585,0.000646912183131415
"hoa2","WT","MAP1B",0.00485572266834212,0.00102834064604225
"hoa2","WT","MAP1LC3B",-0.00810958078211942,0.00638076459214196
"hoa2","WT","MCAM",0.00731826758229125,0.000412280293018312
"hoa2","WT","MCL1",-0.0054222028106779,0.00465162584298222
"hoa2","WT","MEOX2",-0.00080805344393532,0.00185680611750289
"hoa2","WT","MET",-0.000476803945318585,0.0035442580560323
"hoa2","WT","MFF",7.88318673294825e-05,-0.000641347619804734
"hoa2","WT","MFN1",0.000351134287988332,0.340609581719896
"hoa2","WT","MFN2",-0.000578170456243652,0.0018850498485476
"hoa2","WT","MGP",0.00398193550321152,0.00148651188572146
"hoa2","WT","MIGA1",0.00271518925539988,0.002065915664054
"hoa2","WT","MIR222HG",-0.00189017534833313,0.00298342177966788
"hoa2","WT","MIR22HG",-0.00542620439007336,0.00554045856029572
"hoa2","WT","MMP2",0.00871575809685442,-0.000434154452680458
"hoa2","WT","MSX1",-0.00243937330912873,0.00400981719166483
"hoa2","WT","MT-ATP6",0.0030632731508077,-0.000644973373506563
"hoa2","WT","MT-CO1",0.00340079919535726,-0.00078301207042974
"hoa2","WT","MT-CO2",0.00279708867546994,-0.000750307302651727
"hoa2","WT","MT-ND1",0.00261254822611262,-0.000722925661953065
