"variant","donor","state","gene","PC1","PC2"
"primary","hoa3","WT","AC002558.3",-0.00448247212393336,-0.00121667339002662
"primary","hoa3","WT","AC010359.3",-0.00465078049570201,-0.000599023437715331
"primary","hoa3","WT","AC091271.1",-0.000912223968097097,-0.000882685057939269
"primary","hoa3","WT","AC109326.1",0.00414171850668052,-0.000757669224904633
"primary","hoa3","WT","ACE",0.00464019852975974,-0.00614413732921882
"primary","hoa3","WT","ACKR1",-0.00302964867473371,-0.00970399328146992
"primary","hoa3","WT","ADAMTS1",0.00326625447921378,-0.00587124701161027
"primary","hoa3","WT","ADAMTS4",-0.00723179182935811,-0.000972423291031711
"primary","hoa3","WT","ADAMTS6",0.00389587553527131,-0.00654947042387826
"primary","hoa3","WT","ADAMTS9",-0.00669199911770835,-0.00215240487223672
"primary","hoa3","WT","ADGRG6",0.00166138073607203,-0.00538047704376815
"primary","hoa3","WT","ADM",-0.000347868796789117,5.5279446536843e-05
"primary","hoa3","WT","AFG3L2",0.000868375169886777,0.00059587213652373
"primary","hoa3","WT","AKAP12",-0.010564471134369,0.00170581771144119
"primary","hoa3","WT","AKT1",-0.00329792566288508,-0.0010715164933794
"primary","hoa3","WT","ANKRD29",0.00400265492366649,-0.00679632559624123
"primary","hoa3","WT","ANKRD42",-0.00698819581302813,-0.00100340780432455
"primary","hoa3","WT","APOD",0.0356881127119392,0.0104257359830452
"primary","hoa3","WT","AQP7",0.00308086861552827,-0.00691689473095319
"primary","hoa3","WT","ARL15",0.00465873224163994,-0.00606867460728363
"primary","hoa3","WT","ARL4C",9.65565831593926e-14,5.91402324157142e-14
"primary","hoa3","WT","ATF3",-0.00916409906382685,0.00052948971600488
"primary","hoa3","WT","ATG5",0.00552322793375931,-0.00405250607670041
"primary","hoa3","WT","ATP13A3",0.00192204925842094,-0.00580329241804253
"primary","hoa3","WT","ATP5F1A",-0.202337734873306,0.682405809008884
"primary","hoa3","WT","ATP5F1B",0.0106187006276517,-0.000739887858949809
"primary","hoa3","WT","ATP5MC1",-0.102828339632618,-0.0386731392921921
"primary","hoa3","WT","ATP8A1",0.00537559167125501,-0.00612236687930381
"primary","hoa3","WT","B3GNT5",-0.00708513942228751,-0.00102077640087915
"primary","hoa3","WT","BAX",-0.00826552681645044,-0.00302009226041335
"primary","hoa3","WT","BCL2L1",0.00397561168338294,-0.00364366084140642
"primary","hoa3","WT","BCL2L13",0.00168363681857376,-0.00250385678470163
"primary","hoa3","WT","BGN",-0.0355224208129165,-0.020190875410059
"primary","hoa3","WT","BID",0.178119780352435,0.0369597293150323
"primary","hoa3","WT","BIRC3",-0.00879779539301192,-6.97639757459717e-05
"primary","hoa3","WT","BMP4",0.00626567186078221,-0.0143439159630829
"primary","hoa3","WT","BNIP3",0.00631139493544872,0.000142808250948843
"primary","hoa3","WT","BNIP3L",0.000758960639043248,-0.000482036790365069
"primary","hoa3","WT","BTNL9",-0.0157478904644343,-0.0142613293222313
"primary","hoa3","WT","C11orf96",-0.00810801546378488,0.00122429171989912
"primary","hoa3","WT","C1orf54",-0.0017243875465529,-8.17628428278116e-05
"primary","hoa3","WT","C2CD4B",-0.00800978368823584,0.00242323975287579
"primary","hoa3","WT","C7",-0.000716627679879822,-0.00403616265361431
"primary","hoa3","WT","CALCOCO2",-0.0704571302745648,-0.0390158913379898
"primary","hoa3","WT","CAT",-0.0410906309430642,-0.0240968541932235
"primary","hoa3","WT","CBWD5",0.00195387152322276,-0.00448251756471809
"primary","hoa3","WT","CCL2",-0.00734422716385275,-6.40324125605479e-05
"primary","hoa3","WT","CCL23",0.269237629781692,0.0417415726330855
"primary","hoa3","WT","CCN1",-0.00525159493222001,-0.00148961694466843
"primary","hoa3","WT","CCN2",-3.51818551732908e-14,-1.86836656174339e-14
"primary","hoa3","WT","CCND1",0.000538300240962228,-3.77094523616234e-05
"primary","hoa3","WT","CD14",-0.00246080982746759,0.000185545240070113
"primary","hoa3","WT","CD300LG",-0.00984252876033468,-0.0120773437366758
"primary","hoa3","WT","CD83",-0.000775581938934794,0.000343988983514787
"primary","hoa3","WT","CDH13",0.00465737626868929,-0.006412593318465
"primary","hoa3","WT","CGAS",-0.00577820031988645,-0.000931771515252509
"primary","hoa3","WT","CKS2",-0.00765590497170768,-0.000492171780163255
"primary","hoa3","WT","CLDN5",0.00211202130017171,-0.00752491724578002
"primary","hoa3","WT","CLPP",0.00765996122498678,0.000185371522362902
"primary","hoa3","WT","CNKSR3",0.00567743601042595,0.00548453780249595
"primary","hoa3","WT","COX4I1",0.0103069944822197,-0.00225357757839098
"primary","hoa3","WT","COX5A",0.00601384680777012,-0.00414145322506521
"primary","hoa3","WT","COX6C",0.0221714855291172,0.00345206294062572
"primary","hoa3","WT","COX7A2",-0.0337650521625989,-0.0187554360008432
"primary","hoa3","WT","CR381670.1",-0.0483543447430205,-0.0276124915149066
"primary","hoa3","WT","CREB5",-0.00470988605253836,-0.000895911755062089
"primary","hoa3","WT","CRIP1",0.00473322155343971,-0.00591837490574267
"primary","hoa3","WT","CX3CL1",-0.00251259701966275,-0.004080620840732
"primary","hoa3","WT","CXCL12",0.00247242866755676,-0.00669816150435327
"primary","hoa3","WT","CXCL2",-0.00872546209841665,0.000144014818316825
"primary","hoa3","WT","CXCL3",-0.00606275362958133,-0.000285893945291203
"primary","hoa3","WT","CXCR4",-5.60908218593744e-14,-2.73179699704676e-14
"primary","hoa3","WT","CYP1B1",0.00725888400213659,-0.0909112826787203
"primary","hoa3","WT","DDHD1",-0.00402189446259361,-0.000587338079879641
"primary","hoa3","WT","DEPP1",0.00483928812262896,-0.00671951643446936
"primary","hoa3","WT","DGKE",-0.0163423504037816,-0.0145860310004666
"primary","hoa3","WT","DLL4",0.00372951458193002,-0.00643536102614813
"primary","hoa3","WT","DNAJA4",-5.17102256620858e-05,1.20262596275094e-05
"primary","hoa3","WT","DNM1L",0.0536449073858246,0.0137848956261604
"primary","hoa3","WT","DNM2",0.00613962584680456,-0.00338080758871997
"primary","hoa3","WT","DUSP2",-0.00194423806802173,-0.000130646842441973
"primary","hoa3","WT","DUSP4",-0.000244923474728642,-4.55308299531097e-05
"primary","hoa3","WT","ECRG4",-0.030382327216271,-0.0126547749663176
"primary","hoa3","WT","EDN1",0.00646511797774225,-0.00580730416550976
"primary","hoa3","WT","EDNRB",-0.0234993030441011,-0.0161203118922304
"primary","hoa3","WT","EFNB1",0.00429965252014851,-0.00684659123852207
"primary","hoa3","WT","EGR1",-0.0121217210082939,0.00289008886547032
"primary","hoa3","WT","EGR3",-0.00597611866464924,-0.000952920845561048
"primary","hoa3","WT","EIF4EBP1",0.0974712166650743,0.0243208260689795
"primary","hoa3","WT","EMCN",0.0110309265222057,-0.0832145640160736
"primary","hoa3","WT","EMP3",0.00501553955684192,-0.00649303017792306
"primary","hoa3","WT","ENG",-0.0019471214853432,-0.0024937515234451
"primary","hoa3","WT","ERO1B",-0.0368588149038734,-0.0212730385574093
"primary","hoa3","WT","F2RL3",-0.00580900949126573,-0.00169304244710915
"primary","hoa3","WT","F8",-0.00757180314851601,-0.011812738071242
"primary","hoa3","WT","FAM107A",0.00417423191692191,-0.00666246777061995
"primary","hoa3","WT","FAM184A",-0.0467178066852377,-0.0256323997678918
"primary","hoa3","WT","FAN1",-0.0299671498094531,-0.00994886397109166
"primary","hoa3","WT","FBLN2",0.00657978753878689,-0.0061171776312221
"primary","hoa3","WT","FILIP1",-0.0218328457419537,-0.0161991452859823
"primary","hoa3","WT","FILIP1L",0.0010860633392423,-0.00257868018421767
"primary","hoa3","WT","FIS1",0.0788034461403558,0.0107545592400273
"primary","hoa3","WT","FKBP8",0.00057533925402128,-0.00168347926695529
"primary","hoa3","WT","FLT1",0.00391455183101253,-0.00345305834468476
"primary","hoa3","WT","FMO2",-0.036168959030558,-0.0217045994320418
"primary","hoa3","WT","FUT8",0.0041048528036444,-0.00630875333598384
"primary","hoa3","WT","GABARAP",-0.000343379266135277,0.000149035439468161
"primary","hoa3","WT","GABARAPL2",0.00298624524279115,-0.00507238699034574
"primary","hoa3","WT","GABPA",0.00660013576171,-0.00280124883938407
"primary","hoa3","WT","GABRB2",0.000194340415941026,0.000137459413155
"primary","hoa3","WT","GADD45G",-0.00434725759570463,0.000517325028599117
"primary","hoa3","WT","GBP1",-0.00174548621996089,-0.00584641540097595
