"variant","donor","gene","wt_outgoing_weight","ko_outgoing_weight","absolute_wt_weight"
"mtDNA_feature_excluded","hoa2","NFKBIA",0.025,0,0.025
"mtDNA_feature_excluded","hoa2","ICAM1",0.022,0,0.022
"mtDNA_feature_excluded","hoa2","PECAM1",-0.02,0,0.02
"mtDNA_feature_excluded","hoa2","BTNL9",-0.016,0,0.016
"mtDNA_feature_excluded","hoa2","NR4A2",0.016,0,0.016
"mtDNA_feature_excluded","hoa2","ANKRD29",-0.015,0,0.015
"mtDNA_feature_excluded","hoa2","CXCL12",-0.015,0,0.015
"mtDNA_feature_excluded","hoa2","CXCL2",0.015,0,0.015
"mtDNA_feature_excluded","hoa2","EGR1",0.015,0,0.015
"mtDNA_feature_excluded","hoa2","SELE",0.015,0,0.015
"mtDNA_feature_excluded","hoa2","ENG",-0.013,0,0.013
"mtDNA_feature_excluded","hoa2","ICAM4",0.013,0,0.013
"mtDNA_feature_excluded","hoa2","HES1",0.012,0,0.012
"mtDNA_feature_excluded","hoa2","KDM6B",0.012,0,0.012
"mtDNA_feature_excluded","hoa2","MCL1",0.012,0,0.012
"mtDNA_feature_excluded","hoa2","NR4A1",0.012,0,0.012
"mtDNA_feature_excluded","hoa2","SEMA3G",-0.012,0,0.012
"mtDNA_feature_excluded","hoa2","CLDN5",-0.011,0,0.011
"mtDNA_feature_excluded","hoa2","JAG2",-0.011,0,0.011
"mtDNA_feature_excluded","hoa2","TSPAN13",-0.011,0,0.011
"mtDNA_feature_excluded","hoa2","MIR222HG",0.01,0,0.01
"mtDNA_feature_excluded","hoa2","MT2A",0.01,0,0.01
"mtDNA_feature_excluded","hoa2","SLC6A6",-0.01,0,0.01
"mtDNA_feature_excluded","hoa2","ARL15",-0.009,0,0.009
"mtDNA_feature_excluded","hoa2","DEPP1",-0.009,0,0.009
"mtDNA_feature_excluded","hoa2","EGR3",0.009,0,0.009
"mtDNA_feature_excluded","hoa2","KDR",-0.009,0,0.009
"mtDNA_feature_excluded","hoa2","LEPR",-0.009,0,0.009
"mtDNA_feature_excluded","hoa2","LTBP4",-0.009,0,0.009
"mtDNA_feature_excluded","hoa2","PDGFB",-0.009,0,0.009
"mtDNA_feature_excluded","hoa2","SLC25A44",0.009,0,0.009
"mtDNA_feature_excluded","hoa2","TEK",-0.009,0,0.009
"mtDNA_feature_excluded","hoa2","ACE",-0.008,0,0.008
"mtDNA_feature_excluded","hoa2","ADAMTS4",0.008,0,0.008
"mtDNA_feature_excluded","hoa2","ADAMTS6",-0.008,0,0.008
"mtDNA_feature_excluded","hoa2","AQP7",-0.008,0,0.008
"mtDNA_feature_excluded","hoa2","ATP13A3",-0.008,0,0.008
"mtDNA_feature_excluded","hoa2","CD300LG",-0.008,0,0.008
"mtDNA_feature_excluded","hoa2","EMCN",-0.008,0,0.008
"mtDNA_feature_excluded","hoa2","NSUN6",0.008,0,0.008
"mtDNA_feature_excluded","hoa2","PPP1R14A",-0.008,0,0.008
"mtDNA_feature_excluded","hoa2","SEMA4A",0.008,0,0.008
"mtDNA_feature_excluded","hoa2","SRGN",-0.008,0,0.008
"mtDNA_feature_excluded","hoa2","VSIR",-0.008,0,0.008
"mtDNA_feature_excluded","hoa2","VWF",-0.008,0,0.008
"mtDNA_feature_excluded","hoa2","CDH13",-0.007,0,0.007
"mtDNA_feature_excluded","hoa2","CKS2",0.007,0,0.007
"mtDNA_feature_excluded","hoa2","FIS1",-0.007,0,0.007
"mtDNA_feature_excluded","hoa2","LRG1",0.007,0,0.007
"mtDNA_feature_excluded","hoa2","TIPARP",0.007,0,0.007
"mtDNA_feature_excluded","hoa2","TMEM161B-AS1",-0.007,0,0.007
"mtDNA_feature_excluded","hoa2","ATF3",0.006,0,0.006
"mtDNA_feature_excluded","hoa2","CXCL3",0.006,0,0.006
"mtDNA_feature_excluded","hoa2","EFNB1",-0.006,0,0.006
"mtDNA_feature_excluded","hoa2","FUT8",-0.006,0,0.006
"mtDNA_feature_excluded","hoa2","IER3",0.006,0,0.006
"mtDNA_feature_excluded","hoa2","IRF3",-0.006,0,0.006
