"variant","donor","state","gene","PC1","PC2"
"mtDNA_feature_excluded","hoa2","WT","AC002558.3",0.000228685759224388,0.000579726554098464
"mtDNA_feature_excluded","hoa2","WT","AC010359.3",0.00605802370416645,0.0149888715010206
"mtDNA_feature_excluded","hoa2","WT","AC091271.1",0.00660090510132717,0.00380337684332033
"mtDNA_feature_excluded","hoa2","WT","AC109326.1",-0.00182806857850907,0.0031940461902443
"mtDNA_feature_excluded","hoa2","WT","ACE",-0.0245740070612853,0.020560672176056
"mtDNA_feature_excluded","hoa2","WT","ACKR1",0.160291298491504,0.0184890713951379
"mtDNA_feature_excluded","hoa2","WT","ADAMTS1",0.00357975579772859,0.0125816748569316
"mtDNA_feature_excluded","hoa2","WT","ADAMTS4",0.000237861245072219,0.0109157031570629
"mtDNA_feature_excluded","hoa2","WT","ADAMTS6",-0.021274869346052,0.0230615036035471
"mtDNA_feature_excluded","hoa2","WT","ADAMTS9",0.0198161412561821,0.030456268098357
"mtDNA_feature_excluded","hoa2","WT","ADGRG6",-0.0955017019500334,0.060338827307483
"mtDNA_feature_excluded","hoa2","WT","ADM",-0.000287370874493066,-0.000221959723395593
"mtDNA_feature_excluded","hoa2","WT","AFG3L2",-0.00260401508434705,-0.00356178440723052
"mtDNA_feature_excluded","hoa2","WT","AKAP12",0.024534543440087,0.00346811809005905
"mtDNA_feature_excluded","hoa2","WT","AKT1",0.00195184333613937,-0.000958375014607011
"mtDNA_feature_excluded","hoa2","WT","ANKRD29",-0.0220593353148161,0.02515645528887
"mtDNA_feature_excluded","hoa2","WT","ANKRD42",0.00663898273728977,0.00963143661085264
"mtDNA_feature_excluded","hoa2","WT","APOD",-0.00263692045914271,-0.00120056247593274
"mtDNA_feature_excluded","hoa2","WT","AQP7",-0.020240690773927,0.0186952886444892
"mtDNA_feature_excluded","hoa2","WT","ARL15",-0.0205958907637329,0.0221968280263717
"mtDNA_feature_excluded","hoa2","WT","ARL4C",-0.00531500423886357,-0.00456756788130239
"mtDNA_feature_excluded","hoa2","WT","ATF3",0.00212319441413287,0.00265191002835103
"mtDNA_feature_excluded","hoa2","WT","ATG5",0.000735623966093703,0.00179621773477268
"mtDNA_feature_excluded","hoa2","WT","ATP13A3",-0.0176065785321687,0.026934044093198
"mtDNA_feature_excluded","hoa2","WT","ATP5F1A",-0.11353466631714,-0.152499467489924
"mtDNA_feature_excluded","hoa2","WT","ATP5F1B",-0.018074231583787,-0.0408860905796799
"mtDNA_feature_excluded","hoa2","WT","ATP5MC1",-0.0497929930773869,-0.0643214609725423
"mtDNA_feature_excluded","hoa2","WT","ATP8A1",-0.0105303559317705,0.00826534476744394
"mtDNA_feature_excluded","hoa2","WT","B3GNT5",0.00269962785202,0.00387701796319983
"mtDNA_feature_excluded","hoa2","WT","BAX",-0.00280420734184029,-0.00895138882639775
"mtDNA_feature_excluded","hoa2","WT","BCL2L1",-8.10529186727729e-05,5.39373354711016e-05
"mtDNA_feature_excluded","hoa2","WT","BCL2L13",-0.000547931797028604,-0.000473253527387332
"mtDNA_feature_excluded","hoa2","WT","BGN",-0.00620769028491959,-0.00936990685015603
"mtDNA_feature_excluded","hoa2","WT","BID",-0.00496835199713575,-0.00949196546544464
"mtDNA_feature_excluded","hoa2","WT","BIRC3",-0.00686616566304903,-0.0057702558166564
"mtDNA_feature_excluded","hoa2","WT","BMP4",0.00967621573251307,-0.0188400443568987
"mtDNA_feature_excluded","hoa2","WT","BNIP3",0.00216143033485381,-0.00361489458915596
"mtDNA_feature_excluded","hoa2","WT","BNIP3L",0.00221374255017329,-0.000672433755575025
"mtDNA_feature_excluded","hoa2","WT","BTNL9",-0.0126808802065668,0.0327999721259201
"mtDNA_feature_excluded","hoa2","WT","C11orf96",-0.00942590484579961,-0.0103208460996665
"mtDNA_feature_excluded","hoa2","WT","C1orf54",-0.0143973299411961,-0.00807554114325052
"mtDNA_feature_excluded","hoa2","WT","C2CD4B",-0.00417670062364274,-0.00625311276490987
"mtDNA_feature_excluded","hoa2","WT","C7",-0.0479809069371646,0.0041476410098125
"mtDNA_feature_excluded","hoa2","WT","CALCOCO2",0.025703095478067,0.0187065107668495
"mtDNA_feature_excluded","hoa2","WT","CAT",0.0163350809370654,0.0173590861422939
"mtDNA_feature_excluded","hoa2","WT","CBWD5",0.00591748158855036,0.00815668630093189
"mtDNA_feature_excluded","hoa2","WT","CCL2",-0.00635953758432595,-0.00485544018248168
"mtDNA_feature_excluded","hoa2","WT","CCL23",0.012424167031887,0.00197280184796164
"mtDNA_feature_excluded","hoa2","WT","CCN1",-0.000395213978425845,-0.000292026219026561
"mtDNA_feature_excluded","hoa2","WT","CCN2",1.75007539322315e-05,-1.57073695872323e-05
"mtDNA_feature_excluded","hoa2","WT","CCND1",-0.016306282183065,-0.0289216883261034
"mtDNA_feature_excluded","hoa2","WT","CD14",0.00129100166334555,-0.000276352963346507
"mtDNA_feature_excluded","hoa2","WT","CD300LG",0.00835748476045611,0.0141656936739247
"mtDNA_feature_excluded","hoa2","WT","CD83",-0.0102988421527487,-0.00907741658719078
"mtDNA_feature_excluded","hoa2","WT","CDH13",-0.0172326396817532,0.0177862635694907
"mtDNA_feature_excluded","hoa2","WT","CGAS",0.0134128245325227,0.0144382422333409
"mtDNA_feature_excluded","hoa2","WT","CKS2",-0.00877237273174165,-0.00845773033561275
"mtDNA_feature_excluded","hoa2","WT","CLDN5",-0.0272667408820323,0.017808437885387
"mtDNA_feature_excluded","hoa2","WT","CLPP",0.000823768428471254,-0.000479711731755795
"mtDNA_feature_excluded","hoa2","WT","CNKSR3",0.00631475639691664,0.0134535247583017
"mtDNA_feature_excluded","hoa2","WT","COX4I1",0.0131200962427136,0.0252017319029954
"mtDNA_feature_excluded","hoa2","WT","COX5A",-0.106451007631935,-0.130485894554432
"mtDNA_feature_excluded","hoa2","WT","COX6C",0.0748383623167117,0.226585098587933
"mtDNA_feature_excluded","hoa2","WT","COX7A2",-0.127813006631089,-0.139274338231339
"mtDNA_feature_excluded","hoa2","WT","CR381670.1",0.0111514806895069,0.00927347692333335
"mtDNA_feature_excluded","hoa2","WT","CREB5",0.00918780659155721,0.0184823832648805
"mtDNA_feature_excluded","hoa2","WT","CRIP1",-0.0163932484984098,0.00877343554061366
"mtDNA_feature_excluded","hoa2","WT","CX3CL1",-0.00540313299240648,-0.000330008527741172
"mtDNA_feature_excluded","hoa2","WT","CXCL12",-0.0267853583358981,0.0232163987362589
"mtDNA_feature_excluded","hoa2","WT","CXCL2",-0.0157796000071184,-0.0150968492033972
"mtDNA_feature_excluded","hoa2","WT","CXCL3",-0.0092834423557675,-0.00735767344014396
"mtDNA_feature_excluded","hoa2","WT","CXCR4",-0.0129368716037874,-0.00943042807058834
"mtDNA_feature_excluded","hoa2","WT","CYP1B1",0.200332734224814,0.0775415723624388
"mtDNA_feature_excluded","hoa2","WT","DDHD1",0.005768199434702,0.00983101321478577
"mtDNA_feature_excluded","hoa2","WT","DEPP1",-0.0253532297475816,0.0183814095091254
"mtDNA_feature_excluded","hoa2","WT","DGKE",0.00458239068312995,0.0232311702283791
"mtDNA_feature_excluded","hoa2","WT","DLL4",0.00178786384413424,0.00783521580297636
"mtDNA_feature_excluded","hoa2","WT","DNAJA4",0.00183046581707463,0.00341144305604749
"mtDNA_feature_excluded","hoa2","WT","DNM1L",0.00215399309939958,0.00152897798195551
"mtDNA_feature_excluded","hoa2","WT","DNM2",0.0276727553816285,0.0237760126131182
"mtDNA_feature_excluded","hoa2","WT","DUSP2",-0.0170589639208905,-0.0129575484064013
"mtDNA_feature_excluded","hoa2","WT","DUSP4",0.00233683768064497,-0.00405348894240614
