"Gene","rank_hoa2","p_value_hoa2","adjusted_p_value_hoa2","rank_hoa3","p_value_hoa3","adjusted_p_value_hoa3","mean_rank","max_rank"
"SQSTM1",1,6.560743276661e-51,1.9682229829983e-48,1,4.0984864746263e-52,1.22954594238789e-49,1,1
"MT-ND1",2,0.00013430661992022,0.0131917894827253,3,0.000235538128630823,0.0235538128630823,2.5,3
"MT-ATP6",3,0.000140705164961609,0.0131917894827253,4,0.00523080166041017,0.392310124530762,3.5,4
"VWF",7,0.211744584551328,0.999999999996351,2,2.81522901404964e-05,0.00422284352107446,4.5,7
"MT-ND4",4,0.000175890526436337,0.0131917894827253,6,0.0171897671727057,0.859488358635285,5,6
"MT-CO2",5,0.000223978146803888,0.0134386888082333,7,0.0409095969140746,0.999999999992947,6,7
"ENG",8,0.252004488014306,0.999999999996351,8,0.0559070593647884,0.999999999992947,8,8
"MT-CO1",6,0.00182655520237878,0.0913277601189391,10,0.255984391228789,0.999999999992947,8,10
"NFKBIA",10,0.432600373046186,0.999999999996351,9,0.22452322742859,0.999999999992947,9.5,10
"ICAM1",9,0.430360156634065,0.999999999996351,13,0.451231661866802,0.999999999992947,11,13
"SELE",12,0.600817960715528,0.999999999996351,12,0.398669137246541,0.999999999992947,12,12
"C7",22,0.711823691793984,0.999999999996351,5,0.00990297569047601,0.59417854142856,13.5,22
"ADGRG6",23,0.712362258056428,0.999999999996351,11,0.370545895747061,0.999999999992947,17,23
"MCL1",20,0.677585359940396,0.999999999996351,15,0.467659189322375,0.999999999992947,17.5,20
"KDM6B",24,0.733695606798766,0.999999999996351,14,0.466395034262961,0.999999999992947,19,24
"MIR222HG",16,0.66473815442703,0.999999999996351,37,0.811849108281145,0.999999999992947,26.5,37
"TIPARP",37,0.838120894912733,0.999999999996351,16,0.496094310631457,0.999999999992947,26.5,37
"ADAMTS4",29,0.798487900126591,0.999999999996351,27,0.71974607134393,0.999999999992947,28,29
"TNFAIP3",40,0.862306246133662,0.999999999996351,17,0.553692066576605,0.999999999992947,28.5,40
"CXCL2",14,0.64165570085778,0.999999999996351,45,0.858656910206353,0.999999999992947,29.5,45
"ACKR1",42,0.87061186929642,0.999999999996351,19,0.632813152740097,0.999999999992947,30.5,42
"NR4A2",25,0.761262620466661,0.999999999996351,40,0.824230634047028,0.999999999992947,32.5,40
"EGR1",15,0.644863197500372,0.999999999996351,52,0.879066095354685,0.999999999992947,33.5,52
"CKS2",28,0.795636271303548,0.999999999996351,42,0.842465953515933,0.999999999992947,35,42
"UQCRB",51,0.900969171298932,0.999999999996351,20,0.642537191059419,0.999999999992947,35.5,51
"C11orf96",52,0.902065227904422,0.999999999996351,26,0.699251853987339,0.999999999992947,39,52
