"donor","rank","Gene","Distance","Z","FC","p_value","adjusted_p_value"
"hoa3",1,"SQSTM1",0.000658327909545215,3.397877341849,230.746137750404,4.0984864746263e-52,1.22954594238789e-49
"hoa3",2,"VWF",0.000181498653704778,2.62485414766843,17.5386726352967,2.81522901404964e-05,0.00422284352107446
"hoa3",3,"MT-ND1",0.000159377432437343,2.55237410150788,13.5239500552639,0.000235538128630823,0.0235538128630823
"hoa3",4,"MT-ATP6",0.000121021600130128,2.40198838024344,7.79786455936641,0.00523080166041017,0.392310124530762
"hoa3",5,"C7",0.000111778911718384,2.35937116701683,6.65226681645141,0.00990297569047601,0.59417854142856
"hoa3",6,"MT-ND4",0.000103259605005143,2.31718805528281,5.6768945206534,0.0171897671727057,0.859488358635285
"hoa3",7,"MT-CO2",8.8603422395301e-05,2.23669629860407,4.17975571817416,0.0409095969140746,0.999999999992947
"hoa3",8,"ENG",8.28530089193365e-05,2.20180653913812,3.65482406741518,0.0559070593647884,0.999999999992947
"hoa3",9,"NFKBIA",5.26385685949739e-05,1.97211556520202,1.47522426765686,0.22452322742859,0.999999999992947
"hoa3",10,"MT-CO1",4.9229787318083e-05,1.93910711544008,1.29034494606825,0.255984391228789,0.999999999992947
"hoa3",11,"ADGRG6",3.88076201910525e-05,1.82363251112262,0.801833004624716,0.370545895747061,0.999999999992947
"hoa3",12,"SELE",3.65778134557407e-05,1.79534043560262,0.712336810640617,0.398669137246541,0.999999999992947
"hoa3",13,"ICAM1",3.26497211400998e-05,1.7415011969416,0.567556182287836,0.451231661866802,0.999999999992947
"hoa3",14,"KDM6B",3.1565988092141e-05,1.72562369347904,0.530504024338111,0.466395034262961,0.999999999992947
"hoa3",15,"MCL1",3.14765326791163e-05,1.72429133298816,0.527501475352575,0.467659189322375,0.999999999992947
"hoa3",16,"TIPARP",2.94983385358853e-05,1.69392323189068,0.463281562853115,0.496094310631457,0.999999999992947
"hoa3",17,"TNFAIP3",2.566672141228e-05,1.62949978810291,0.350744362705686,0.553692066576605,0.999999999992947
"hoa3",18,"TEK",2.1167267728818e-05,1.5417569916423,0.23855004996351,0.625255311896074,0.999999999992947
"hoa3",19,"ACKR1",2.07059374396106e-05,1.53183506742753,0.228265197151925,0.632813152740097,0.999999999992947
"hoa3",20,"UQCRB",2.01158059516678e-05,1.51884951275055,0.215439226478883,0.642537191059419,0.999999999992947
"hoa3",21,"ATP5F1A",1.98566517533657e-05,1.5130385538478,0.209923928180182,0.646827034841608,0.999999999992947
"hoa3",22,"EMCN",1.96899358786374e-05,1.5092642193035,0.206413695729019,0.649592952698025,0.999999999992947
"hoa3",23,"PRDX2",1.92460115889059e-05,1.49907233646175,0.197211116570372,0.65698143259857,0.999999999992947
"hoa3",24,"VCAN",1.84723302405948e-05,1.48079416074316,0.181674207456318,0.669938383595444,0.999999999992947
"hoa3",25,"SOD1",1.69365533250545e-05,1.44237765901511,0.152721427132736,0.695948113666548,0.999999999992947
"hoa3",26,"C11orf96",1.67430330879517e-05,1.43731692935831,0.149251318719738,0.699251853987339,0.999999999992947
"hoa3",27,"ADAMTS4",1.55498170291233e-05,1.4049004219477,0.128736136794026,0.71974607134393,0.999999999992947
"hoa3",28,"NFE2L2",1.47953591259676e-05,1.38323095847806,0.11654695424453,0.732810198342029,0.999999999992947
"hoa3",29,"ATP5MC1",1.44178074268163e-05,1.37201182977704,0.110674698384882,0.739377304984942,0.999999999992947
"hoa3",30,"CALCOCO2",1.37168097646759e-05,1.35046294597434,0.100174258667286,0.751620616984491,0.999999999992947
"hoa3",31,"C2CD4B",1.32113230021999e-05,1.33430165111271,0.0929271306524436,0.760488383413232,0.999999999992947
"hoa3",32,"HBEGF",1.26079203323295e-05,1.31426636383828,0.0846324313998973,0.771115153494712,0.999999999992947
"hoa3",33,"HIF1A",1.25587210873548e-05,1.31259503108569,0.0839732064964207,0.771983548619415,0.999999999992947
"hoa3",34,"PRDX1",1.21787835739844e-05,1.29948656050024,0.0789691987754731,0.778699210750812,0.999999999992947
"hoa3",35,"HSPE1",1.16247998686868e-05,1.27969948443016,0.0719483561485895,0.78852081603356,0.999999999992947
"hoa3",36,"NDUFB8",1.10518668757841e-05,1.2583241492745,0.06503111436725,0.798713839667323,0.999999999992947
"hoa3",37,"MIR222HG",1.03163781106637e-05,1.22937554283307,0.0566636320476667,0.811849108281145,0.999999999992947
"hoa3",38,"SEMA3A",1.02798120787081e-05,1.22788846463948,0.0562626595054329,0.812503566700554,0.999999999992947
"hoa3",39,"SERPINE1",1.01320333137688e-05,1.22182975648504,0.05465666443151,0.81514983922116,0.999999999992947
"hoa3",40,"NR4A2",9.62580765604137e-06,1.20045577342393,0.0493314935955583,0.824230634047028,0.999999999992947
"hoa3",41,"BMP4",8.8938057599236e-06,1.16769130870844,0.0421138733339889,0.837402861652397,0.999999999992947
"hoa3",42,"CKS2",8.61312664047761e-06,1.15448236190024,0.0394976786055172,0.842465953515933,0.999999999992947
