"Gene","rank_hoa2","p_value_hoa2","adjusted_p_value_hoa2","rank_hoa3","p_value_hoa3","adjusted_p_value_hoa3","mean_rank","max_rank"
"SQSTM1",1,7.30964001113303e-58,2.15634380328424e-55,1,2.97807867591161e-42,8.78533209393924e-40,1,1
"ENG",3,0.0148830421904829,0.999999999970122,5,0.0017893106082246,0.105569325885251,4,5
"NFKBIA",5,0.0941043549310972,0.999999999970122,3,4.49351100137498e-05,0.00441861915135206,4,5
"VWF",6,0.140886199524827,0.999999999970122,2,5.8655967269659e-06,0.00086517551722747,4,6
"EMCN",7,0.149692620937453,0.999999999970122,7,0.0152418436707836,0.642334840411596,7,7
"ICAM1",9,0.230422442747229,0.999999999970122,6,0.00280367661912787,0.137847433773787,7.5,9
"EGR1",2,0.00754010645676589,0.999999999970122,17,0.304798441303202,0.999999999988964,9.5,17
"SELE",17,0.53488815367859,0.999999999970122,11,0.046814782448733,0.999999999988964,14,17
"TNFAIP3",19,0.572320140528033,0.999999999970122,9,0.0244692370946928,0.802047215881598,14,19
"ACKR1",21,0.575804337521739,0.999999999970122,10,0.0321693690007229,0.948996385521324,15.5,21
"GPX4",11,0.454235875280412,0.999999999970122,24,0.466963380231049,0.999999999988964,17.5,24
"CXCL2",18,0.535217263962326,0.999999999970122,21,0.390495747117415,0.999999999988964,19.5,21
"CYP1B1",12,0.456025631508484,0.999999999970122,28,0.654319222991889,0.999999999988964,20,28
"MCL1",23,0.673643072591028,0.999999999970122,19,0.330169877931655,0.999999999988964,21,23
"KDM6B",25,0.690022925449149,0.999999999970122,18,0.320523881640973,0.999999999988964,21.5,25
"VCAN",31,0.70972128199888,0.999999999970122,13,0.206842222440452,0.999999999988964,22,31
"UQCRB",32,0.710563786603217,0.999999999970122,14,0.258610705495965,0.999999999988964,23,32
"PRDX1",13,0.459728707069746,0.999999999970122,41,0.854256561717058,0.999999999988964,27,41
"COX6C",27,0.706264298558996,0.999999999970122,29,0.658959814304511,0.999999999988964,28,29
"PECAM1",16,0.512640297982047,0.999999999970122,40,0.831579161695645,0.999999999988964,28,40
"TEK",14,0.488007380814486,0.999999999970122,43,0.856036863388825,0.999999999988964,28.5,43
"COX4I1",20,0.575714217002719,0.999999999970122,45,0.868191179452815,0.999999999988964,32.5,45
"PRDX5",10,0.355516190497507,0.999999999970122,56,0.929494838879139,0.999999999988964,33,56
"FIS1",8,0.201588071254512,0.999999999970122,61,0.943109120564643,0.999999999988964,34.5,61
"ADGRG6",58,0.852435486443358,0.999999999970122,12,0.11749605500412,0.999999999988964,35,58
"MIR222HG",36,0.757234563439177,0.999999999970122,37,0.790666398250096,0.999999999988964,36.5,37
"TIPARP",67,0.875839099653915,0.999999999970122,8,0.0233930930557853,0.802047215881598,37.5,67
"NR4A2",15,0.504584128673131,0.999999999970122,62,0.947530645343825,0.999999999988964,38.5,62
"PRDX2",56,0.849984443365346,0.999999999970122,22,0.40536293574174,0.999999999988964,39,56
"HES1",4,0.0247305643284689,0.999999999970122,77,0.968524918646361,0.999999999988964,40.5,77
"ATP5F1A",29,0.706914625208482,0.999999999970122,55,0.927052977099309,0.999999999988964,42,55
"BTNL9",24,0.689356153807092,0.999999999970122,68,0.959705947220658,0.999999999988964,46,68
"ADAMTS4",62,0.862452108698204,0.999999999970122,32,0.729838801099268,0.999999999988964,47,62
"NR4A1",33,0.714337804416696,0.999999999970122,64,0.95459442482897,0.999999999988964,48.5,64
"ANKRD29",30,0.708476378051651,0.999999999970122,73,0.964856204997536,0.999999999988964,51.5,73
"AKAP12",42,0.800346989416031,0.999999999970122,63,0.951073176309405,0.999999999988964,52.5,63
"CLDN5",39,0.781263011309709,0.999999999970122,72,0.962988479550743,0.999999999988964,55.5,72
"ICAM4",22,0.598577783847363,0.999999999970122,91,0.980918507433631,0.999999999988964,56.5,91
"SLC25A44",48,0.819499043752091,0.999999999970122,67,0.958135464925598,0.999999999988964,57.5,67
"CALCOCO2",85,0.935688867630503,0.999999999970122,31,0.719567768595074,0.999999999988964,58,85
"CD300LG",64,0.867116718276983,0.999999999970122,53,0.922319293336884,0.999999999988964,58.5,64
"DEPP1",50,0.831078395868757,0.999999999970122,71,0.962831894909862,0.999999999988964,60.5,71
"HSPE1",97,0.95182014944528,0.999999999970122,25,0.540260919993111,0.999999999988964,61,97
"CKS2",70,0.889214823539341,0.999999999970122,54,0.923818429609975,0.999999999988964,62,70
"JAG2",40,0.786608734747884,0.999999999970122,84,0.97809270280942,0.999999999988964,62,84
"HBEGF",88,0.941514550878732,0.999999999970122,39,0.815846264615037,0.999999999988964,63.5,88
"MT2A",34,0.722683143593186,0.999999999970122,93,0.981886061526269,0.999999999988964,63.5,93
"CXCL12",26,0.694753864330957,0.999999999970122,101,0.985600559666035,0.999999999988964,63.5,101
"LEPR",54,0.842204017448168,0.999999999970122,74,0.966234431589757,0.999999999988964,64,74
"EGR3",46,0.817045519838537,0.999999999970122,82,0.97711262466307,0.999999999988964,64,82
"ATP13A3",61,0.862278919053664,0.999999999970122,70,0.961181581897391,0.999999999988964,65.5,70
"C11orf96",118,0.970905629422634,0.999999999970122,16,0.278620857997547,0.999999999988964,67,118
"MAP1LC3B",47,0.817675853776604,0.999999999970122,90,0.97968142946557,0.999999999988964,68.5,90
"ATP5MC1",108,0.959735425972593,0.999999999970122,38,0.797995781103725,0.999999999988964,73,108
"SEMA3G",37,0.759279137506095,0.999999999970122,111,0.988313996306666,0.999999999988964,74,111
"SEMA3A",122,0.975582773419488,0.999999999970122,27,0.653648541325756,0.999999999988964,74.5,122
"CAT",94,0.950079083058191,0.999999999970122,58,0.938523343350418,0.999999999988964,76,94
"ATF3",77,0.90660317213049,0.999999999970122,76,0.967771990109585,0.999999999988964,76.5,77
"ADAMTS6",60,0.85858754191049,0.999999999970122,94,0.982825844786947,0.999999999988964,77,94
"SEMA4A",53,0.838148189168202,0.999999999970122,105,0.986948496187337,0.999999999988964,79,105
"LTBP4",49,0.826804951171256,0.999999999970122,109,0.98800557479396,0.999999999988964,79,109
"HMOX1",110,0.961649882906467,0.999999999970122,51,0.912664768328406,0.999999999988964,80.5,110
"CNKSR3",114,0.967408977106444,0.999999999970122,47,0.886756412140956,0.999999999988964,80.5,114
"KDR",35,0.736443402043378,0.999999999970122,126,0.991102030825026,0.999999999988964,80.5,126
"C2CD4B",147,0.98786288671465,0.999999999970122,15,0.266665577915539,0.999999999988964,81,147
"MIR22HG",109,0.961034975829562,0.999999999970122,57,0.933908081934539,0.999999999988964,83,109
"SERPINE1",126,0.976172653657811,0.999999999970122,44,0.865072276925817,0.999999999988964,85,126
"ADAMTS9",111,0.964382573177542,0.999999999970122,60,0.94265353260731,0.999999999988964,85.5,111
"ARL15",55,0.845200989204376,0.999999999970122,116,0.989740232533236,0.999999999988964,85.5,116
"SRGN",51,0.834542913540686,0.999999999970122,121,0.990326175069611,0.999999999988964,86,121
"H19",91,0.944451281540362,0.999999999970122,86,0.978467375559883,0.999999999988964,88.5,91
"NDUFB8",99,0.954376877150865,0.999999999970122,80,0.974254128996826,0.999999999988964,89.5,99
"C7",176,0.996356104142325,0.999999999970122,4,0.000476311836183987,0.035127997918569,90,176
"PPP1R14A",59,0.858394616766684,0.999999999970122,122,0.990333387009,0.999999999988964,90.5,122
"SLC6A6",45,0.817011037844702,0.999999999970122,140,0.994027917768796,0.999999999988964,92.5,140
"KCNQ1OT1",105,0.957842490417956,0.999999999970122,81,0.977051486590898,0.999999999988964,93,105
"CCL23",153,0.99170350994063,0.999999999970122,33,0.742084871778948,0.999999999988964,93,153
"FILIP1",93,0.949591405409054,0.999999999970122,95,0.98392467550844,0.999999999988964,94,95
"MSX1",143,0.98747693234926,0.999999999970122,46,0.88542592853091,0.999999999988964,94.5,143
"DGKE",102,0.956782487997804,0.999999999970122,88,0.979224540752252,0.999999999988964,95,102
"SIPA1L2",75,0.901135647650364,0.999999999970122,115,0.989556277308313,0.999999999988964,95,115
"IL32",112,0.965249788158818,0.999999999970122,79,0.973148194018779,0.999999999988964,95.5,112
