"donor","rank","Gene","Distance","Z","FC","p_value","adjusted_p_value"
"hoa2",1,"SQSTM1",0.000113746858609093,2.78667476216772,257.112681124499,7.30964001113303e-58,2.15634380328424e-55
"hoa2",2,"EGR1",1.89545647236482e-05,2.0016998470129,7.1395741033252,0.00754010645676589,0.999999999970122
"hoa2",3,"ENG",1.72748603714174e-05,1.96337992693209,5.93026042728394,0.0148830421904829,0.999999999970122
"hoa2",4,"HES1",1.59296882150583e-05,1.93008204712939,5.04265464247248,0.0247305643284689,0.999999999970122
"hoa2",5,"NFKBIA",1.18759336714177e-05,1.81085237954906,2.80272315157399,0.0941043549310972,0.999999999970122
"hoa2",6,"VWF",1.04455820931082e-05,1.75942712706346,2.16825305755038,0.140886199524827,0.999999999970122
"hoa2",7,"EMCN",1.02194262025275e-05,1.75069689343413,2.07538033813484,0.149692620937453,0.999999999970122
"hoa2",8,"FIS1",9.05904080770324e-06,1.7028368643788,1.63083155598524,0.201588071254512,0.999999999970122
"hoa2",9,"ICAM1",8.5073662451924e-06,1.67802902286869,1.43825182501123,0.230422442747229,0.999999999970122
"hoa2",10,"PRDX5",6.5542448964918e-06,1.57607627734691,0.85366996834179,0.355516190497507,0.999999999970122
"hoa2",11,"GPX4",5.30878487471907e-06,1.49489244460191,0.560060480011137,0.454235875280412,0.999999999970122
"hoa2",12,"CYP1B1",5.2877535888386e-06,1.49337351490165,0.555631797776905,0.456025631508484,0.999999999970122
"hoa2",13,"PRDX1",5.2443858407821e-06,1.4902234206676,0.546555094351394,0.459728707069746,0.999999999970122
"hoa2",14,"TEK",4.9194051742141e-06,1.46580891833675,0.480916703436259,0.488007380814486,0.999999999970122
"hoa2",15,"NR4A2",4.73363880618101e-06,1.45116445743122,0.445281762003052,0.504584128673131,0.999999999970122
"hoa2",16,"PECAM1",4.64452442988457e-06,1.44394698632913,0.428674033599651,0.512640297982047,0.999999999970122
"hoa2",17,"SELE",4.40212648250109e-06,1.42363704107878,0.385096620599376,0.53488815367859,0.999999999970122
"hoa2",18,"CXCL2",4.39857970157067e-06,1.4233321483101,0.384476328055017,0.535217263962326,0.999999999970122
"hoa2",19,"TNFAIP3",4.00541593631446e-06,1.38801684493438,0.318815859403607,0.572320140528033,0.999999999970122
"hoa2",20,"COX4I1",3.97007483940462e-06,1.3846848704193,0.313214646040067,0.575714217002719,0.999999999970122
"hoa2",21,"ACKR1",3.9691377976792e-06,1.3845961476486,0.313066809755894,0.575804337521739,0.999999999970122
"hoa2",22,"ICAM4",3.73449755651097e-06,1.36173644362083,0.277146267161176,0.598577783847363,0.999999999970122
"hoa2",23,"MCL1",2.98756917831909e-06,1.2787557082854,0.177370183346872,0.673643072591028,0.999999999970122
"hoa2",24,"BTNL9",2.83558901250622e-06,1.25950632383675,0.159783247615829,0.689356153807092,0.999999999970122
"hoa2",25,"KDM6B",2.82916904669397e-06,1.25867205300074,0.159060546449487,0.690022925449149,0.999999999970122
"hoa2",26,"CXCL12",2.78368364292362e-06,1.25270988118462,0.153987131634256,0.694753864330957,0.999999999970122
"hoa2",27,"COX6C",2.67348903564809e-06,1.23787802212719,0.14203699937499,0.706264298558996,0.999999999970122
"hoa2",28,"WWTR1",2.67297923522826e-06,1.2378080814086,0.141982835234376,0.706317708921535,0.999999999970122
"hoa2",29,"ATP5F1A",2.66728262442368e-06,1.23702569781818,0.141378296995215,0.706914625208482,0.999999999970122
"hoa2",30,"ANKRD29",2.65238631557468e-06,1.23497237825704,0.139803560299139,0.708476378051651,0.999999999970122
"hoa2",31,"VCAN",2.64052054933642e-06,1.23332903718429,0.138555502453627,0.70972128199888,0.999999999970122
"hoa2",32,"UQCRB",2.6324944326987e-06,1.23221353405737,0.137714476987629,0.710563786603217,0.999999999970122
"hoa2",33,"NR4A1",2.59658242309039e-06,1.22718293873553,0.133982753913245,0.714337804416696,0.999999999970122
"hoa2",34,"MT2A",2.51740576794748e-06,1.21585717193867,0.125936355253225,0.722683143593186,0.999999999970122
"hoa2",35,"KDR",2.3875313459752e-06,1.19653499103209,0.113277286877477,0.736443402043378,0.999999999970122
"hoa2",36,"MIR222HG",2.1927887434196e-06,1.16562981133978,0.0955516653109733,0.757234563439177,0.999999999970122
"hoa2",37,"SEMA3G",2.1737293359669e-06,1.16246814301791,0.0938978411531492,0.759279137506095,0.999999999970122
"hoa2",38,"LINC00472",2.0983928330312e-06,1.14971100325524,0.0875020570587431,0.7673771208387,0.999999999970122
