"role","gene","standardized_distance","closest_five","prevalence_hoa2","prevalence_hoa3","mean_log1p_cpm_hoa2","mean_log1p_cpm_hoa3","dispersion_pct_hoa2","dispersion_pct_hoa3","wt_out_degree_hoa2","wt_out_degree_hoa3","wt_out_strength_hoa2","wt_out_strength_hoa3","in_prespecified_panel"
"target","SQSTM1",0,FALSE,0.707574304889746,0.722368421052624,0.913900744200568,1.04079329805288,0.0682077625570776,0.104166666666667,277,249,7.038,4.48,"True"
"matched comparator","FIS1",0.907062060869129,TRUE,0.741131351869613,0.701315789473678,0.961892536762817,0.869139330451473,0.0418093607305936,0.0580764840182648,273,233,9.54,2.122,"True"
"matched comparator","HSPE1",1.05907785044981,TRUE,0.670182166826467,0.678947368421047,0.819739054160131,0.885846457436027,0.0878995433789954,0.0970319634703196,272,216,7.142,1.728,"True"
"matched comparator","MAP1LC3B",1.08513735917726,TRUE,0.684563758389267,0.703947368421046,0.888528359530325,1.03915563726185,0.108304794520548,0.100884703196347,286,261,15.169,9.124,"True"
"matched comparator","SOD1",1.20387745448904,TRUE,0.713326941514866,0.710526315789467,0.870629041240696,0.874449903328875,0.0426655251141553,0.0495148401826484,257,230,2.78,2.503,"True"
"matched comparator","PRDX1",1.2154773530823,TRUE,0.772770853307772,0.747368421052623,1.08359930791031,0.965735226144008,0.0395262557077626,0.0426655251141553,264,225,3.675,1.905,"True"
"matched comparator","PRDX2",1.23656447696467,FALSE,0.701821668264626,0.623684210526312,0.845714221940581,0.681630135527287,0.0489440639269406,0.0676369863013699,279,229,8.148,2.986,"True"
"matched comparator","GPX4",1.24368947553325,FALSE,0.772770853307772,0.724999999999992,1.17792013213089,0.982212586413928,0.0466609589041096,0.0569349315068493,276,213,6.226,1.812,"True"
"matched comparator","NFE2L2",1.25735819068016,FALSE,0.669223394055613,0.714473684210519,0.839778763040956,1.08459711668027,0.0944634703196347,0.124857305936073,264,269,3.509,12.35,"True"
"matched comparator","CALCOCO2",1.51088055694414,FALSE,0.573346116970281,0.684210526315783,0.63300857596555,0.826541237225331,0.141552511415525,0.0712043378995434,270,261,6.184,10.429,"True"
"matched comparator","PRDX5",1.6736847929558,FALSE,0.66251198465964,0.576315789473682,0.761146601498399,0.605571075772083,0.0619292237442922,0.0917522831050228,273,231,7.153,1.927,"True"
"matched comparator","ATP5F1A",1.81717670775855,FALSE,0.604026845637588,0.561842105263157,0.645165130455316,0.578688141640378,0.0777682648401826,0.0764840182648402,278,245,6.843,3.583,"True"
"matched comparator","NDUFA1",1.96590313328557,FALSE,0.621284755512947,0.546052631578947,0.676430658283548,0.556067699520528,0.0814783105022831,0.108732876712329,283,231,10.418,2.306,"True"
"matched comparator","RHEB",2.00970652365759,FALSE,0.546500479386388,0.578947368421051,0.564534351970193,0.62282233551722,0.110587899543379,0.0857591324200913,265,238,4.544,2.993,"True"
"matched comparator","UQCRB",2.18839481238737,FALSE,0.842761265580065,0.863157894736829,1.39850122733116,1.42755391634481,0.0253995433789954,0.0246860730593607,280,234,11.456,2.685,"True"
"matched comparator","VDAC2",2.46468327849904,FALSE,0.539789069990415,0.535526315789474,0.542155132215828,0.53690203677278,0.105736301369863,0.107448630136986,261,217,3.733,1.708,"True"
"matched comparator","AKAP12",3.94963021902038,FALSE,0.587727708533081,0.555263157894736,0.960069574915796,0.982778717674314,0.989297945205479,0.996004566210046,272,267,7.878,6.565,"False"
"matched comparator","C11orf96",4.01906838186666,FALSE,0.627037392138067,0.613157894736839,1.07840387532813,1.16564285847139,0.992009132420091,0.994149543378995,270,276,6.53,12.398,"False"
"matched comparator","MT2A",4.02483791923501,FALSE,0.724832214765106,0.773684210526306,1.18962222038392,1.49215904893291,0.976598173515982,0.971746575342466,280,259,10.32,5.513,"False"
"matched comparator","LGALS1",4.05530041017317,FALSE,0.591562799616494,0.555263157894736,0.836753724032569,0.713607751592214,0.988584474885845,0.981877853881279,271,243,5.616,8.935,"False"
"matched comparator","EGR1",4.11401055202678,FALSE,0.710450623202306,0.63552631578947,1.45256358420307,1.26466348150958,0.929081050228311,0.990582191780822,279,267,12.2,6.927,"False"
