"profile","donor","perturbation_gene","perturbation_role","rank","Gene","Distance","Z","FC","p_value","adjusted_p_value"
"manuscript","hoa2","SQSTM1","target",1,"SQSTM1",0.000841523735184077,3.92978814976613,225.2240098998,6.560743276661e-51,1.9682229829983e-48
"manuscript","hoa2","SQSTM1","target",2,"MT-ND1",0.000214113103221325,2.89039212150156,14.5803664303962,0.00013430661992022,0.0131917894827253
"manuscript","hoa2","SQSTM1","target",3,"MT-ATP6",0.000213468300818652,2.88827034912284,14.4926810070734,0.000140705164961609,0.0131917894827253
"manuscript","hoa2","SQSTM1","target",4,"MT-ND4",0.000210351539597066,2.8779332910064,14.0725673863222,0.000175890526436337,0.0131917894827253
"manuscript","hoa2","SQSTM1","target",5,"MT-CO2",0.000206929423950724,2.86642531675986,13.6184112344986,0.000223978146803888,0.0134386888082333
"manuscript","hoa2","SQSTM1","target",6,"MT-CO1",0.000174785814825051,2.74918270906964,9.71615230288079,0.00182655520237878,0.0913277601189391
"manuscript","hoa2","SQSTM1","target",7,"VWF",7.0023833021178e-05,2.15045247732892,1.5594580858894,0.211744584551328,0.999999999996351
"manuscript","hoa2","SQSTM1","target",8,"ENG",6.42320716050673e-05,2.09699605608962,1.31215701016557,0.252004488014306,0.999999999996351
"manuscript","hoa2","SQSTM1","target",9,"ICAM1",4.42183268037188e-05,1.8715761931178,0.621851315038259,0.430360156634065,0.999999999996351
"manuscript","hoa2","SQSTM1","target",10,"NFKBIA",4.40037968179399e-05,1.86870059708625,0.615831994671172,0.432600373046186,0.999999999996351
"manuscript","hoa2","SQSTM1","target",11,"KDR",3.31301745776828e-05,1.70351888387945,0.349083559459768,0.554632363800291,0.999999999996351
"manuscript","hoa2","SQSTM1","target",12,"SELE",2.93391268945966e-05,1.63435942656842,0.273763987452752,0.600817960715528,0.999999999996351
"manuscript","hoa2","SQSTM1","target",13,"HES1",2.81892996776359e-05,1.61180828725135,0.252726347055478,0.615161881479563,0.999999999996351
"manuscript","hoa2","SQSTM1","target",14,"CXCL2",2.60958533578152e-05,1.56856121195247,0.216583293392625,0.64165570085778,0.999999999996351
"manuscript","hoa2","SQSTM1","target",15,"EGR1",2.58449163193011e-05,1.56317178051613,0.212438001700306,0.644863197500372,0.999999999996351
"manuscript","hoa2","SQSTM1","target",16,"MIR222HG",2.4301253892918e-05,1.52895554413753,0.187818908600633,0.66473815442703,0.999999999996351
"manuscript","hoa2","SQSTM1","target",17,"NSUN6",2.42805150894668e-05,1.52848283166358,0.187498474323293,0.665006821948534,0.999999999996351
"manuscript","hoa2","SQSTM1","target",18,"FIS1",2.39949763220225e-05,1.52193757209076,0.183114442169978,0.668710287886948,0.999999999996351
"manuscript","hoa2","SQSTM1","target",19,"NR4A1",2.34588633776228e-05,1.50945903131932,0.175023304343803,0.675685487184511,0.999999999996351
