"profile","donor","perturbation_gene","elapsed_seconds"
"manuscript","hoa2","SQSTM1",1.42
"manuscript","hoa2","FIS1",1.17
"manuscript","hoa2","HSPE1",1.09
"manuscript","hoa2","MAP1LC3B",0.97
"manuscript","hoa2","SOD1",1.59
"manuscript","hoa2","PRDX1",1.62
"manuscript","hoa2","PRDX2",1.6
"manuscript","hoa2","GPX4",1.61
"manuscript","hoa2","NFE2L2",1.62
"manuscript","hoa2","CALCOCO2",1.72
"manuscript","hoa2","PRDX5",1.41
"manuscript","hoa2","ATP5F1A",1.58
"manuscript","hoa2","NDUFA1",1.71
"manuscript","hoa2","RHEB",1.58
"manuscript","hoa2","UQCRB",1.74
"manuscript","hoa2","VDAC2",1.7
"manuscript","hoa2","AKAP12",1.53
"manuscript","hoa2","C11orf96",1.62
"manuscript","hoa2","MT2A",1.58
"manuscript","hoa2","LGALS1",1.83
"manuscript","hoa2","EGR1",1.61
"manuscript","hoa3","SQSTM1",2.34
"manuscript","hoa3","FIS1",2.33
"manuscript","hoa3","HSPE1",2.42
"manuscript","hoa3","MAP1LC3B",1.91
"manuscript","hoa3","SOD1",1.65
"manuscript","hoa3","PRDX1",2.36
"manuscript","hoa3","PRDX2",2.5
"manuscript","hoa3","GPX4",1.99
"manuscript","hoa3","NFE2L2",1.56
"manuscript","hoa3","CALCOCO2",2.3
"manuscript","hoa3","PRDX5",2.31
"manuscript","hoa3","ATP5F1A",2.53
"manuscript","hoa3","NDUFA1",2.42
"manuscript","hoa3","RHEB",2.25000000000001
"manuscript","hoa3","UQCRB",2.34999999999999
"manuscript","hoa3","VDAC2",2.36
"manuscript","hoa3","AKAP12",2.09999999999999
"manuscript","hoa3","C11orf96",2.31
"manuscript","hoa3","MT2A",2.56
"manuscript","hoa3","LGALS1",2.39
"manuscript","hoa3","EGR1",2.28
"official_default","hoa2","SQSTM1",0.309999999999988
"official_default","hoa2","FIS1",0.170000000000002
"official_default","hoa2","HSPE1",0.159999999999997
"official_default","hoa2","MAP1LC3B",0.200000000000003
"official_default","hoa2","SOD1",0.199999999999989
"official_default","hoa2","PRDX1",0.160000000000011
"official_default","hoa2","PRDX2",0.309999999999988
"official_default","hoa2","GPX4",0.180000000000007
"official_default","hoa2","NFE2L2",0.189999999999998
"official_default","hoa2","CALCOCO2",0.200000000000003
"official_default","hoa2","PRDX5",0.199999999999989
"official_default","hoa2","ATP5F1A",0.190000000000012
"official_default","hoa2","NDUFA1",0.329999999999998
"official_default","hoa2","RHEB",0.189999999999998
"official_default","hoa2","UQCRB",0.180000000000007
"official_default","hoa2","VDAC2",0.209999999999994
"official_default","hoa2","AKAP12",0.160000000000011
"official_default","hoa2","C11orf96",0.199999999999989
"official_default","hoa2","MT2A",0.300000000000011
"official_default","hoa2","LGALS1",0.189999999999998
"official_default","hoa2","EGR1",0.170000000000002
"official_default","hoa3","SQSTM1",0.200000000000003
"official_default","hoa3","FIS1",0.169999999999987
"official_default","hoa3","HSPE1",0.210000000000008
"official_default","hoa3","MAP1LC3B",0.329999999999998
"official_default","hoa3","SOD1",0.200000000000003
"official_default","hoa3","PRDX1",0.200000000000003
"official_default","hoa3","PRDX2",0.25
"official_default","hoa3","GPX4",0.189999999999998
"official_default","hoa3","NFE2L2",0.200000000000003
"official_default","hoa3","CALCOCO2",0.200000000000003
"official_default","hoa3","PRDX5",0.200000000000003
"official_default","hoa3","ATP5F1A",0.199999999999989
"official_default","hoa3","NDUFA1",0.210000000000008
"official_default","hoa3","RHEB",0.319999999999993
"official_default","hoa3","UQCRB",0.210000000000008
"official_default","hoa3","VDAC2",0.219999999999999
"official_default","hoa3","AKAP12",0.230000000000004
"official_default","hoa3","C11orf96",0.170000000000002
"official_default","hoa3","MT2A",0.189999999999998
"official_default","hoa3","LGALS1",0.359999999999999
"official_default","hoa3","EGR1",0.219999999999999
