"profile","donor","Gene","common_rank_original","rank_percentile_original","p_value_original","common_adjusted_p_value_original","common_rank_mt_excluded","rank_percentile_mt_excluded","p_value_mt_excluded","common_adjusted_p_value_mt_excluded","rank_percentile_shift"
"manuscript","hoa2","AC002558.3",227,0.771331058020478,0.997995516965969,0.999999999996351,260,0.883959044368601,0.999953875962636,0.999999999970122,0.112627986348123
"manuscript","hoa2","AC010359.3",35,0.116040955631399,0.862708154524516,0.999999999996351,82,0.276450511945392,0.924684757755022,0.999999999970122,0.160409556313993
"manuscript","hoa2","AC091271.1",163,0.552901023890785,0.991109483187427,0.999999999996351,221,0.750853242320819,0.999860099094719,0.999999999970122,0.197952218430034
"manuscript","hoa2","AC109326.1",228,0.774744027303754,0.998000400289521,0.999999999996351,219,0.744027303754266,0.999859554729261,0.999999999970122,-0.0307167235494881
"manuscript","hoa2","ACE",207,0.703071672354949,0.996521335352064,0.999999999996351,56,0.187713310580205,0.850930217864156,0.999999999970122,-0.515358361774744
"manuscript","hoa2","ACKR1",36,0.119453924914676,0.87061186929642,0.999999999996351,20,0.0648464163822526,0.575804337521739,0.999999999970122,-0.0546075085324232
"manuscript","hoa2","ADAMTS1",64,0.215017064846416,0.943760559555699,0.999999999996351,115,0.389078498293515,0.969696260420571,0.999999999970122,0.174061433447099
"manuscript","hoa2","ADAMTS4",23,0.0750853242320819,0.798487900126591,0.999999999996351,61,0.204778156996587,0.862452108698204,0.999999999970122,0.129692832764505
"manuscript","hoa2","ADAMTS6",167,0.566552901023891,0.992000944920302,0.999999999996351,59,0.197952218430034,0.85858754191049,0.999999999970122,-0.368600682593857
"manuscript","hoa2","ADAMTS9",50,0.167235494880546,0.908566638423816,0.999999999996351,110,0.372013651877133,0.964382573177542,0.999999999970122,0.204778156996587
"manuscript","hoa2","ADGRG6",17,0.0546075085324232,0.712362258056428,0.999999999996351,57,0.191126279863481,0.852435486443358,0.999999999970122,0.136518771331058
"manuscript","hoa2","ADM",223,0.757679180887372,0.997601410311143,0.999999999996351,271,0.921501706484642,0.999964517219554,0.999999999970122,0.16382252559727
"manuscript","hoa2","AFG3L2",183,0.621160409556314,0.993907131737194,0.999999999996351,250,0.849829351535836,0.999933564729571,0.999999999970122,0.228668941979522
"manuscript","hoa2","AKAP12",26,0.0853242320819113,0.806668010431437,0.999999999996351,41,0.136518771331058,0.800346989416031,0.999999999970122,0.0511945392491468
"manuscript","hoa2","AKT1",262,0.890784982935154,0.999543011714015,0.999999999996351,234,0.795221843003413,0.999901742011469,0.999999999970122,-0.0955631399317407
"manuscript","hoa2","ANKRD29",74,0.249146757679181,0.961770887038153,0.999999999996351,29,0.0955631399317406,0.708476378051651,0.999999999970122,-0.15358361774744
"manuscript","hoa2","ANKRD42",58,0.194539249146758,0.927456979159549,0.999999999996351,157,0.532423208191126,0.993371792622964,0.999999999970122,0.337883959044369
"manuscript","hoa2","APOD",269,0.914675767918089,0.999704545944671,0.999999999996351,255,0.866894197952218,0.999946903041724,0.999999999970122,-0.0477815699658702
"manuscript","hoa2","AQP7",208,0.706484641638225,0.996636839204519,0.999999999996351,64,0.215017064846416,0.867252875435699,0.999999999970122,-0.491467576791809
"manuscript","hoa2","ARL15",91,0.307167235494881,0.97196222339184,0.999999999996351,54,0.180887372013652,0.845200989204376,0.999999999970122,-0.126279863481229
