"profile","model_variant","donor","pathway","n_nuclear_genes","nuclear_genes","observed_mean_common_rank","empirical_p","null_model","empirical_fdr"
"manuscript","original","hoa2","Mito_fission",9,"DNM1L;DNM2;FIS1;GIGYF1;GIGYF2;INF2;MFF;MTCH2;MTFR1L",195.555555555556,0.946802659867007,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",0.991850407479626
"manuscript","original","hoa2","Mitophagy_core",19,"ATG5;BCL2L13;BNIP3;BNIP3L;CALCOCO2;FKBP8;GABARAP;GABARAPL2;HIF1A;MAP1LC3B;NBR1;OPTN;PHB2;PINK1;TAX1BP1;TBK1;ULK1;VCP;VDAC1",157.368421052632,0.956902154892255,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",0.991850407479626
"manuscript","original","hoa2","Mito_proteostasis",11,"AFG3L2;CLPP;HSPD1;HSPE1;HTRA2;LONP1;PARL;PMPCA;PMPCB;TRAP1;YME1L1",195.545454545455,0.973601319934003,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",0.991850407479626
"manuscript","original","hoa2","OXPHOS",13,"ATP5F1A;ATP5F1B;ATP5MC1;COX4I1;COX5A;COX6C;COX7A2;NDUFA1;NDUFB8;NDUFS1;UQCRB;UQCRC1;UQCRC2",124.846153846154,0.892105394730264,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",0.991850407479626
"manuscript","original","hoa2","ROS_defense",11,"CAT;GPX4;KEAP1;NFE2L2;PRDX1;PRDX2;PRDX3;PRDX5;SOD1;SOD2;TXN2",130.272727272727,0.87675616219189,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",0.991850407479626
"manuscript","original","hoa2","mtDNA_release",8,"BAX;BCL2L1;BID;MCL1;PMAIP1;VDAC1;VDAC2;VDAC3",159.625,0.831808409579521,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",0.991850407479626
"manuscript","original","hoa2","cGAS_STING",8,"CGAS;IKBKB;IRF3;IRF7;NFKB1;RELA;TBK1;TMEM173",193,0.955452227388631,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",0.991850407479626
"manuscript","original","hoa2","Angiogenesis",8,"DLL4;EMCN;ENG;FLT1;KDR;PECAM1;TEK;VWF",104.625,0.649967501624919,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",0.991850407479626
"manuscript","original","hoa2","EC_inflammation",7,"ACKR1;CCL2;ICAM1;NFKBIA;SELE;TNFAIP3;VCAM1",54.5714285714286,0.0529473526323684,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",0.529473526323684
"manuscript","original","hoa2","YAP_mTOR",13,"AKT1;EIF4EBP1;LATS1;LATS2;MTOR;RHEB;RPS6KB1;TEAD1;TEAD4;TSC1;TSC2;WWTR1;YAP1",207.153846153846,0.991850407479626,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",0.991850407479626
"manuscript","original","hoa3","Mito_fission",9,"DNM1L;DNM2;FIS1;GIGYF1;GIGYF2;INF2;MFF;MTCH2;MTFR1L",182.111111111111,0.844657767111644,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",0.99950002499875
"manuscript","original","hoa3","Mitophagy_core",19,"ATG5;BCL2L13;BNIP3;BNIP3L;CALCOCO2;FKBP8;GABARAP;GABARAPL2;HIF1A;MAP1LC3B;NBR1;OPTN;PHB2;PINK1;TAX1BP1;TBK1;ULK1;VCP;VDAC1",187.473684210526,0.99950002499875,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",0.99950002499875
"manuscript","original","hoa3","Mito_proteostasis",11,"AFG3L2;CLPP;HSPD1;HSPE1;HTRA2;LONP1;PARL;PMPCA;PMPCB;TRAP1;YME1L1",158.727272727273,0.650367481625919,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",0.99950002499875
"manuscript","original","hoa3","OXPHOS",13,"ATP5F1A;ATP5F1B;ATP5MC1;COX4I1;COX5A;COX6C;COX7A2;NDUFA1;NDUFB8;NDUFS1;UQCRB;UQCRC1;UQCRC2",131.461538461538,0.926053697315134,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",0.99950002499875
"manuscript","original","hoa3","ROS_defense",11,"CAT;GPX4;KEAP1;NFE2L2;PRDX1;PRDX2;PRDX3;PRDX5;SOD1;SOD2;TXN2",96.4545454545455,0.32098395080246,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",0.80245987700615
"manuscript","original","hoa3","mtDNA_release",8,"BAX;BCL2L1;BID;MCL1;PMAIP1;VDAC1;VDAC2;VDAC3",154.25,0.725063746812659,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",0.99950002499875
"manuscript","original","hoa3","cGAS_STING",8,"CGAS;IKBKB;IRF3;IRF7;NFKB1;RELA;TBK1;TMEM173",134.75,0.31908404579771,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",0.80245987700615
"manuscript","original","hoa3","Angiogenesis",8,"DLL4;EMCN;ENG;FLT1;KDR;PECAM1;TEK;VWF",78.5,0.312034398280086,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",0.80245987700615
"manuscript","original","hoa3","EC_inflammation",7,"ACKR1;CCL2;ICAM1;NFKBIA;SELE;TNFAIP3;VCAM1",23.1428571428571,0.000649967501624919,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",0.00649967501624919
"manuscript","original","hoa3","YAP_mTOR",13,"AKT1;EIF4EBP1;LATS1;LATS2;MTOR;RHEB;RPS6KB1;TEAD1;TEAD4;TSC1;TSC2;WWTR1;YAP1",197.230769230769,0.981550922453877,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",0.99950002499875
"manuscript","mt_excluded","hoa2","Mito_fission",9,"DNM1L;DNM2;FIS1;GIGYF1;GIGYF2;INF2;MFF;MTCH2;MTFR1L",206.777777777778,0.979651017449128,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",0.999750012499375
"manuscript","mt_excluded","hoa2","Mitophagy_core",19,"ATG5;BCL2L13;BNIP3;BNIP3L;CALCOCO2;FKBP8;GABARAP;GABARAPL2;HIF1A;MAP1LC3B;NBR1;OPTN;PHB2;PINK1;TAX1BP1;TBK1;ULK1;VCP;VDAC1",189.526315789474,0.999750012499375,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",0.999750012499375
"manuscript","mt_excluded","hoa2","Mito_proteostasis",11,"AFG3L2;CLPP;HSPD1;HSPE1;HTRA2;LONP1;PARL;PMPCA;PMPCB;TRAP1;YME1L1",188.818181818182,0.966201689915504,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",0.999750012499375
"manuscript","mt_excluded","hoa2","OXPHOS",13,"ATP5F1A;ATP5F1B;ATP5MC1;COX4I1;COX5A;COX6C;COX7A2;NDUFA1;NDUFB8;NDUFS1;UQCRB;UQCRC1;UQCRC2",111,0.776461176941153,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",0.999750012499375
"manuscript","mt_excluded","hoa2","ROS_defense",11,"CAT;GPX4;KEAP1;NFE2L2;PRDX1;PRDX2;PRDX3;PRDX5;SOD1;SOD2;TXN2",125.363636363636,0.869906504674766,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",0.999750012499375
"manuscript","mt_excluded","hoa2","mtDNA_release",8,"BAX;BCL2L1;BID;MCL1;PMAIP1;VDAC1;VDAC2;VDAC3",201.625,0.995000249987501,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",0.999750012499375
"manuscript","mt_excluded","hoa2","cGAS_STING",8,"CGAS;IKBKB;IRF3;IRF7;NFKB1;RELA;TBK1;TMEM173",203.25,0.968151592420379,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",0.999750012499375
"manuscript","mt_excluded","hoa2","Angiogenesis",8,"DLL4;EMCN;ENG;FLT1;KDR;PECAM1;TEK;VWF",39.875,0.0197490125493725,"20,000 sets matched by quintiles of control detection prevalence and mean log1p CPM on the shared nuclear universe",0.197490125493725
