"Gene","rank_hoa2","p_value_hoa2","adjusted_p_value_hoa2","rank_hoa3","p_value_hoa3","adjusted_p_value_hoa3","mean_rank","max_rank"
"SQSTM1",1,6.74835533929264e-50,2.02450660178779e-47,1,7.32359367263552e-59,2.19707810179066e-56,1,1
"MT-ND4",3,1.9142242584987e-07,1.9142242584987e-05,5,0.232689192203775,0.999999999994531,4,5
"MT-ATP6",2,6.19628226182816e-10,9.29442339274224e-08,6,0.251800195107496,0.999999999994531,4,6
"MT-ND1",6,0.261119879732254,0.999999999988552,2,8.87549888738178e-06,0.00133132483310727,4,6
"VWF",8,0.886187491927194,0.999999999988552,4,0.0871488792859556,0.999999999994531,6,8
"MT-CO2",5,0.160246478083043,0.999999999988552,8,0.696169650806442,0.999999999994531,6.5,8
"NFKBIA",7,0.846072871281171,0.999999999988552,7,0.584863564299316,0.999999999994531,7,7
"MT-CO1",4,0.0011151442726124,0.0836358204459298,14,0.755689229179315,0.999999999994531,9,14
"MCL1",10,0.925884742606178,0.999999999988552,10,0.711662478081298,0.999999999994531,10,10
"ICAM1",9,0.923339089756366,0.999999999988552,13,0.754800721056548,0.999999999994531,11,13
"ENG",14,0.941822609117061,0.999999999988552,9,0.702448313695406,0.999999999994531,11.5,14
"ADAMTS4",12,0.940426540722248,0.999999999988552,18,0.849686326070703,0.999999999994531,15,18
"KDM6B",19,0.9489756187301,0.999999999988552,11,0.71739162425801,0.999999999994531,15,19
"TIPARP",20,0.952495469150316,0.999999999988552,12,0.724826648379745,0.999999999994531,16,20
"C7",33,0.969223687946116,0.999999999988552,3,0.000819193952544131,0.0819193952544131,18,33
"CKS2",11,0.939582919408353,0.999999999988552,28,0.912829811666811,0.999999999994531,19.5,28
"SERPINE1",21,0.952920023212543,0.999999999988552,23,0.889402038647305,0.999999999994531,22,23
"HBEGF",24,0.955827621955809,0.999999999988552,20,0.870684004132688,0.999999999994531,22,24
"CXCL2",13,0.940630772888454,0.999999999988552,35,0.939473630965977,0.999999999994531,24,35
"SELE",35,0.972777092255867,0.999999999988552,16,0.832202309600528,0.999999999994531,25.5,35
"C11orf96",31,0.968793578929646,0.999999999988552,21,0.879887405690588,0.999999999994531,26,31
"MIR222HG",29,0.96469999743164,0.999999999988552,26,0.905170376152173,0.999999999994531,27.5,29
"MAP1LC3B",17,0.944825077652181,0.999999999988552,41,0.952861460026912,0.999999999994531,29,41
"C2CD4B",39,0.97579314269537,0.999999999988552,24,0.890021008072092,0.999999999994531,31.5,39
"HMOX1",32,0.968830961645135,0.999999999988552,33,0.930622810066316,0.999999999994531,32.5,33
"NR4A2",36,0.973655836133183,0.999999999988552,31,0.928249328631079,0.999999999994531,33.5,36
"SLC25A44",28,0.964316554977245,0.999999999988552,40,0.952171162594245,0.999999999994531,34,40
"MT2A",25,0.95808473957705,0.999999999988552,43,0.95579734714329,0.999999999994531,34,43
"ADGRG6",49,0.9838475217508,0.999999999988552,19,0.857175204016092,0.999999999994531,34,49
"MSX1",34,0.9722505331047,0.999999999988552,36,0.940899661083921,0.999999999994531,35,36
"EGR3",23,0.95485351444013,0.999999999988552,48,0.965801422924356,0.999999999994531,35.5,48
"ATF3",26,0.958197936385536,0.999999999988552,49,0.96632878256133,0.999999999994531,37.5,49
"NR4A1",22,0.953426876646914,0.999999999988552,55,0.976556097813919,0.999999999994531,38.5,55
"SOD2",42,0.978059781300561,0.999999999988552,37,0.944542770550639,0.999999999994531,39.5,42
"CCL2",40,0.976269621362433,0.999999999988552,46,0.965038352547224,0.999999999994531,43,46
"EGR1",45,0.979940250653588,0.999999999988552,42,0.953124693897085,0.999999999994531,43.5,45
"CXCL3",15,0.941963911036291,0.999999999988552,75,0.989544956298941,0.999999999994531,45,75
"AKAP12",47,0.982034905688025,0.999999999988552,47,0.965422450853477,0.999999999994531,47,47
"ICAM4",43,0.978687498200893,0.999999999988552,57,0.977633401287067,0.999999999994531,50,57
"PECAM1",18,0.945739569598546,0.999999999988552,83,0.990857204474777,0.999999999994531,50.5,83
"SYNJ2",77,0.99096215102104,0.999999999988552,25,0.901372485284006,0.999999999994531,51,77
"ADAMTS9",76,0.990419138054851,0.999999999988552,30,0.924581890798452,0.999999999994531,53,76
"MIR22HG",83,0.992422867800064,0.999999999988552,27,0.909315220622882,0.999999999994531,55,83
"ATP13A3",50,0.98407315089589,0.999999999988552,69,0.98534853276593,0.999999999994531,59.5,69
"SEMA4A",44,0.97954196082049,0.999999999988552,77,0.989819468040717,0.999999999994531,60.5,77
"KCNQ1OT1",74,0.990222396579519,0.999999999988552,51,0.969971156490507,0.999999999994531,62.5,74
"ANKRD29",46,0.98101716568949,0.999999999988552,79,0.990549224024603,0.999999999994531,62.5,79
"PRDX2",88,0.992849633323663,0.999999999988552,44,0.959369033029366,0.999999999994531,66,88
"CLDN5",62,0.98742654660711,0.999999999988552,71,0.98690541801253,0.999999999994531,66.5,71
"TNFAIP3",118,0.995725786656165,0.999999999988552,15,0.776120086255859,0.999999999994531,66.5,118
"UQCRB",70,0.989715797542107,0.999999999988552,66,0.983482557655243,0.999999999994531,68,70
"ATP5F1A",78,0.991000703708612,0.999999999988552,61,0.981339249400839,0.999999999994531,69.5,78
"B3GNT5",113,0.995367240249715,0.999999999988552,29,0.921362911777514,0.999999999994531,71,113
"CREB5",65,0.987939228103831,0.999999999988552,78,0.989859136362249,0.999999999994531,71.5,78
"CXCL12",56,0.9861708317935,0.999999999988552,87,0.99229909609254,0.999999999994531,71.5,87
"HES1",16,0.942728922176875,0.999999999988552,135,0.996726829280377,0.999999999994531,75.5,135
"GIGYF2",58,0.986446525659052,0.999999999988552,95,0.993139083880429,0.999999999994531,76.5,95
"ANKRD42",73,0.990150105557423,0.999999999988552,81,0.990666871825488,0.999999999994531,77,81
"LTBP4",51,0.984266778242956,0.999999999988552,104,0.994152784355637,0.999999999994531,77.5,104
"PRDX5",82,0.992172868983237,0.999999999988552,76,0.989599213540965,0.999999999994531,79,82
"IER3",41,0.977626422310734,0.999999999988552,117,0.995411083970461,0.999999999994531,79,117
"BTNL9",37,0.974218440158749,0.999999999988552,121,0.995686427386508,0.999999999994531,79,121
"NFE2L2",143,0.99735098767164,0.999999999988552,17,0.838780839389938,0.999999999994531,80,143
"BIRC3",130,0.996584856893405,0.999999999988552,34,0.932963239192207,0.999999999994531,82,130
"DEPP1",69,0.98863548612115,0.999999999988552,96,0.993181042176055,0.999999999994531,82.5,96
"KDR",72,0.990150091242672,0.999999999988552,99,0.99366206773907,0.999999999994531,85.5,99
"VCAN",121,0.995842135136435,0.999999999988552,50,0.96905507436821,0.999999999994531,85.5,121
"NSUN6",81,0.991576315878193,0.999999999988552,91,0.992864822218289,0.999999999994531,86,91
