"Gene","rank_hoa2","p_value_hoa2","adjusted_p_value_hoa2","rank_hoa3","p_value_hoa3","adjusted_p_value_hoa3","mean_rank","max_rank"
"SQSTM1",1,1.67345685392545e-64,4.93669771908008e-62,1,3.45789652634163e-62,1.02007947527078e-59,1,1
"NFKBIA",2,0.286541264369651,0.99999999999946,2,0.0578771369768196,0.99999999999986,2,2
"VWF",5,0.548071217371876,0.99999999999946,5,0.123845969836378,0.99999999999986,5,5
"ICAM1",3,0.356011869214033,0.99999999999946,7,0.310118720629161,0.99999999999986,5,7
"SELE",7,0.604916702662448,0.99999999999946,6,0.261868518743725,0.99999999999986,6.5,7
"ENG",8,0.61098824061041,0.99999999999946,8,0.398820627746863,0.99999999999986,8,8
"MCL1",10,0.648777635165062,0.99999999999946,10,0.546040782962489,0.99999999999986,10,10
"KDM6B",13,0.676817401224281,0.99999999999946,9,0.525623805647858,0.99999999999986,11,13
"EMCN",18,0.718444546510533,0.99999999999946,13,0.628359013771286,0.99999999999986,15.5,18
"EGR1",6,0.57292499474989,0.99999999999946,27,0.885625361629073,0.99999999999986,16.5,27
"CXCL2",4,0.547498616725096,0.99999999999946,29,0.893802864477887,0.99999999999986,16.5,29
"MIR222HG",15,0.69380873320313,0.99999999999946,19,0.821272375321303,0.99999999999986,17,19
"PECAM1",11,0.655357799049484,0.99999999999946,24,0.865933753989698,0.99999999999986,17.5,24
"ADAMTS4",28,0.803582737136707,0.99999999999946,15,0.790913974474384,0.99999999999986,21.5,28
"C7",45,0.859083262373021,0.99999999999946,4,0.0847406425658376,0.99999999999986,24.5,45
"COX4I1",20,0.764500140593686,0.99999999999946,30,0.895161340751771,0.99999999999986,25,30
"UQCRB",22,0.767978445332547,0.99999999999946,33,0.902601508517398,0.99999999999986,27.5,33
"FIS1",17,0.708564367645408,0.99999999999946,41,0.924128337617534,0.99999999999986,29,41
"TIPARP",51,0.877661092712588,0.99999999999946,11,0.547715572382602,0.99999999999986,31,51
"TEK",38,0.845522044012726,0.99999999999946,28,0.888004045217444,0.99999999999986,33,38
"NR4A2",12,0.674624526688991,0.99999999999946,56,0.954582987818089,0.99999999999986,34,56
"COX6C",32,0.82397184016274,0.99999999999946,37,0.911886888186181,0.99999999999986,34.5,37
"GPX4",31,0.818955054993057,0.99999999999946,40,0.914647177300722,0.99999999999986,35.5,40
"PRDX1",46,0.862546211885276,0.99999999999946,26,0.885349989262003,0.99999999999986,36,46
"PRDX2",39,0.846755538644846,0.99999999999946,38,0.911920404045896,0.99999999999986,38.5,39
"EGR3",23,0.768373603604037,0.99999999999946,55,0.954224773234331,0.99999999999986,39,55
"PRDX5",34,0.835211472474579,0.99999999999946,45,0.933235931561526,0.99999999999986,39.5,45
"SLC25A44",19,0.758866493932802,0.99999999999946,60,0.960010311028509,0.99999999999986,39.5,60
"TNFAIP3",68,0.918134917597606,0.99999999999946,12,0.618304761663591,0.99999999999986,40,68
"NR4A1",16,0.69433451595488,0.99999999999946,65,0.966316464291692,0.99999999999986,40.5,65
"ACKR1",78,0.936020721113503,0.99999999999946,3,0.0593749636039116,0.99999999999986,40.5,78
"ICAM4",14,0.6804174699451,0.99999999999946,70,0.971999435724164,0.99999999999986,42,70
"CLDN5",29,0.814434778128462,0.99999999999946,57,0.956155313911099,0.99999999999986,43,57
"HBEGF",67,0.917993879030959,0.99999999999946,20,0.822878856886888,0.99999999999986,43.5,67
"BTNL9",27,0.794968099371292,0.99999999999946,64,0.96629000956948,0.99999999999986,45.5,64
"ANKRD29",26,0.781488031030245,0.99999999999946,66,0.9671150872008,0.99999999999986,46,66
"ATF3",30,0.816690349408748,0.99999999999946,63,0.966188053999245,0.99999999999986,46.5,63
"CKS2",50,0.875309867628304,0.99999999999946,44,0.928095205883232,0.99999999999986,47,50
"ADGRG6",83,0.943946146318477,0.99999999999946,14,0.780170793881773,0.99999999999986,48.5,83
"CD300LG",48,0.874639451642674,0.99999999999946,50,0.946001115464522,0.99999999999986,49,50
"SEMA4A",25,0.777291274404286,0.99999999999946,80,0.981029045984938,0.99999999999986,52.5,80
"HES1",9,0.643163325972824,0.99999999999946,96,0.985634510227649,0.99999999999986,52.5,96
"HMOX1",72,0.929084504142443,0.99999999999946,34,0.90330129120657,0.99999999999986,53,72
"SERPINE1",88,0.951439089028854,0.99999999999946,23,0.855082273606158,0.99999999999986,55.5,88
"DEPP1",41,0.847648553917219,0.99999999999946,73,0.973786199234192,0.99999999999986,57,73
"C11orf96",90,0.954511630391666,0.99999999999946,25,0.874240718046069,0.99999999999986,57.5,90
"ATP5F1A",66,0.917283851411157,0.99999999999946,51,0.948421853255187,0.99999999999986,58.5,66
"MSX1",85,0.946321823802081,0.99999999999946,32,0.899109625111576,0.99999999999986,58.5,85
