pathway,n_genes,genes,mean_rank_hoa2_manuscript,mean_rank_hoa3_manuscript,empirical_p_hoa2_manuscript,empirical_p_hoa3_manuscript,empirical_fdr_hoa2_manuscript,empirical_fdr_hoa3_manuscript,replicated_nominal_0_05_manuscript,replicated_fdr_0_05_manuscript,fisher_p_manuscript,fisher_fdr_manuscript,mean_rank_hoa2_official_default,mean_rank_hoa3_official_default,empirical_p_hoa2_official_default,empirical_p_hoa3_official_default,empirical_fdr_hoa2_official_default,empirical_fdr_hoa3_official_default,replicated_nominal_0_05_official_default,replicated_fdr_0_05_official_default,fisher_p_official_default,fisher_fdr_official_default,fdr_significant_all_profiles_and_donors,minimum_empirical_p
EC_inflammation,7,ACKR1;CCL2;ICAM1;NFKBIA;SELE;TNFAIP3;VCAM1,60.57142857142857,29.0,0.09059547022648867,0.003249837508124594,0.9059547022648867,0.03249837508124594,False,False,0.0026882072939015157,0.026882072939015157,92.85714285714286,32.857142857142854,0.3738313084345783,0.0028998550072496373,0.999850007499625,0.02899855007249637,False,False,0.00848495991064194,0.0848495991064194,False,0.0028998550072496373
Angiogenesis,8,DLL4;EMCN;ENG;FLT1;KDR;PECAM1;TEK;VWF,110.625,83.75,0.7409629518524073,0.368031598420079,0.9940002999850007,0.9200789960501974,False,False,0.6270388558993127,0.9997206644441035,112.375,80.0,0.6831658417079146,0.22518874056297186,0.999850007499625,0.9212872689698848,False,False,0.44180655069134434,0.9999999200123323,False,0.22518874056297186
ROS_defense,11,CAT;GPX4;KEAP1;NFE2L2;PRDX1;PRDX2;PRDX3;PRDX5;SOD1;SOD2;TXN2,136.27272727272728,102.45454545454545,0.8915554222288885,0.3559322033898305,0.9940002999850007,0.9200789960501974,False,False,0.6815692826246204,0.9997206644441035,148.9090909090909,99.9090909090909,0.9567021648917554,0.27638618069096543,0.999850007499625,0.9212872689698848,False,False,0.6161548672983617,0.9999999200123323,False,0.27638618069096543
OXPHOS,18,ATP5F1A;ATP5F1B;ATP5MC1;COX4I1;COX5A;COX6C;COX7A2;MT-ATP6;MT-CO1;MT-CO2;MT-ND1;MT-ND4;NDUFA1;NDUFB8;NDUFS1;UQCRB;UQCRC1;UQCRC2,95.61111111111111,100.94444444444444,0.3797310134493275,0.4902254887255637,0.9940002999850007,0.9804509774511274,False,False,0.49911226633553696,0.9997206644441035,98.5,111.94444444444444,0.3185840707964602,0.623568821558922,0.999850007499625,0.999750012499375,False,False,0.5197249717253888,0.9999999200123323,False,0.3185840707964602
cGAS_STING,8,CGAS;IKBKB;IRF3;IRF7;NFKB1;RELA;TBK1;TMEM173,199.0,140.75,0.9612519374031299,0.36693165341732914,0.9940002999850007,0.9200789960501974,False,False,0.7202762181019071,0.9997206644441035,223.25,162.875,0.9941002949852508,0.6734663266836658,0.999850007499625,0.999750012499375,False,False,0.9381167653167161,0.9999999200123323,False,0.36693165341732914
mtDNA_release,8,BAX;BCL2L1;BID;MCL1;PMAIP1;VDAC1;VDAC2;VDAC3,165.625,160.25,0.8686065696715164,0.7830608469576521,0.9940002999850007,0.9994000299985001,False,False,0.9423167205703918,0.9997206644441035,164.375,146.0,0.8294085295735213,0.6188690565471726,0.999850007499625,0.999750012499375,False,False,0.8556139540328187,0.9999999200123323,False,0.6188690565471726
Mito_proteostasis,11,AFG3L2;CLPP;HSPD1;HSPE1;HTRA2;LONP1;PARL;PMPCA;PMPCB;TRAP1;YME1L1,201.54545454545453,164.72727272727272,0.9809509524523774,0.663666816659167,0.9940002999850007,0.9994000299985001,False,False,0.9304494667632325,0.9997206644441035,210.1818181818182,195.27272727272728,0.9961501924903755,0.9585020748962552,0.999850007499625,0.999750012499375,False,False,0.9989632877237136,0.9999999200123323,False,0.663666816659167
Mito_fission,9,DNM1L;DNM2;FIS1;GIGYF1;GIGYF2;INF2;MFF;MTCH2;MTFR1L,201.55555555555554,188.11111111111111,0.9556022198890055,0.8661566921653917,0.9940002999850007,0.9994000299985001,False,False,0.9842220400300794,0.9997206644441035,202.11111111111111,192.33333333333334,0.9634018299085045,0.911954402279886,0.999850007499625,0.999750012499375,False,False,0.9923105082403239,0.9999999200123323,False,0.8661566921653917
Mitophagy_core,19,ATG5;BCL2L13;BNIP3;BNIP3L;CALCOCO2;FKBP8;GABARAP;GABARAPL2;HIF1A;MAP1LC3B;NBR1;OPTN;PHB2;PINK1;TAX1BP1;TBK1;ULK1;VCP;VDAC1,163.3684210526316,193.47368421052633,0.9756512174391281,0.9994000299985001,0.9940002999850007,0.9994000299985001,False,False,0.9996865278895989,0.9997206644441035,190.73684210526315,194.68421052631578,0.999850007499625,0.999750012499375,0.999850007499625,0.999750012499375,False,False,0.9999999200123323,0.9999999200123323,False,0.9756512174391281
YAP_mTOR,13,AKT1;EIF4EBP1;LATS1;LATS2;MTOR;RHEB;RPS6KB1;TEAD1;TEAD4;TSC1;TSC2;WWTR1;YAP1,213.15384615384616,203.23076923076923,0.9940002999850007,0.9823508824558772,0.9940002999850007,0.9994000299985001,False,False,0.9997206644441035,0.9997206644441035,208.92307692307693,218.23076923076923,0.9913504324783761,0.9976001199940003,0.999850007499625,0.999750012499375,False,False,0.9999389591881495,0.9999999200123323,False,0.9823508824558772
