"fit_id","pathway","NES","pval","padj","size","leading_edge_count","leading_edge_genes"
"full","HALLMARK_ALLOGRAFT_REJECTION",2.50116412719673,2.02198739426608e-18,1.01099369713304e-16,179,81,"MMP9;ITGB2;GZMB;CD3D;IL10;CD2;CD3E;PRF1;CD3G;CD8B;HLA-DOA;LCP2;SPI1;IL2RG;WAS;ITGAL;PTPRC;TIMP1;ITK;IGSF6;GZMA;NLRP3;CRTAM;NCF4;HCLS1;CD1D;INHBB;IL2RB;CCL5;EIF3J;CD247;HLA-DMB;CD8A;HLA-DRA;NCK1;LTB;CTSS;SOCS1;GPR65;KLRD1;CCL4;CD96;IL1B;CD7;CD74;LY75;NME1;TLR1;IL4R;TGFB1;LCK;CAPG;SIT1;IL18;CXCR3;PTPN6;TLR2;BCL10;ZAP70;BCAT1;HLA-DMA;CCND2;IFNGR1;EIF5A;HLA-DQA1;IRF7;HLA-DOB;CCR5;LY86;TAPBP;TAP1;CCR1;HIF1A;C2;STAT4;FLNA;FYB1;CD28;LIF;TLR6;CCND3"
"full","HALLMARK_INTERFERON_GAMMA_RESPONSE",2.37186831824453,2.27520447860301e-15,5.68801119650753e-14,190,79,"CXCL10;HLA-DRB1;IL10RA;LGALS3BP;LY6E;ISG15;LCP2;OAS3;SAMHD1;RSAD2;GZMA;C1R;IFI27;PSMA2;PDE4B;RNF213;IFIT1;CSF2RB;MX2;HERC6;CMPK2;IFI44L;OAS2;USP18;EPSTI1;IL2RB;CCL5;PTGS2;TNFAIP6;ZBP1;SERPING1;SOCS1;IL18BP;SELP;OASL;IFIT3;MX1;CD74;CD69;FCGR1A;ISG20;IL4R;IFIT2;XAF1;FPR1;HELZ2;C1S;MYD88;IFI44;IFITM3;TNFAIP2;PTPN6;CASP3;HLA-DMA;STAT2;HLA-DQA1;CFH;ADAR;IRF7;IFIH1;SAMD9L;LYSMD2;MVP;TRIM14;EIF2AK2;SLAMF7;TAPBP;NMI;SP110;CD274;TAP1;HIF1A;PARP14;PTPN2;KLRK1;IFI35;STAT4;CASP7;PSMA3"
"full","HALLMARK_INFLAMMATORY_RESPONSE",2.17650096041075,7.36669341309059e-11,1.2277822355151e-09,178,74,"SELL;CXCL10;CCL20;CYBB;IL10;IL10RA;CSF3R;LY6E;CD48;LCP2;TIMP1;APLNR;NLRP3;PDE4B;PTAFR;RNF144B;F3;ABCA1;RASGRP1;IL2RB;CCL5;KCNJ2;GPR183;TNFAIP6;SLC31A2;ITGA5;AQP9;HAS2;TNFRSF9;CSF3;IFITM1;IL1B;LAMP3;CD69;TLR1;IL4R;MMP14;RGS1;FPR1;LCK;CCR7;IL7R;PROK2;IL18;GPR132;MSR1;EDN1;SELENOS;TLR2;OSM;KLF6;C5AR1;IRF7;EIF2AK2;TAPBP;NMI;PTPRE;HIF1A;PTGIR;EMP3;MARCO;OSMR;SLC4A4;GNA15;PVR;LIF;BEST1;SLC7A1;IL18R1;CXCL8;ATP2A2;GCH1;CX3CL1;SERPINE1"
"full","HALLMARK_INTERFERON_ALPHA_RESPONSE",2.32157244663035,2.52307514441151e-10,3.15384393051439e-09,94,43,"SELL;CXCL10;LGALS3BP;LY6E;ISG15;RSAD2;IFI27;HERC6;CMPK2;OAS1;IFI44L;USP18;EPSTI1;NCOA7;OASL;IFITM1;IFIT3;MX1;LAMP3;CD74;ISG20;SAMD9;IL4R;IFIT2;HELZ2;C1S;TENT5A;IFI44;IFITM3;TRIM5;GMPR;STAT2;ADAR;IRF7;IFIH1;SAMD9L;TRIM14;EIF2AK2;NMI;SP110;TAP1;PARP14;IFI35"
"full","HALLMARK_COMPLEMENT",2.03142074420867,2.08193430593075e-08,2.08193430593075e-07,173,54,"APOC1;GZMB;FCER1G;C1QA;GNG2;DOCK10;LCP2;WAS;FCN1;TIMP1;S100A12;C1QC;GZMA;C1R;CTSB;MMP13;KYNU;GZMK;DUSP6;F3;ATOX1;SPOCK2;RASGRP1;CCL5;LTF;SERPING1;APOBEC3G;CTSS;ITGAM;PHEX;S100A9;DOCK9;PLA2G7;MMP14;SERPINA1;PDP1;LCK;PCLO;C1S;FDX1;COL4A2;FYN;ME1;LGMN;CR1;CEBPB;CASP3;CFH;EHD1;IRF7;CDA;CDH13;SIRT6;PIK3CA"
"full","HALLMARK_COAGULATION",1.95996820136529,3.18794944623114e-06,2.65662453852595e-05,98,34,"MMP9;CTSK;APOC1;C1QA;TIMP1;DUSP14;C1R;PLAU;CFD;BMP1;CTSB;DUSP6;F3;PRSS23;SERPING1;MMP2;CFI;KLF7;THBS1;SPARC;MMP14;ANXA1;SERPINA1;VWF;C1S;ITGA2;FYN;LGMN;CFH;MMP3;PROS1;PDGFB;USP11;C2"
"full","HALLMARK_G2M_CHECKPOINT",-1.76094028063813,4.29065937257871e-06,3.06475669469908e-05,193,68,"MEIS2;NOLC1;MT2A;MYC;CCND1;CDKN1B;EZH2;CKS2;CCNT1;FBXO5;TOP2A;HNRNPU;PURA;TRA2B;CCNF;ORC5;KMT5A;AURKA;CTCF;NUP98;XPO1;BIRC5;LBR;CDC27;SFPQ;KNL1;PTTG1;TPX2;E2F2;TLE3;AMD1;PLK1;MCM6;RACGAP1;HMMR;BCL3;BUB3;CUL3;CASP8AP2;HSPA8;CDC20;EWSR1;HNRNPD;AURKB;KIF4A;CCNB2;TOP1;NUMA1;CENPE;E2F4;SMC4;STAG1;HMGB3;MCM5;MARCKS;NEK2;UBE2S;KATNA1;ESPL1;ODC1;MAPK14;BUB1;PDS5B;STIL;RASAL2;SMC1A;RAD23B;CDK1"
"full","HALLMARK_KRAS_SIGNALING_UP",1.78800660990515,7.40593019891358e-06,4.62870637432099e-05,169,42,"SPP1;MMP9;ITGB2;FCER1G;CXCL10;CCL20;RETN;IL10RA;SLPI;IL2RG;ALDH1A3;CXCR4;PLAU;IKZF1;F13A1;LCP1;GALNT3;DOCK2;ANGPTL4;DUSP6;PTGS2;PDCD1LG2;CTSS;MMD;MPZL2;GPNMB;IL1B;PRELID3B;SPON1;EPB41L3;CLEC4A;TRAF1;IL7R;PLEK2;ITGA2;ETV5;TOR1AIP2;GLRX;CCND2;TMEM176B;CFH;MALL"
"full","HALLMARK_FATTY_ACID_METABOLISM",-1.68852965471498,0.000275124986251536,0.00152847214584187,136,28,"XIST;HSP90AA1;HMGCS1;HSPH1;ACADS;ACSM3;IDI1;CD36;EPHX1;MGLL;AQP7;INMT;KMT5A;ALDH9A1;GABARAPL1;LTC4S;EHHADH;UGDH;SERINC1;MLYCD;NTHL1;BPHL;HSD17B7;HADH;CA4;ACOX1;LGALS1;MAOA"
"full","HALLMARK_TGF_BETA_SIGNALING",-1.88021401268255,0.00035020079762143,0.00175100398810715,52,17,"ID2;ID1;ID3;SMAD7;KLF10;SKIL;JUNB;BMP2;CDKN1C;SMAD6;ACVR1;ARID4B;ENG;SLC20A1;FNTA;HIPK2;CDK9"
