"pathway","driver_rank","gene","stat"
"HALLMARK_ALLOGRAFT_REJECTION",1,"MMP9",6.80251532884023
"HALLMARK_ALLOGRAFT_REJECTION",2,"ITGB2",4.51420063622482
"HALLMARK_ALLOGRAFT_REJECTION",3,"GZMB",3.67003063354067
"HALLMARK_ALLOGRAFT_REJECTION",4,"CD3D",3.52043316675066
"HALLMARK_ALLOGRAFT_REJECTION",5,"IL10",3.24775031330408
"HALLMARK_ALLOGRAFT_REJECTION",6,"CD2",3.23735857065062
"HALLMARK_ALLOGRAFT_REJECTION",7,"CD3E",2.85123007258661
"HALLMARK_ALLOGRAFT_REJECTION",8,"PRF1",2.58501205746848
"HALLMARK_ALLOGRAFT_REJECTION",9,"CD3G",2.54090719911535
"HALLMARK_ALLOGRAFT_REJECTION",10,"CD8B",2.44664077346046
"HALLMARK_ALLOGRAFT_REJECTION",11,"HLA-DOA",2.43638243627166
"HALLMARK_ALLOGRAFT_REJECTION",12,"LCP2",2.3114684898599
"HALLMARK_ALLOGRAFT_REJECTION",13,"SPI1",2.29880022370458
"HALLMARK_ALLOGRAFT_REJECTION",14,"IL2RG",2.29862283040486
"HALLMARK_ALLOGRAFT_REJECTION",15,"WAS",2.22400105893363
"HALLMARK_ALLOGRAFT_REJECTION",16,"ITGAL",2.20170376434139
"HALLMARK_ALLOGRAFT_REJECTION",17,"PTPRC",2.13405914989365
"HALLMARK_ALLOGRAFT_REJECTION",18,"TIMP1",2.10844829731569
"HALLMARK_ALLOGRAFT_REJECTION",19,"ITK",2.08692243433374
"HALLMARK_ALLOGRAFT_REJECTION",20,"IGSF6",2.0427475009583
"HALLMARK_INFLAMMATORY_RESPONSE",1,"SELL",3.68974897009131
"HALLMARK_INFLAMMATORY_RESPONSE",2,"CXCL10",3.39362514532494
"HALLMARK_INFLAMMATORY_RESPONSE",3,"CCL20",3.3224815170952
"HALLMARK_INFLAMMATORY_RESPONSE",4,"CYBB",3.29022154396872
"HALLMARK_INFLAMMATORY_RESPONSE",5,"IL10",3.24775031330408
"HALLMARK_INFLAMMATORY_RESPONSE",6,"IL10RA",2.8141176825476
