"overlap_type","pathway_a","pathway_b","n_a","n_b","n_intersection","jaccard"
"Hallmark gene-set membership","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_INTERFERON_GAMMA_RESPONSE",200,200,37,0.101928374655647
"Hallmark gene-set membership","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_INTERFERON_ALPHA_RESPONSE",200,97,12,0.0421052631578947
"Hallmark gene-set membership","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_INFLAMMATORY_RESPONSE",200,200,37,0.101928374655647
"Hallmark gene-set membership","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",200,97,73,0.325892857142857
"Hallmark gene-set membership","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",200,200,37,0.101928374655647
"Hallmark gene-set membership","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",97,200,17,0.0607142857142857
"Full-fit leading edge","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_INTERFERON_GAMMA_RESPONSE",81,79,15,0.103448275862069
"Full-fit leading edge","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_INTERFERON_ALPHA_RESPONSE",81,43,4,0.0333333333333333
"Full-fit leading edge","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_INFLAMMATORY_RESPONSE",81,74,16,0.115107913669065
"Full-fit leading edge","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",79,43,34,0.386363636363636
"Full-fit leading edge","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",79,74,16,0.116788321167883
"Full-fit leading edge","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",43,74,9,0.0833333333333333
