"fit_id","pathway","NES","pval","padj","size","leading_edge_count","leading_edge_genes"
"full","HALLMARK_ALLOGRAFT_REJECTION",2.50116412719673,2.02198739426608e-18,1.01099369713304e-16,179,81,"MMP9;ITGB2;GZMB;CD3D;IL10;CD2;CD3E;PRF1;CD3G;CD8B;HLA-DOA;LCP2;SPI1;IL2RG;WAS;ITGAL;PTPRC;TIMP1;ITK;IGSF6;GZMA;NLRP3;CRTAM;NCF4;HCLS1;CD1D;INHBB;IL2RB;CCL5;EIF3J;CD247;HLA-DMB;CD8A;HLA-DRA;NCK1;LTB;CTSS;SOCS1;GPR65;KLRD1;CCL4;CD96;IL1B;CD7;CD74;LY75;NME1;TLR1;IL4R;TGFB1;LCK;CAPG;SIT1;IL18;CXCR3;PTPN6;TLR2;BCL10;ZAP70;BCAT1;HLA-DMA;CCND2;IFNGR1;EIF5A;HLA-DQA1;IRF7;HLA-DOB;CCR5;LY86;TAPBP;TAP1;CCR1;HIF1A;C2;STAT4;FLNA;FYB1;CD28;LIF;TLR6;CCND3"
"full","HALLMARK_INTERFERON_GAMMA_RESPONSE",2.37186831824453,2.27520447860301e-15,5.68801119650753e-14,190,79,"CXCL10;HLA-DRB1;IL10RA;LGALS3BP;LY6E;ISG15;LCP2;OAS3;SAMHD1;RSAD2;GZMA;C1R;IFI27;PSMA2;PDE4B;RNF213;IFIT1;CSF2RB;MX2;HERC6;CMPK2;IFI44L;OAS2;USP18;EPSTI1;IL2RB;CCL5;PTGS2;TNFAIP6;ZBP1;SERPING1;SOCS1;IL18BP;SELP;OASL;IFIT3;MX1;CD74;CD69;FCGR1A;ISG20;IL4R;IFIT2;XAF1;FPR1;HELZ2;C1S;MYD88;IFI44;IFITM3;TNFAIP2;PTPN6;CASP3;HLA-DMA;STAT2;HLA-DQA1;CFH;ADAR;IRF7;IFIH1;SAMD9L;LYSMD2;MVP;TRIM14;EIF2AK2;SLAMF7;TAPBP;NMI;SP110;CD274;TAP1;HIF1A;PARP14;PTPN2;KLRK1;IFI35;STAT4;CASP7;PSMA3"
"full","HALLMARK_INFLAMMATORY_RESPONSE",2.17650096041075,7.36669341309059e-11,1.2277822355151e-09,178,74,"SELL;CXCL10;CCL20;CYBB;IL10;IL10RA;CSF3R;LY6E;CD48;LCP2;TIMP1;APLNR;NLRP3;PDE4B;PTAFR;RNF144B;F3;ABCA1;RASGRP1;IL2RB;CCL5;KCNJ2;GPR183;TNFAIP6;SLC31A2;ITGA5;AQP9;HAS2;TNFRSF9;CSF3;IFITM1;IL1B;LAMP3;CD69;TLR1;IL4R;MMP14;RGS1;FPR1;LCK;CCR7;IL7R;PROK2;IL18;GPR132;MSR1;EDN1;SELENOS;TLR2;OSM;KLF6;C5AR1;IRF7;EIF2AK2;TAPBP;NMI;PTPRE;HIF1A;PTGIR;EMP3;MARCO;OSMR;SLC4A4;GNA15;PVR;LIF;BEST1;SLC7A1;IL18R1;CXCL8;ATP2A2;GCH1;CX3CL1;SERPINE1"
"full","HALLMARK_INTERFERON_ALPHA_RESPONSE",2.32157244663035,2.52307514441151e-10,3.15384393051439e-09,94,43,"SELL;CXCL10;LGALS3BP;LY6E;ISG15;RSAD2;IFI27;HERC6;CMPK2;OAS1;IFI44L;USP18;EPSTI1;NCOA7;OASL;IFITM1;IFIT3;MX1;LAMP3;CD74;ISG20;SAMD9;IL4R;IFIT2;HELZ2;C1S;TENT5A;IFI44;IFITM3;TRIM5;GMPR;STAT2;ADAR;IRF7;IFIH1;SAMD9L;TRIM14;EIF2AK2;NMI;SP110;TAP1;PARP14;IFI35"
"omit_hoa1","HALLMARK_ALLOGRAFT_REJECTION",2.64789959876409,2.35778179024238e-23,1.17889089512119e-21,179,90,"MMP9;ITGB2;GZMB;IL10;CD3D;CD2;GZMA;CCL5;CD3E;CCL4;SPI1;PRF1;CD3G;CD8B;HLA-DOA;IGSF6;IL2RG;WAS;LCP2;ITK;ITGAL;NLRP3;NCF4;SRGN;CRTAM;KLRD1;CAPG;CD1D;HLA-DRA;TIMP1;IL6;EIF3J;PTPRC;EREG;HCLS1;CD74;IL2RB;HLA-DMA;SOCS1;INHBB;IRF7;CD247;CD8A;TLR1;GPR65;CD7;CD96;ELANE;CD47;LTB;NME1;LY75;NCK1;HLA-DMB;SIT1;IL4R;EIF5A;CXCR3;IL1B;CTSS;IL18;HLA-DQA1;CCND2;TLR2;ETS1;TAP1;CCR5;ZAP70;LCK;BCAT1;HIF1A;CCR1;PRKCB;CCR2;LIF;NCR1;HLA-DOB;RIPK2;PTPN6;IRF4;B2M;FLNA;LY86;TGFB1;TAPBP;CD28;IL18RAP;TLR6;RPS19;FYB1"
"omit_hoa1","HALLMARK_INTERFERON_GAMMA_RESPONSE",2.49811719909633,3.41866569721272e-20,8.54666424303179e-19,190,83,"CXCL10;ISG15;IL10RA;GZMA;CCL5;ISG20;LGALS3BP;MX1;FPR1;LY6E;HLA-DRB1;LCP2;PDE4B;IFI27;ZBP1;OAS3;TNFAIP6;C1R;PTGS2;IL6;USP18;SAMHD1;FCGR1A;RSAD2;CD69;CD74;PSMA2;IL2RB;HERC6;HLA-DMA;SOCS1;EPSTI1;RNF213;CMPK2;IRF7;MX2;HELZ2;OAS2;CSF2RB;IL18BP;IFIT1;CD38;IFI44L;SLAMF7;IFIT3;PSME2;IFITM3;IFI44;KLRK1;MTHFD2;IL4R;OASL;GCH1;FGL2;HLA-DQA1;SERPING1;IFI35;SELP;ADAR;EIF2AK2;TAP1;HIF1A;C1S;TNFAIP2;XAF1;PSMB2;IFIT2;BTG1;STAT2;RIPK2;HLA-B;IFIH1;PTPN6;UPP1;OGFR;MYD88;IRF4;B2M;TAPBP;LYSMD2;NMI;CASP3;CD274"
"omit_hoa1","HALLMARK_INFLAMMATORY_RESPONSE",2.36265818790207,4.7955762116304e-15,7.99262701938401e-14,178,77,"SELL;IL10;CYBB;CXCL10;CCL20;IL10RA;CSF3R;CCL5;FPR1;KLF6;LY6E;LCP2;PDE4B;GPR183;NLRP3;CD48;PTGER4;EMP3;RASGRP1;PLAUR;TNFAIP6;PTAFR;TIMP1;IL6;EREG;APLNR;CD69;RNF144B;IL2RB;AQP9;ADM;LAMP3;SELENOS;PROK2;IRF7;TNFRSF9;SLC31A2;KCNJ2;F3;PTPRE;TLR1;HAS2;MSR1;ABCA1;IFITM1;IL7R;MMP14;OLR1;GPR132;ITGA5;MARCO;IL4R;GCH1;IL1B;EDN1;CSF3;IL18;MXD1;TLR2;EIF2AK2;CCR7;LCK;HIF1A;SPHK1;ITGB8;RGS1;LIF;OSM;SERPINE1;IRAK2;RIPK2;PTGIR;SLC4A4;CX3CL1;TAPBP;NMI;IL18RAP"
"omit_hoa1","HALLMARK_INTERFERON_ALPHA_RESPONSE",2.35678565460841,5.72129226566161e-11,5.72129226566161e-10,94,42,"SELL;CXCL10;ISG15;ISG20;LGALS3BP;MX1;LY6E;IFI27;USP18;RSAD2;CD74;HERC6;LAMP3;EPSTI1;CMPK2;IRF7;TENT5A;HELZ2;OAS1;IFI44L;IFITM1;CD47;IFIT3;PSME2;IFITM3;IFI44;IL4R;OASL;IFI35;ADAR;EIF2AK2;TAP1;NCOA7;C1S;IFIT2;STAT2;RIPK2;IFIH1;SAMD9;OGFR;GMPR;B2M"
"omit_hoa2","HALLMARK_ALLOGRAFT_REJECTION",2.31918720742401,3.16865000754096e-15,1.58432500377048e-13,178,59,"MMP9;ITGB2;GZMA;GZMB;PRF1;CD8B;CD3D;CD2;CCL4;CD3E;CD3G;IL10;IL2RG;LTB;INHBB;CRTAM;CCL5;CD247;WAS;LCP2;ITGAL;NCF4;HLA-DOA;GPR65;PTPRC;HCLS1;CD8A;LCK;CD1D;TGFB1;IGSF6;KLRD1;HLA-DMB;IFNG;TLR6;SPI1;ZAP70;CD7;ITK;NLRP3;IL2RB;TIMP1;IL1B;SIT1;TLR1;IL18;CSK;LY75;NCK1;NME1;PTPN6;CD74;CTSS;EIF3J;HLA-DRA;BCAT1;CD96;CXCR3;BRCA1"
"omit_hoa2","HALLMARK_INTERFERON_GAMMA_RESPONSE",1.85585048367367,1.36524663980366e-06,3.41311659950915e-05,190,77,"HLA-DRB1;GZMA;CD69;CXCL10;IL10RA;CCL5;ISG15;LGALS3BP;PSMA2;LCP2;SAMHD1;OAS3;LY6E;RSAD2;RNF213;PDE4B;IFIT1;C1R;IL2RB;IFI27;MX2;HERC6;CMPK2;CSF2RB;FPR1;SERPING1;OAS2;IFI44L;USP18;OASL;CFH;PTGS2;ZBP1;C1S;PTPN6;EPSTI1;CD74;TNFAIP6;IFIT3;SELP;CASP7;TNFAIP2;IL18BP;IFIT2;MX1;XAF1;LYSMD2;MYD88;STAT4;SOCS1;SAMD9L;CD274;MVP;TRIM14;CASP3;PML;FCGR1A;STAT2;HLA-DQA1;IFI44;TAPBP;PARP12;KLRK1;NOD1;TRAFD1;CIITA;TOR1B;SP110;HLA-DMA;PSMA3;NMI;IFITM3;IL4R;PFKP;EIF4E3;PTPN2;NLRC5"
