gene,source_module,platform_has_probe,n_probes,final_available,unavailable_reason
AKT1,YAP_mTOR,True,3,True,
AMBRA1,Mitophagy_core,True,3,True,
ATG5,Mitophagy_core,True,3,True,
ATG7,Mitophagy_core,True,3,True,
BAK1,mtDNA_release,True,5,True,
BAX,mtDNA_release,True,2,True,
BBC3,mtDNA_release,True,2,True,
BCL2,mtDNA_release,True,6,True,
BCL2L1,mtDNA_release,True,3,True,
BCL2L13,Mitophagy_core,True,7,True,
BID,mtDNA_release,True,4,True,
BNIP3,Mitophagy_core,True,2,True,
BNIP3L,Mitophagy_core,True,6,True,
CALCOCO2,Mitophagy_core,True,5,True,
CCL5,cGAS_STING,True,3,True,
CHUK,cGAS_STING,True,1,True,
CXCL10,cGAS_STING,True,1,True,
DNM1,Mito_fission,True,3,True,
DNM1L,Mito_fission,True,4,True,
DNM2,Mito_fission,True,3,True,
EIF4EBP1,YAP_mTOR,True,3,True,
FIS1,Mito_fission,True,1,True,
FKBP8,Mitophagy_core,True,3,True,
FUNDC1,Mitophagy_core,True,1,True,
GABARAP,Mitophagy_core,True,4,True,
GABARAPL2,Mitophagy_core,True,4,True,
GDAP1,Mito_fission,True,4,True,
GIGYF1,Mito_fission,True,5,True,
GIGYF2,Mito_fission,True,7,True,
HIF1A,Mitophagy_core,True,8,True,
IKBKB,cGAS_STING,True,11,True,
IL6,cGAS_STING,True,2,True,
INF2,Mito_fission,True,5,True,
IRF3,cGAS_STING,True,6,True,
IRF7,cGAS_STING,True,1,True,
LATS1,YAP_mTOR,True,3,True,
LATS2,YAP_mTOR,True,3,True,
MAP1LC3B,Mitophagy_core,True,4,True,
MCL1,mtDNA_release,True,6,True,
MFF,Mito_fission,True,5,True,
MFN1,Mito_fusion,True,3,True,
MFN2,Mito_fusion,True,3,True,
MIEF1,Mito_fission,True,3,True,
MIEF2,Mito_fission,True,1,True,
MST1,YAP_mTOR,True,2,True,
MTCH2,Mito_fission,True,2,True,
MTFR1,Mito_fission,True,5,True,
MTFR1L,Mito_fission,True,8,True,
MTOR,YAP_mTOR,True,3,True,
NBR1,Mitophagy_core,True,6,True,
NFKB1,cGAS_STING,True,1,True,
OPA1,Mito_fusion,True,5,True,
OPTN,Mitophagy_core,True,3,True,
PHB2,Mitophagy_core,True,3,True,
PINK1,Mitophagy_core,True,2,True,
PLD6,Mito_fusion,True,2,True,
PMAIP1,mtDNA_release,True,2,True,
RELA,cGAS_STING,True,3,True,
RHEB,YAP_mTOR,True,4,True,
RPS6KB1,YAP_mTOR,True,7,True,
RPTOR,YAP_mTOR,True,6,True,
SQSTM1,Mitophagy_core,True,5,True,
TAX1BP1,Mitophagy_core,True,5,True,
TBK1,Mitophagy_core;cGAS_STING,True,2,True,
TEAD1,YAP_mTOR,True,3,True,
TEAD4,YAP_mTOR,True,1,True,
TMEM173,cGAS_STING,True,1,True,
TNF,cGAS_STING,True,1,True,
TSC1,YAP_mTOR,True,4,True,
TSC2,YAP_mTOR,True,2,True,
ULK1,Mitophagy_core,True,1,True,
VCP,Mitophagy_core,True,4,True,
VDAC1,Mitophagy_core;mtDNA_release,True,1,True,
VDAC2,mtDNA_release,True,2,True,
VDAC3,mtDNA_release,True,3,True,
WWTR1,YAP_mTOR,True,3,True,
YAP1,YAP_mTOR,True,8,True,
