probe_id,raw_gene_symbol,parsed_gene_symbol,mapping_status,n_probes_for_gene
11715100_at,HIST1H3G,HIST1H3G,single_symbol,4
11715101_s_at,HIST1H3G,HIST1H3G,single_symbol,4
11715102_x_at,HIST1H3G,HIST1H3G,single_symbol,4
11715103_x_at,TNFAIP8L1,TNFAIP8L1,single_symbol,2
11715104_s_at,OTOP2,OTOP2,single_symbol,2
11715105_at,C17orf78,C17orf78,single_symbol,1
11715106_x_at,CTAGE15 /// CTAGE6,CTAGE15,multi_symbol_first_valid_used,3
11715107_s_at,F8A1 /// F8A2 /// F8A3,F8A1,multi_symbol_first_valid_used,2
11715108_x_at,LINC01098,LINC01098,single_symbol,2
11715109_at,SAMD7,SAMD7,single_symbol,1
11715110_at,ARRDC5,ARRDC5,single_symbol,1
11715111_s_at,CGB /// CGB1 /// CGB2 /// CGB5 /// CGB7 /// CGB8,CGB,multi_symbol_first_valid_used,5
11715112_at,ERICH3,ERICH3,single_symbol,1
11715113_x_at,FAM86C1,FAM86C1,single_symbol,3
11715114_x_at,FAM86C1,FAM86C1,single_symbol,3
11715115_s_at,HIST1H2BI,HIST1H2BI,single_symbol,3
11715116_s_at,HIST1H4E,HIST1H4E,single_symbol,2
11715117_x_at,HIST1H2AJ,HIST1H2AJ,single_symbol,1
11715118_s_at,HIST1H2BF,HIST1H2BF,single_symbol,3
11715119_s_at,C2CD4B,C2CD4B,single_symbol,1
11715120_s_at,HIST1H2BE,HIST1H2BE,single_symbol,3
11715121_s_at,HIST1H3A,HIST1H3A,single_symbol,2
11715122_at,RAB3D,RAB3D,single_symbol,1
11715123_s_at,PDZD9,PDZD9,single_symbol,2
11715124_s_at,CACNG8,CACNG8,single_symbol,1
11715125_at,MORC2,MORC2,single_symbol,1
11715126_s_at,HIST1H2BN,HIST1H2BN,single_symbol,1
11715127_s_at,GPR32,GPR32,single_symbol,3
11715128_s_at,PCDHGB5,PCDHGB5,single_symbol,2
11715129_s_at,ZNF600,ZNF600,single_symbol,1
11715130_s_at,KRTAP6-2,KRTAP6-2,single_symbol,2
11715131_s_at,KRTAP20-1,KRTAP20-1,single_symbol,2
11715132_x_at,HIST1H2BH,HIST1H2BH,single_symbol,3
11715133_s_at,PCDHGA1,PCDHGA1,single_symbol,8
11715134_s_at,GLIPR1L2,GLIPR1L2,single_symbol,1
11715135_s_at,SNAPC5,SNAPC5,single_symbol,3
11715136_at,OR8U1 /// OR8U9,OR8U1,multi_symbol_first_valid_used,2
11715137_s_at,SSX2B /// SSX7,SSX2B,multi_symbol_first_valid_used,2
11715138_s_at,CGB /// CGB1 /// CGB2 /// CGB5 /// CGB7 /// CGB8,CGB,multi_symbol_first_valid_used,5
11715139_x_at,IFNA10,IFNA10,single_symbol,1
11715140_s_at,PCDHA13,PCDHA13,single_symbol,1
11715141_s_at,PCDHGB3,PCDHGB3,single_symbol,1
11715142_s_at,GSC2,GSC2,single_symbol,2
11715143_s_at,OR9Q2,OR9Q2,single_symbol,2
11715144_s_at,KRTAP19-7,KRTAP19-7,single_symbol,2
11715145_s_at,KRTAP20-2,KRTAP20-2,single_symbol,2
11715146_x_at,SSX2B /// SSX7,SSX2B,multi_symbol_first_valid_used,2
11715147_at,MAATS1,MAATS1,single_symbol,1
11715148_s_at,HIST2H2AB,HIST2H2AB,single_symbol,3
11715149_x_at,HIST2H2AB,HIST2H2AB,single_symbol,3
11715150_s_at,PCDHA4,PCDHA4,single_symbol,2
11715151_x_at,PRB3,PRB3,single_symbol,1
11715152_at,PCDHGB1,PCDHGB1,single_symbol,2
11715153_s_at,PCDHGB1,PCDHGB1,single_symbol,2
11715154_s_at,ZNF675,ZNF675,single_symbol,1
11715155_s_at,TUBB7P /// TUBB8 /// TUBB8P7 /// TUBBP5,TUBB7P,multi_symbol_first_valid_used,4
11715156_s_at,KRTAP6-1,KRTAP6-1,single_symbol,2
11715157_s_at,KRTAP19-2,KRTAP19-2,single_symbol,2
11715158_s_at,KRTAP19-4,KRTAP19-4,single_symbol,2
11715159_at,SFT2D1,SFT2D1,single_symbol,1
11715160_x_at,LOC650293,LOC650293,single_symbol,2
11715161_s_at,KRTAP21-2,KRTAP21-2,single_symbol,2
11715162_s_at,HIST1H2AK,HIST1H2AK,single_symbol,3
11715163_s_at,DEFB128,DEFB128,single_symbol,2
11715164_s_at,IGLL3P,IGLL3P,single_symbol,1
11715165_at,DNAJC12,DNAJC12,single_symbol,2
11715166_at,DNAJC12,DNAJC12,single_symbol,2
11715167_at,ARHGAP22,ARHGAP22,single_symbol,1
11715168_s_at,POU3F3,POU3F3,single_symbol,2
11715169_at,PLEKHG2,PLEKHG2,single_symbol,1
11715170_x_at,HNRNPCL1,HNRNPCL1,single_symbol,1
11715171_at,DEPDC5,DEPDC5,single_symbol,3
11715172_at,DEPDC5,DEPDC5,single_symbol,3
11715173_s_at,KRTAP10-12,KRTAP10-12,single_symbol,1
11715174_s_at,KRTAP10-1,KRTAP10-1,single_symbol,1
11715175_x_at,KRTAP10-3,KRTAP10-3,single_symbol,1
11715176_at,TDRKH,TDRKH,single_symbol,2
11715177_s_at,TDRKH,TDRKH,single_symbol,2
11715178_s_at,OR2A14,OR2A14,single_symbol,2
11715179_s_at,KRTAP19-1,KRTAP19-1,single_symbol,3
11715180_s_at,CGB1 /// CGB2,CGB1,multi_symbol_first_valid_used,2
11715181_x_at,KRTAP10-9,KRTAP10-9,single_symbol,1
11715182_x_at,FAM86C1,FAM86C1,single_symbol,3
11715183_s_at,ZNF391,ZNF391,single_symbol,2
