sample_id,label_numeric,label_text,source_metadata_text,included,exclusion_reason
GSM3507251,0,steroid-exposed non-SONFH,disease: non-SONFH,True,
GSM3507252,0,steroid-exposed non-SONFH,disease: non-SONFH,True,
GSM3507253,0,steroid-exposed non-SONFH,disease: non-SONFH,True,
GSM3507254,0,steroid-exposed non-SONFH,disease: non-SONFH,True,
GSM3507255,0,steroid-exposed non-SONFH,disease: non-SONFH,True,
GSM3507256,0,steroid-exposed non-SONFH,disease: non-SONFH,True,
GSM3507257,0,steroid-exposed non-SONFH,disease: non-SONFH,True,
GSM3507258,0,steroid-exposed non-SONFH,disease: non-SONFH,True,
GSM3507259,0,steroid-exposed non-SONFH,disease: non-SONFH,True,
GSM3507260,0,steroid-exposed non-SONFH,disease: non-SONFH,True,
GSM3507261,1,SONFH,disease: SONFH,True,
GSM3507262,1,SONFH,disease: SONFH,True,
GSM3507263,1,SONFH,disease: SONFH,True,
GSM3507264,1,SONFH,disease: SONFH,True,
GSM3507265,1,SONFH,disease: SONFH,True,
GSM3507266,1,SONFH,disease: SONFH,True,
GSM3507267,1,SONFH,disease: SONFH,True,
GSM3507268,1,SONFH,disease: SONFH,True,
GSM3507269,1,SONFH,disease: SONFH,True,
GSM3507270,1,SONFH,disease: SONFH,True,
GSM3507271,1,SONFH,disease: SONFH,True,
GSM3507272,1,SONFH,disease: SONFH,True,
GSM3507273,1,SONFH,disease: SONFH,True,
GSM3507274,1,SONFH,disease: SONFH,True,
GSM3507275,1,SONFH,disease: SONFH,True,
GSM3507276,1,SONFH,disease: SONFH,True,
GSM3507277,1,SONFH,disease: SONFH,True,
GSM3507278,1,SONFH,disease: SONFH,True,
GSM3507279,1,SONFH,disease: SONFH,True,
GSM3507280,1,SONFH,disease: SONFH,True,
GSM3507281,1,SONFH,disease: SONFH,True,
GSM3507282,1,SONFH,disease: SONFH,True,
GSM3507283,1,SONFH,disease: SONFH,True,
GSM3507284,1,SONFH,disease: SONFH,True,
GSM3507285,1,SONFH,disease: SONFH,True,
GSM3507286,1,SONFH,disease: SONFH,True,
GSM3507287,1,SONFH,disease: SONFH,True,
GSM3507288,1,SONFH,disease: SONFH,True,
GSM3507289,1,SONFH,disease: SONFH,True,
GSM3507290,1,SONFH,disease: SONFH,True,
