gene,n_outer_fits,n_nonzero,nonzero_frequency,n_positive,n_negative,positive_frequency_all_fits,negative_frequency_all_fits,dominant_direction,direction_consistency_given_selected,coefficient_median_all,coefficient_q1_all,coefficient_q3_all,coefficient_median_nonzero,coefficient_q1_nonzero,coefficient_q3_nonzero,stable_frequency_ge_0_60,stable_frequency_and_direction,repeat_0_nonzero_count,repeat_1_nonzero_count,repeat_2_nonzero_count,repeat_3_nonzero_count,repeat_4_nonzero_count
AKT1,25,5,0.2,5,0,0.2,0.0,positive,1.0,0.0,0.0,0.0,0.07442146407380162,0.04479052091826033,0.14990842349427008,False,False,2,1,1,0,1
AMBRA1,25,18,0.72,0,18,0.0,0.72,negative,1.0,-1.5550428542767287,-2.1747597097091003,0.0,-1.9384795407274313,-2.729161418713886,-1.4062639061290858,True,True,3,3,4,4,4
ATG5,25,0,0.0,0,0,0.0,0.0,not_selected,,0.0,0.0,0.0,,,,False,False,0,0,0,0,0
ATG7,25,9,0.36,9,0,0.36,0.0,positive,1.0,0.0,0.0,0.08843553832630237,0.1209562620682239,0.08843553832630237,0.1548181937187728,False,False,2,3,3,0,1
BAK1,25,1,0.04,1,0,0.04,0.0,positive,1.0,0.0,0.0,0.0,0.13346963939538625,0.13346963939538625,0.13346963939538625,False,False,0,0,1,0,0
BAX,25,6,0.24,0,6,0.0,0.24,negative,1.0,0.0,0.0,0.0,-0.42165900033253506,-0.5284909263399882,-0.35367694684102896,False,False,2,1,1,1,1
BBC3,25,1,0.04,1,0,0.04,0.0,positive,1.0,0.0,0.0,0.0,0.028203838429278448,0.028203838429278448,0.028203838429278448,False,False,0,0,0,1,0
BCL2,25,7,0.28,7,0,0.28,0.0,positive,1.0,0.0,0.0,0.10436366999504579,0.516774471235216,0.2119560711334018,0.7025635923314026,False,False,2,2,1,1,1
BCL2L1,25,5,0.2,0,5,0.0,0.2,negative,1.0,0.0,0.0,0.0,-1.0330062261275135,-1.2809660313354856,-0.5474424728591393,False,False,1,1,1,1,1
BCL2L13,25,0,0.0,0,0,0.0,0.0,not_selected,,0.0,0.0,0.0,,,,False,False,0,0,0,0,0
BID,25,5,0.2,5,0,0.2,0.0,positive,1.0,0.0,0.0,0.0,0.4246537437434432,0.37498889191154844,0.5300632396398393,False,False,1,1,1,1,1
BNIP3,25,5,0.2,5,0,0.2,0.0,positive,1.0,0.0,0.0,0.0,0.2163023548103252,0.20342599045535759,0.24071529058470978,False,False,0,0,2,2,1
BNIP3L,25,13,0.52,0,13,0.0,0.52,negative,1.0,-0.026607791729011822,-0.5926462735857605,0.0,-0.5926462735857605,-0.9048906238065858,-0.27853550339559624,False,False,3,2,4,2,2
CALCOCO2,25,1,0.04,0,1,0.0,0.04,negative,1.0,0.0,0.0,0.0,-0.5389583679238368,-0.5389583679238368,-0.5389583679238368,False,False,0,0,1,0,0
CCL5,25,0,0.0,0,0,0.0,0.0,not_selected,,0.0,0.0,0.0,,,,False,False,0,0,0,0,0
CHUK,25,0,0.0,0,0,0.0,0.0,not_selected,,0.0,0.0,0.0,,,,False,False,0,0,0,0,0
CXCL10,25,0,0.0,0,0,0.0,0.0,not_selected,,0.0,0.0,0.0,,,,False,False,0,0,0,0,0
DNM1,25,0,0.0,0,0,0.0,0.0,not_selected,,0.0,0.0,0.0,,,,False,False,0,0,0,0,0
DNM1L,25,0,0.0,0,0,0.0,0.0,not_selected,,0.0,0.0,0.0,,,,False,False,0,0,0,0,0
DNM2,25,0,0.0,0,0,0.0,0.0,not_selected,,0.0,0.0,0.0,,,,False,False,0,0,0,0,0
EIF4EBP1,25,2,0.08,0,2,0.0,0.08,negative,1.0,0.0,0.0,0.0,-0.14578940540739216,-0.16398431924613002,-0.12759449156865427,False,False,0,0,2,0,0
FIS1,25,4,0.16,0,4,0.0,0.16,negative,1.0,0.0,0.0,0.0,-0.1520671038468847,-0.2194124129649329,-0.08540074278959109,False,False,1,1,2,0,0
FKBP8,25,19,0.76,0,19,0.0,0.76,negative,1.0,-0.9958974538149261,-1.7416082133061594,-0.05015446677204878,-1.4981378772504397,-2.223527326296818,-0.9496487588343987,True,True,3,4,4,4,4
FUNDC1,25,0,0.0,0,0,0.0,0.0,not_selected,,0.0,0.0,0.0,,,,False,False,0,0,0,0,0
GABARAP,25,0,0.0,0,0,0.0,0.0,not_selected,,0.0,0.0,0.0,,,,False,False,0,0,0,0,0
GABARAPL2,25,19,0.76,0,19,0.0,0.76,negative,1.0,-1.0311483999123359,-1.5603474715335237,-0.23170713311484428,-1.2488634252836954,-1.828818722080708,-0.5684917541915132,True,True,4,4,3,4,4
GDAP1,25,0,0.0,0,0,0.0,0.0,not_selected,,0.0,0.0,0.0,,,,False,False,0,0,0,0,0
GIGYF1,25,0,0.0,0,0,0.0,0.0,not_selected,,0.0,0.0,0.0,,,,False,False,0,0,0,0,0
GIGYF2,25,3,0.12,3,0,0.12,0.0,positive,1.0,0.0,0.0,0.0,0.30180317103536625,0.2291152109522011,0.3697058011331806,False,False,1,0,1,0,1
HIF1A,25,0,0.0,0,0,0.0,0.0,not_selected,,0.0,0.0,0.0,,,,False,False,0,0,0,0,0
IKBKB,25,0,0.0,0,0,0.0,0.0,not_selected,,0.0,0.0,0.0,,,,False,False,0,0,0,0,0
IL6,25,0,0.0,0,0,0.0,0.0,not_selected,,0.0,0.0,0.0,,,,False,False,0,0,0,0,0
INF2,25,0,0.0,0,0,0.0,0.0,not_selected,,0.0,0.0,0.0,,,,False,False,0,0,0,0,0
IRF3,25,0,0.0,0,0,0.0,0.0,not_selected,,0.0,0.0,0.0,,,,False,False,0,0,0,0,0
IRF7,25,0,0.0,0,0,0.0,0.0,not_selected,,0.0,0.0,0.0,,,,False,False,0,0,0,0,0
LATS1,25,0,0.0,0,0,0.0,0.0,not_selected,,0.0,0.0,0.0,,,,False,False,0,0,0,0,0
LATS2,25,1,0.04,0,1,0.0,0.04,negative,1.0,0.0,0.0,0.0,-0.04041312363608696,-0.04041312363608696,-0.04041312363608696,False,False,0,0,1,0,0
MAP1LC3B,25,10,0.4,0,10,0.0,0.4,negative,1.0,0.0,-0.5673169581345031,0.0,-0.7408988229924608,-1.3507761851418478,-0.3511760289561885,False,False,0,3,2,3,2
MCL1,25,2,0.08,2,0,0.08,0.0,positive,1.0,0.0,0.0,0.0,0.12316766517087081,0.10692389423851634,0.1394114361032253,False,False,1,1,0,0,0
MFF,25,0,0.0,0,0,0.0,0.0,not_selected,,0.0,0.0,0.0,,,,False,False,0,0,0,0,0
MFN1,25,6,0.24,0,6,0.0,0.24,negative,1.0,0.0,0.0,0.0,-0.32490888485912417,-0.6807827979513117,-0.14673178969833278,False,False,1,1,2,1,1
