repeat,outer_fold,sample_id,label
0,0,GSM3507255,0
0,0,GSM3507259,0
0,0,GSM3507269,1
0,0,GSM3507273,1
0,0,GSM3507274,1
0,0,GSM3507279,1
0,0,GSM3507284,1
0,0,GSM3507290,1
0,1,GSM3507251,0
0,1,GSM3507258,0
0,1,GSM3507264,1
0,1,GSM3507268,1
0,1,GSM3507276,1
0,1,GSM3507277,1
0,1,GSM3507282,1
0,1,GSM3507288,1
0,2,GSM3507253,0
0,2,GSM3507260,0
0,2,GSM3507263,1
0,2,GSM3507267,1
0,2,GSM3507278,1
0,2,GSM3507280,1
0,2,GSM3507281,1
0,2,GSM3507285,1
0,3,GSM3507256,0
0,3,GSM3507257,0
0,3,GSM3507261,1
0,3,GSM3507262,1
0,3,GSM3507265,1
0,3,GSM3507271,1
0,3,GSM3507272,1
0,3,GSM3507289,1
0,4,GSM3507252,0
0,4,GSM3507254,0
0,4,GSM3507266,1
0,4,GSM3507270,1
0,4,GSM3507275,1
0,4,GSM3507283,1
0,4,GSM3507286,1
0,4,GSM3507287,1
1,0,GSM3507255,0
1,0,GSM3507257,0
1,0,GSM3507261,1
1,0,GSM3507262,1
1,0,GSM3507274,1
1,0,GSM3507276,1
1,0,GSM3507278,1
1,0,GSM3507284,1
1,1,GSM3507251,0
1,1,GSM3507256,0
1,1,GSM3507264,1
1,1,GSM3507277,1
1,1,GSM3507280,1
1,1,GSM3507281,1
1,1,GSM3507288,1
1,1,GSM3507290,1
1,2,GSM3507254,0
1,2,GSM3507260,0
1,2,GSM3507265,1
1,2,GSM3507268,1
1,2,GSM3507269,1
1,2,GSM3507272,1
1,2,GSM3507279,1
1,2,GSM3507289,1
1,3,GSM3507253,0
1,3,GSM3507258,0
1,3,GSM3507263,1
1,3,GSM3507267,1
1,3,GSM3507270,1
1,3,GSM3507271,1
1,3,GSM3507285,1
1,3,GSM3507286,1
1,4,GSM3507252,0
1,4,GSM3507259,0
1,4,GSM3507266,1
1,4,GSM3507273,1
1,4,GSM3507275,1
1,4,GSM3507282,1
1,4,GSM3507283,1
1,4,GSM3507287,1
2,0,GSM3507252,0
2,0,GSM3507254,0
2,0,GSM3507262,1
2,0,GSM3507263,1
2,0,GSM3507274,1
2,0,GSM3507280,1
2,0,GSM3507282,1
2,0,GSM3507284,1
2,1,GSM3507256,0
2,1,GSM3507257,0
2,1,GSM3507261,1
2,1,GSM3507270,1
2,1,GSM3507279,1
2,1,GSM3507281,1
2,1,GSM3507283,1
2,1,GSM3507290,1
2,2,GSM3507251,0
2,2,GSM3507253,0
2,2,GSM3507264,1
2,2,GSM3507265,1
2,2,GSM3507266,1
2,2,GSM3507267,1
2,2,GSM3507273,1
2,2,GSM3507288,1
2,3,GSM3507255,0
2,3,GSM3507258,0
2,3,GSM3507269,1
2,3,GSM3507271,1
2,3,GSM3507275,1
2,3,GSM3507277,1
2,3,GSM3507286,1
2,3,GSM3507289,1
2,4,GSM3507259,0
2,4,GSM3507260,0
2,4,GSM3507268,1
2,4,GSM3507272,1
2,4,GSM3507276,1
2,4,GSM3507278,1
2,4,GSM3507285,1
2,4,GSM3507287,1
3,0,GSM3507253,0
3,0,GSM3507258,0
3,0,GSM3507265,1
3,0,GSM3507268,1
3,0,GSM3507277,1
3,0,GSM3507278,1
3,0,GSM3507280,1
3,0,GSM3507286,1
3,1,GSM3507254,0
3,1,GSM3507259,0
3,1,GSM3507263,1
3,1,GSM3507270,1
3,1,GSM3507276,1
3,1,GSM3507283,1
3,1,GSM3507287,1
3,1,GSM3507290,1
3,2,GSM3507251,0
3,2,GSM3507252,0
3,2,GSM3507266,1
3,2,GSM3507269,1
3,2,GSM3507272,1
3,2,GSM3507281,1
3,2,GSM3507282,1
3,2,GSM3507284,1
3,3,GSM3507256,0
3,3,GSM3507257,0
3,3,GSM3507264,1
3,3,GSM3507271,1
3,3,GSM3507279,1
3,3,GSM3507285,1
3,3,GSM3507288,1
3,3,GSM3507289,1
3,4,GSM3507255,0
3,4,GSM3507260,0
3,4,GSM3507261,1
3,4,GSM3507262,1
3,4,GSM3507267,1
3,4,GSM3507273,1
3,4,GSM3507274,1
3,4,GSM3507275,1
4,0,GSM3507257,0
4,0,GSM3507258,0
4,0,GSM3507269,1
4,0,GSM3507271,1
4,0,GSM3507272,1
4,0,GSM3507278,1
4,0,GSM3507279,1
4,0,GSM3507284,1
4,1,GSM3507251,0
4,1,GSM3507255,0
4,1,GSM3507268,1
4,1,GSM3507277,1
4,1,GSM3507280,1
4,1,GSM3507281,1
4,1,GSM3507285,1
4,1,GSM3507290,1
4,2,GSM3507253,0
4,2,GSM3507259,0
4,2,GSM3507262,1
4,2,GSM3507263,1
4,2,GSM3507266,1
4,2,GSM3507274,1
4,2,GSM3507282,1
4,2,GSM3507289,1
4,3,GSM3507256,0
4,3,GSM3507260,0
4,3,GSM3507264,1
4,3,GSM3507265,1
4,3,GSM3507270,1
4,3,GSM3507276,1
4,3,GSM3507283,1
4,3,GSM3507288,1
4,4,GSM3507252,0
4,4,GSM3507254,0
4,4,GSM3507261,1
4,4,GSM3507267,1
4,4,GSM3507273,1
4,4,GSM3507275,1
4,4,GSM3507286,1
4,4,GSM3507287,1
