repeat,outer_fold,model,gene,selected_probe,n_candidate_probes,training_mean_expression,tie_count,selection_rule
0,0,candidate,AKT1,11716087_s_at,3,7.296121750000001,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,AMBRA1,11741563_a_at,3,6.433952812499999,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,ATG5,11718147_a_at,3,6.38694946875,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,ATG7,11750782_a_at,3,5.81387221875,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,BAK1,11748849_a_at,5,7.14882546875,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,BAX,11742537_a_at,2,6.36585171875,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,BBC3,11727707_a_at,2,8.3353759375,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,BCL2,11721377_x_at,6,7.3996164375,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,BCL2L1,11739958_x_at,3,9.58260675,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,BCL2L13,11747880_a_at,7,7.5622381249999995,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,BID,11732218_x_at,4,8.244200375,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,BNIP3,11743084_s_at,2,5.554248,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,BNIP3L,11746802_x_at,6,11.0238528125,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,CALCOCO2,11744395_s_at,5,8.586916718749999,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,CCL5,11753810_a_at,3,10.82962571875,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,CHUK,11754797_a_at,1,6.665322124999999,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,CXCL10,11720298_at,1,4.91789971875,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,DNM1,11761584_x_at,3,5.2452796875,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,DNM1L,11742435_a_at,4,7.437852968750001,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,DNM2,11735759_a_at,3,9.33775565625,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,EIF4EBP1,11718284_x_at,3,7.25980459375,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,FIS1,11723286_a_at,1,8.21025909375,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,FKBP8,11743133_a_at,3,7.2677984375,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,FUNDC1,11731671_at,1,6.1140595,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,GABARAP,11715479_a_at,4,11.5270075,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,GABARAPL2,11754495_x_at,4,10.117942718750001,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,GDAP1,11739561_at,4,4.24103653125,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,GIGYF1,11720122_at,5,7.962704437499999,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,GIGYF2,11739463_a_at,7,6.01879621875,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,HIF1A,11718757_s_at,8,9.181779375000001,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,IKBKB,11730928_a_at,11,8.02209990625,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,IL6,11760425_a_at,2,4.45307921875,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,INF2,11736439_a_at,5,6.110680593750001,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,IRF3,11745499_x_at,6,6.4522291875,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,IRF7,11718916_a_at,1,8.7115616875,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,LATS1,11745334_a_at,3,3.002324125,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,LATS2,11755581_a_at,3,6.91376109375,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,MAP1LC3B,11738984_x_at,4,9.53892878125,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,MCL1,11715483_s_at,6,11.984478531250002,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,MFF,11745184_a_at,5,7.71610675,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,MFN1,11731456_at,3,6.6980678750000004,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,MFN2,11741010_a_at,3,8.467629437500001,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,MIEF1,11757944_s_at,3,6.28456475,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,MIEF2,11735347_a_at,1,4.312738375,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,MST1,11721819_x_at,2,5.15131275,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,MTCH2,11721075_a_at,2,6.931392499999999,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,MTFR1,11725658_a_at,5,5.68015390625,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,MTFR1L,11735789_a_at,8,7.03116621875,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,MTOR,11716134_a_at,3,6.42827703125,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,NBR1,11738519_x_at,6,7.76459259375,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,NFKB1,11717542_a_at,1,8.80908215625,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,OPA1,11757614_s_at,5,6.22586896875,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,OPTN,11745271_x_at,3,8.79686409375,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,PHB2,11715383_a_at,3,8.742765625,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,PINK1,11726996_at,2,8.925368156249998,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,PLD6,11725448_at,2,4.7149410624999994,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,PMAIP1,11724509_a_at,2,6.63198540625,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,RELA,11745440_s_at,3,7.8856759062499995,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,RHEB,11716260_s_at,4,8.395106343750001,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,RPS6KB1,11750648_x_at,7,6.730444593750001,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,RPTOR,11722498_s_at,6,4.83515021875,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,SQSTM1,11756761_x_at,5,9.142495531249999,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,TAX1BP1,11752195_s_at,5,9.407565,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,TBK1,11717931_at,2,7.733459375,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,TEAD1,11752086_a_at,3,5.435367718749999,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,TEAD4,11733699_a_at,1,4.8171046875,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,TMEM173,11727044_a_at,1,6.9623925,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,TNF,11721577_at,1,6.4910690312499995,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,TSC1,11718820_at,4,7.25751628125,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,TSC2,11756886_a_at,2,6.11301034375,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,ULK1,11744271_a_at,1,6.468667125,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,VCP,11745875_x_at,4,8.2066398125,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,VDAC1,11715655_s_at,1,7.57857684375,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,VDAC2,11748509_s_at,2,9.438983718749999,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,VDAC3,11754510_s_at,3,9.316917375,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,WWTR1,11755099_a_at,3,6.717266875,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,candidate,YAP1,11717924_a_at,8,4.560860249999999,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,ma,BID,11732218_x_at,4,8.244200375,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,ma,FTH1,11757633_x_at,2,12.270650625,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,ma,LACTB,11721387_at,2,7.5799241875000005,1,highest outer-training mean; exact ties by lexicographic probe ID
0,0,ma,PDK3,11730952_a_at,1,5.842877281249999,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,AKT1,11716087_s_at,3,7.244176031249999,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,AMBRA1,11741563_a_at,3,6.40416965625,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,ATG5,11718147_a_at,3,6.310839125,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,ATG7,11750782_a_at,3,5.778621218750001,1,highest outer-training mean; exact ties by lexicographic probe ID
0,1,candidate,BAK1,11748849_a_at,5,7.1517515,1,highest outer-training mean; exact ties by lexicographic probe ID
