repeat,model,auc,average_precision,brier
0,candidate,0.89,0.9547009331289402,0.11200467513185078
0,ma,0.7966666666666666,0.8961373295286896,0.24633491990795847
1,candidate,0.8166666666666667,0.9112834556969084,0.11494130554230164
1,ma,0.7066666666666667,0.8473456764602612,0.2219204588880416
2,candidate,0.8766666666666667,0.9508110581615481,0.10499737431026172
2,ma,0.7033333333333334,0.8212613535977002,0.21653215825151012
3,candidate,0.8833333333333333,0.9549805631205267,0.10715011499729651
3,ma,0.76,0.8500398183389072,0.2079518009041066
4,candidate,0.8966666666666666,0.9595567240692368,0.09183362772357699
4,ma,0.7866666666666666,0.8635798100005336,0.21600931794803477
