repeat,outer_fold,model,best_C,best_inner_auc,inner_splits,convergence_warnings,n_iter,n_nonzero
0,0,candidate,100.0,0.8958333333333333,4,0,13,11
0,0,ma,0.001,0.7916666666666666,4,0,3,4
0,1,candidate,0.46415888336127775,0.9791666666666667,4,0,12,6
0,1,ma,0.001,0.8541666666666667,4,0,3,4
0,2,candidate,0.1,0.9791666666666667,4,0,4,1
0,2,ma,0.001,0.9166666666666666,4,0,3,4
0,3,candidate,0.21544346900318823,0.7708333333333334,4,0,12,7
0,3,ma,0.001,0.7708333333333333,4,0,3,4
0,4,candidate,2.154434690031882,0.7291666666666666,4,0,12,9
0,4,ma,0.001,0.7291666666666666,4,0,3,4
1,0,candidate,4.6415888336127775,0.9375,4,0,15,10
1,0,ma,2.154434690031882,0.7916666666666667,4,0,5,4
1,1,candidate,0.46415888336127775,0.9791666666666667,4,0,11,5
1,1,ma,0.1,0.8125,4,0,4,4
1,2,candidate,2.154434690031882,0.9375,4,0,10,7
1,2,ma,0.001,0.875,4,0,3,4
1,3,candidate,0.21544346900318823,1.0,4,0,16,5
1,3,ma,1.0,0.8958333333333334,4,0,6,4
1,4,candidate,4.6415888336127775,0.8958333333333334,4,0,13,11
1,4,ma,0.001,0.8125,4,0,3,4
2,0,candidate,100.0,1.0,4,0,12,14
2,0,ma,0.001,0.75,4,0,3,4
2,1,candidate,100.0,0.7916666666666667,4,0,12,15
2,1,ma,100.0,0.7499999999999999,4,0,5,4
2,2,candidate,0.1,0.9791666666666667,4,0,15,4
2,2,ma,1.0,0.875,4,0,4,4
2,3,candidate,1.0,0.875,4,0,13,9
2,3,ma,0.01,0.8333333333333334,4,0,3,4
2,4,candidate,21.54434690031882,0.9791666666666667,4,0,14,9
2,4,ma,21.54434690031882,0.9583333333333334,4,0,7,4
3,0,candidate,0.1,1.0,4,0,5,1
3,0,ma,0.046415888336127774,0.875,4,0,4,4
3,1,candidate,21.54434690031882,0.9375,4,0,13,10
3,1,ma,0.001,0.7916666666666667,4,0,3,4
3,2,candidate,0.46415888336127775,0.9583333333333333,4,0,12,8
3,2,ma,0.001,0.8125,4,0,3,4
3,3,candidate,21.54434690031882,0.7708333333333333,4,0,13,10
3,3,ma,1.0,0.7708333333333333,4,0,4,4
3,4,candidate,4.6415888336127775,0.9375,4,0,13,8
3,4,ma,2.154434690031882,0.9375,4,0,6,4
4,0,candidate,0.1,1.0,4,0,10,2
4,0,ma,0.001,0.8333333333333334,4,0,3,4
4,1,candidate,2.154434690031882,0.9791666666666667,4,0,13,7
4,1,ma,0.1,0.8125,4,0,4,4
4,2,candidate,4.6415888336127775,0.875,4,0,15,10
4,2,ma,0.001,0.7708333333333334,4,0,3,4
4,3,candidate,1.0,0.8541666666666667,4,0,12,8
4,3,ma,0.21544346900318823,0.9166666666666667,4,0,5,4
4,4,candidate,4.6415888336127775,0.9791666666666667,4,0,12,10
4,4,ma,10.0,0.8125,4,0,7,4
