"task_id","auc","type"
0,0.496666666666667,"label permutation"
1,0.388333333333333,"label permutation"
2,0.813333333333333,"label permutation"
3,0.886666666666667,"label permutation"
4,0.423333333333333,"label permutation"
5,0.7,"label permutation"
6,0.76,"label permutation"
7,0.633333333333333,"label permutation"
8,0.436666666666667,"label permutation"
9,0.463333333333333,"label permutation"
10,0.493333333333333,"label permutation"
11,0.703333333333333,"label permutation"
12,0.553333333333333,"label permutation"
13,0.416666666666667,"label permutation"
14,0.406666666666667,"label permutation"
15,0.466666666666667,"label permutation"
16,0.72,"label permutation"
17,0.38,"label permutation"
18,0.476666666666667,"label permutation"
19,0.496666666666667,"label permutation"
20,0.443333333333333,"label permutation"
21,0.385,"label permutation"
22,0.31,"label permutation"
23,0.583333333333333,"label permutation"
24,0.723333333333333,"label permutation"
25,0.48,"label permutation"
26,0.66,"label permutation"
27,0.58,"label permutation"
28,0.773333333333333,"label permutation"
29,0.285,"label permutation"
30,0.683333333333333,"label permutation"
31,0.773333333333333,"label permutation"
32,0.213333333333333,"label permutation"
33,0.28,"label permutation"
34,0.376666666666667,"label permutation"
35,0.46,"label permutation"
36,0.873333333333333,"label permutation"
37,0.646666666666667,"label permutation"
38,0.38,"label permutation"
39,0.646666666666667,"label permutation"
40,0.396666666666667,"label permutation"
41,0.293333333333333,"label permutation"
42,0.35,"label permutation"
43,0.53,"label permutation"
44,0.228333333333333,"label permutation"
45,0.72,"label permutation"
46,0.145,"label permutation"
47,0.743333333333333,"label permutation"
48,0.483333333333333,"label permutation"
49,0.483333333333333,"label permutation"
50,0.7,"label permutation"
51,0.483333333333333,"label permutation"
52,0.393333333333333,"label permutation"
53,0.753333333333333,"label permutation"
54,0.793333333333333,"label permutation"
55,0.573333333333333,"label permutation"
56,0.553333333333333,"label permutation"
57,0.57,"label permutation"
58,0.398333333333333,"label permutation"
59,0.466666666666667,"label permutation"
60,0.353333333333333,"label permutation"
61,0.613333333333333,"label permutation"
62,0.316666666666667,"label permutation"
63,0.843333333333333,"label permutation"
64,0.436666666666667,"label permutation"
65,0.526666666666667,"label permutation"
66,0.363333333333333,"label permutation"
67,0.316666666666667,"label permutation"
68,0.366666666666667,"label permutation"
69,0.3,"label permutation"
70,0.316666666666667,"label permutation"
71,0.506666666666667,"label permutation"
72,0.423333333333333,"label permutation"
73,0.415,"label permutation"
74,0.57,"label permutation"
75,0.473333333333333,"label permutation"
76,0.445,"label permutation"
77,0.336666666666667,"label permutation"
78,0.603333333333333,"label permutation"
79,0.476666666666667,"label permutation"
80,0.75,"label permutation"
81,0.78,"label permutation"
