"gene","n_outer_fits","n_nonzero","nonzero_frequency","n_positive","n_negative","positive_frequency_all_fits","negative_frequency_all_fits","dominant_direction","direction_consistency_given_selected","coefficient_median_all","coefficient_q1_all","coefficient_q3_all","coefficient_median_nonzero","coefficient_q1_nonzero","coefficient_q3_nonzero","stable_frequency_ge_0_60","stable_frequency_and_direction","repeat_0_nonzero_count","repeat_1_nonzero_count","repeat_2_nonzero_count","repeat_3_nonzero_count","repeat_4_nonzero_count","direction"
"FKBP8",25,19,0.76,0,19,0,0.76,"negative",1,-0.995897453814926,-1.74160821330616,-0.0501544667720488,-1.49813787725044,-2.22352732629682,-0.949648758834399,"True","True",3,4,4,4,4,"negative"
"GABARAPL2",25,19,0.76,0,19,0,0.76,"negative",1,-1.03114839991234,-1.56034747153352,-0.231707133114844,-1.2488634252837,-1.82881872208071,-0.568491754191513,"True","True",4,4,3,4,4,"negative"
"AMBRA1",25,18,0.72,0,18,0,0.72,"negative",1,-1.55504285427673,-2.1747597097091,0,-1.93847954072743,-2.72916141871389,-1.40626390612909,"True","True",3,3,4,4,4,"negative"
"YAP1",25,16,0.64,16,0,0.64,0,"positive",1,0.291664768142742,0,0.99471949560787,0.869132043608843,0.300366130799507,1.04541565044823,"True","True",2,3,3,4,4,"positive"
"BNIP3L",25,13,0.52,0,13,0,0.52,"negative",1,-0.0266077917290118,-0.59264627358576,0,-0.59264627358576,-0.904890623806586,-0.278535503395596,"False","False",3,2,4,2,2,"negative"
"MAP1LC3B",25,10,0.4,0,10,0,0.4,"negative",1,0,-0.567316958134503,0,-0.740898822992461,-1.35077618514185,-0.351176028956188,"False","False",0,3,2,3,2,"negative"
"TAX1BP1",25,10,0.4,0,10,0,0.4,"negative",1,0,-0.585783430072736,0,-0.862502291768492,-1.48572494609952,-0.543497376232583,"False","False",1,2,2,3,2,"negative"
"ATG7",25,9,0.36,9,0,0.36,0,"positive",1,0,0,0.0884355383263024,0.120956262068224,0.0884355383263024,0.154818193718773,"False","False",2,3,3,0,1,"positive"
"ULK1",25,9,0.36,9,0,0.36,0,"positive",1,0,0,0.129794689801305,0.172137724992769,0.129794689801305,0.398592640233337,"False","False",2,1,2,2,2,"positive"
"BCL2",25,7,0.28,7,0,0.28,0,"positive",1,0,0,0.104363669995046,0.516774471235216,0.211956071133402,0.702563592331403,"False","False",2,2,1,1,1,"positive"
"BAX",25,6,0.24,0,6,0,0.24,"negative",1,0,0,0,-0.421659000332535,-0.528490926339988,-0.353676946841029,"False","False",2,1,1,1,1,"negative"
"MFN1",25,6,0.24,0,6,0,0.24,"negative",1,0,0,0,-0.324908884859124,-0.680782797951312,-0.146731789698333,"False","False",1,1,2,1,1,"negative"
"AKT1",25,5,0.2,5,0,0.2,0,"positive",1,0,0,0,0.0744214640738016,0.0447905209182603,0.14990842349427,"False","False",2,1,1,0,1,"positive"
"BCL2L1",25,5,0.2,0,5,0,0.2,"negative",1,0,0,0,-1.03300622612751,-1.28096603133549,-0.547442472859139,"False","False",1,1,1,1,1,"negative"
"BID",25,5,0.2,5,0,0.2,0,"positive",1,0,0,0,0.424653743743443,0.374988891911548,0.530063239639839,"False","False",1,1,1,1,1,"positive"
