family,endpoint,unit,contrast,n_a,n_b,median_a,median_b,median_difference_a_minus_b,hodges_lehmann_shift_a_minus_b,rank_biserial_a_gt_b,hl_participant_bootstrap_ci95_low,hl_participant_bootstrap_ci95_high,exact_permutation_mwu_p,minimum_two_sided_p_no_ties,interval_note,bh_fdr_within_family_and_contrast
major-cell composition,EC,percentage points,ONFH_3A_vs_HOA,3,3,4.839181286549708,11.792086889061288,-6.95290560251158,0.7179631217962035,0.11111111111111116,-10.594595917763055,14.59908474747311,1.0,0.1,Exhaustive within-group participant-resampling percentile interval; descriptive at n=3/group. The exact two-sided 95% shift interval is unbounded because the smallest no-tie p value is 0.10.,1.0
major-cell composition,EC,percentage points,ONFH_4_vs_ONFH_3A,3,3,3.3480993097764498,4.839181286549708,-1.4910819767732586,-1.4910819767732586,-0.11111111111111116,-23.043072326757947,2.305301079775661,1.0,0.1,Exhaustive within-group participant-resampling percentile interval; descriptive at n=3/group. The exact two-sided 95% shift interval is unbounded because the smallest no-tie p value is 0.10.,1.0
major-cell composition,EC,percentage points,ONFH_4_vs_HOA,3,3,3.3480993097764498,11.792086889061288,-8.443987579284839,-6.5270342151400955,-0.33333333333333337,-10.323417271689015,2.868571460274421,0.7,0.1,Exhaustive within-group participant-resampling percentile interval; descriptive at n=3/group. The exact two-sided 95% shift interval is unbounded because the smallest no-tie p value is 0.10.,0.7
EC-state composition,lymphatic,percentage points,ONFH_3A_vs_HOA,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,Exhaustive within-group participant-resampling percentile interval; descriptive at n=3/group. The exact two-sided 95% shift interval is unbounded because the smallest no-tie p value is 0.10.,1.0
EC-state composition,lymphatic,percentage points,ONFH_4_vs_ONFH_3A,3,3,0.3184713375796179,0.0,0.3184713375796179,0.3184713375796179,0.6666666666666667,0.0,1.3333333333333337,0.4,0.1,Exhaustive within-group participant-resampling percentile interval; descriptive at n=3/group. The exact two-sided 95% shift interval is unbounded because the smallest no-tie p value is 0.10.,0.8
EC-state composition,lymphatic,percentage points,ONFH_4_vs_HOA,3,3,0.3184713375796179,0.0,0.3184713375796179,0.3184713375796179,0.6666666666666667,0.0,1.3333333333333337,0.4,0.1,Exhaustive within-group participant-resampling percentile interval; descriptive at n=3/group. The exact two-sided 95% shift interval is unbounded because the smallest no-tie p value is 0.10.,0.5333333333333333
EC-state composition,typeH_EMCN_KDR,percentage points,ONFH_3A_vs_HOA,3,3,35.34743202416919,34.078947368421055,1.2684846557481322,4.82295482295482,0.33333333333333326,-2.3329156223893115,16.36589248923019,0.7,0.1,Exhaustive within-group participant-resampling percentile interval; descriptive at n=3/group. The exact two-sided 95% shift interval is unbounded because the smallest no-tie p value is 0.10.,1.0
EC-state composition,typeH_EMCN_KDR,percentage points,ONFH_4_vs_ONFH_3A,3,3,45.33333333333333,35.34743202416919,9.985901309164142,1.693458699828124,0.11111111111111116,-5.111506524317917,13.587301587301585,1.0,0.1,Exhaustive within-group participant-resampling percentile interval; descriptive at n=3/group. The exact two-sided 95% shift interval is unbounded because the smallest no-tie p value is 0.10.,1.0
EC-state composition,typeH_EMCN_KDR,percentage points,ONFH_4_vs_HOA,3,3,45.33333333333333,34.078947368421055,11.254385964912274,9.800722767165723,0.5555555555555556,-0.6394569225611875,18.410256410256405,0.4,0.1,Exhaustive within-group participant-resampling percentile interval; descriptive at n=3/group. The exact two-sided 95% shift interval is unbounded because the smallest no-tie p value is 0.10.,0.5333333333333333
EC-state composition,typeR_bone_remodel,percentage points,ONFH_3A_vs_HOA,3,3,20.634920634920636,20.709491850431448,-0.07457121551081158,-0.12362855779933213,-0.33333333333333337,-13.980463980463977,4.557412064159301,0.7,0.1,Exhaustive within-group participant-resampling percentile interval; descriptive at n=3/group. The exact two-sided 95% shift interval is unbounded because the smallest no-tie p value is 0.10.,1.0
