program,control_gene
EC marker enrichment,AAGAB
EC marker enrichment,ABCA1
EC marker enrichment,ABHD15
EC marker enrichment,ABHD16A
EC marker enrichment,AC005551.1
EC marker enrichment,ACTB
EC marker enrichment,ACTG1
EC marker enrichment,ACTN1
EC marker enrichment,ADAMTS2
EC marker enrichment,ADD3
EC marker enrichment,ADM
EC marker enrichment,AKNA
EC marker enrichment,ALPK1
EC marker enrichment,ALS2
EC marker enrichment,ANGPT1
EC marker enrichment,ANKRD50
EC marker enrichment,ANXA9
EC marker enrichment,AP1B1
EC marker enrichment,APMAP
EC marker enrichment,ARFIP1
EC marker enrichment,ARHGAP6
EC marker enrichment,ARHGEF10
EC marker enrichment,ARHGEF2
EC marker enrichment,ARPC1A
EC marker enrichment,ASCC3
EC marker enrichment,ATG10
EC marker enrichment,ATP2B3
EC marker enrichment,AUP1
EC marker enrichment,BAHD1
EC marker enrichment,BLZF1
EC marker enrichment,BPNT1
EC marker enrichment,BPTF
EC marker enrichment,BTK
EC marker enrichment,C11orf80
EC marker enrichment,C16orf54
EC marker enrichment,C1R
EC marker enrichment,C1orf198
EC marker enrichment,C3
EC marker enrichment,C8orf33
EC marker enrichment,CABP7
EC marker enrichment,CALCOCO1
EC marker enrichment,CALD1
EC marker enrichment,CAPNS1
EC marker enrichment,CAVIN1
EC marker enrichment,CCDC163
EC marker enrichment,CCDC194
EC marker enrichment,CCDC32
EC marker enrichment,CCDC8
EC marker enrichment,CCDC88A
EC marker enrichment,CCN3
EC marker enrichment,CCNH
EC marker enrichment,CD24
EC marker enrichment,CD3G
EC marker enrichment,CD74
EC marker enrichment,CD82
EC marker enrichment,CDK14
EC marker enrichment,CERS5
EC marker enrichment,CFB
EC marker enrichment,CFL1
EC marker enrichment,CHST1
EC marker enrichment,CHTF18
EC marker enrichment,CISH
EC marker enrichment,CKB
EC marker enrichment,CLK1
EC marker enrichment,CLN5
EC marker enrichment,CLU
EC marker enrichment,CLUH
EC marker enrichment,CMTR2
EC marker enrichment,CNMD
EC marker enrichment,CNN2
EC marker enrichment,COA4
EC marker enrichment,COL16A1
EC marker enrichment,COL1A2
EC marker enrichment,COL6A2
EC marker enrichment,COQ5
EC marker enrichment,COX16
EC marker enrichment,COX7C
EC marker enrichment,CSNK1D
EC marker enrichment,CSRP1
EC marker enrichment,CTDSP1
EC marker enrichment,CTPS1
EC marker enrichment,CTSO
EC marker enrichment,CYB5B
EC marker enrichment,CYTH4
EC marker enrichment,DAZAP2
EC marker enrichment,DCAF11
EC marker enrichment,DDX59
EC marker enrichment,DHRSX
EC marker enrichment,DIPK2B
EC marker enrichment,DLC1
EC marker enrichment,DNAJB11
EC marker enrichment,DNM3
EC marker enrichment,DNTTIP1
EC marker enrichment,DNTTIP2
EC marker enrichment,DPYD
EC marker enrichment,DQX1
EC marker enrichment,DSPP
EC marker enrichment,DSTN
EC marker enrichment,DTD1
EC marker enrichment,DYM
EC marker enrichment,DYNLL1
EC marker enrichment,EARS2
EC marker enrichment,EFCAB13
