sample,dataset,group,Ambiguous,lymphatic,typeH_EMCN_KDR
onfh1,liao_alcohol,ONFH_3A,85.76512455516014,0.0,14.23487544483986
onfh2,liao_alcohol,ONFH_3A,93.65079365079364,0.0,6.349206349206349
onfh3,liao_alcohol,ONFH_3A,73.1117824773414,0.0,26.888217522658607
onfh4,liao_alcohol,ONFH_4,81.33333333333333,1.3333333333333335,17.333333333333336
onfh5,liao_alcohol,ONFH_4,88.05732484076432,0.3184713375796179,11.624203821656051
onfh6,liao_alcohol,ONFH_4,92.3076923076923,0.0,7.6923076923076925
hoa1,liao_alcohol,HOA,100.0,0.0,0.0
hoa2,liao_alcohol,HOA,91.17929050814956,0.0,8.820709491850431
hoa3,liao_alcohol,HOA,95.0,0.0,5.0
fnf1,liao_alcohol,FNF,71.42857142857143,0.0,28.57142857142857
fnf2,liao_alcohol,FNF,85.3211009174312,0.0,14.678899082568808
S1,healthy,Healthy,86.20689655172413,0.0,13.793103448275861
S2,healthy,Healthy,89.34426229508196,0.0,10.655737704918032
S3,healthy,Healthy,76.19047619047619,0.0,23.809523809523807
S4,healthy,Healthy,87.93103448275862,0.0,12.068965517241379
AL,sonfh_cystic,SONFH,70.10542168674698,2.33433734939759,27.56024096385542
bone,sonfh_cystic,SONFH,59.91797166293811,0.0,40.08202833706189
DWR,sonfh_cystic,SONFH,54.064719810576165,0.0,45.935280189423835
WXJ,sonfh_cystic,SONFH,71.07001321003963,0.0,28.92998678996037
