analysis,margin_threshold,test,group_a,group_b,n_a,n_b,median_a,median_b,median_difference_percentage_points,hodges_lehmann,rank_biserial,exact_p
margin_0.10,0.1,Liao_exact_Kruskal_Wallis,HOA_ONFH_3A_ONFH_4,,9,,,,,,,0.07142857142857142
margin_0.10,0.1,exact_Mann_Whitney,ONFH_3A,HOA,3,3.0,24.733096085409255,9.210526315789473,15.522569769619782,17.901243508007635,1.0,0.1
margin_0.10,0.1,exact_Mann_Whitney,ONFH_4,ONFH_3A,3,3.0,21.53846153846154,24.733096085409255,-3.1946345469477144,-2.8055808310585384,-0.11111111111111116,1.0
margin_0.10,0.1,exact_Mann_Whitney,ONFH_4,HOA,3,3.0,21.53846153846154,9.210526315789473,12.327935222672068,16.24203821656051,1.0,0.1
margin_0.15,0.15,Liao_exact_Kruskal_Wallis,HOA_ONFH_3A_ONFH_4,,9,,,,,,,0.23214285714285715
margin_0.15,0.15,exact_Mann_Whitney,ONFH_3A,HOA,3,3.0,14.23487544483986,5.0,9.23487544483986,9.23487544483986,0.7777777777777777,0.2
margin_0.15,0.15,exact_Mann_Whitney,ONFH_4,ONFH_3A,3,3.0,11.624203821656051,14.23487544483986,-2.6106716231838085,-2.6106716231838085,-0.11111111111111116,1.0
margin_0.15,0.15,exact_Mann_Whitney,ONFH_4,HOA,3,3.0,11.624203821656051,5.0,6.624203821656051,7.6923076923076925,0.7777777777777777,0.2
margin_0.20,0.2,Liao_exact_Kruskal_Wallis,HOA_ONFH_3A_ONFH_4,,9,,,,,,,0.23214285714285715
margin_0.20,0.2,exact_Mann_Whitney,ONFH_3A,HOA,3,3.0,14.23487544483986,5.0,9.23487544483986,9.23487544483986,0.7777777777777777,0.2
margin_0.20,0.2,exact_Mann_Whitney,ONFH_4,ONFH_3A,3,3.0,11.624203821656051,14.23487544483986,-2.6106716231838085,-2.6106716231838085,-0.11111111111111116,1.0
margin_0.20,0.2,exact_Mann_Whitney,ONFH_4,HOA,3,3.0,11.624203821656051,5.0,6.624203821656051,7.6923076923076925,0.7777777777777777,0.2
