cluster,top_panel,second_panel,top_score,second_score,top_two_margin
0,Plasma,RBC,2.198249101638794,0.33997592329978943,1.8582731783390045
1,Adipo_lineage,EC,1.4914356470108032,1.4874227046966553,0.004012942314147949
2,Myeloid,Osteoclast,1.4159104824066162,1.1121822595596313,0.30372822284698486
3,EC,MSC_stromal,1.7268444299697876,0.7345426082611084,0.9923018217086792
4,NK,T_cell,2.2519237995147705,0.7755021452903748,1.4764216542243958
5,T_cell,Osteoblast,0.8119574189186096,0.7076120376586914,0.10434538125991821
6,EC,Osteoblast,1.7095263004302979,0.7440091967582703,0.9655171036720276
7,T_cell,RBC,0.9446018934249878,0.29079368710517883,0.653808206319809
8,T_cell,NK,1.060227394104004,0.5313560366630554,0.5288713574409485
9,T_cell,NK,0.8718316555023193,0.2629427909851074,0.6088888645172119
10,Mast,RBC,1.3008304834365845,0.46047940850257874,0.8403510749340057
11,B_cell,Plasma,1.4701117277145386,0.3155670464038849,1.1545446813106537
12,Granulocyte,RBC,3.552967071533203,1.7773326635360718,1.7756344079971313
13,Plasma,RBC,0.8981344103813171,0.8257066607475281,0.07242774963378906
14,Granulocyte,Myeloid,2.3837740421295166,1.333564043045044,1.0502099990844727
15,Myeloid,Granulocyte,1.5140206813812256,0.6847860217094421,0.8292346596717834
16,Chondrocyte,Osteoblast,1.0642468929290771,0.9661646485328674,0.09808224439620972
17,T_cell,NK,1.2408863306045532,0.8458173871040344,0.3950689435005188
18,T_cell,NK,0.9213058948516846,0.5998425483703613,0.32146334648132324
19,Plasma,pDC,1.8775094747543335,1.7267732620239258,0.15073621273040771
20,MSC_stromal,Osteoblast,1.3098324537277222,1.1733654737472534,0.13646697998046875
21,Osteoblast,MSC_stromal,1.2738350629806519,0.7296432852745056,0.5441917777061462
22,Pericyte_SMC,Osteoblast,1.5232373476028442,0.7247634530067444,0.7984738945960999
23,Adipo_lineage,Osteoblast,1.9066224098205566,1.1120026111602783,0.7946197986602783
24,Osteoblast,MSC_stromal,1.178270697593689,0.31464341282844543,0.8636272847652435
25,Granulocyte,Myeloid,1.798971176147461,0.49283504486083984,1.306136131286621
