sample,dataset,group,retained_cells,original_combat_ec_cells,no_combat_ec_cells,original_combat_ec_percent,no_combat_ec_percent,difference_percentage_points
AL,sonfh_cystic,SONFH,7002,1328,480,18.966009711510996,6.855184233076264,-12.110825478434732
DWR,sonfh_cystic,SONFH,8654,3801,3995,43.92188583314074,46.16362375779986,2.2417379246591196
S1,healthy,Healthy,2589,29,3,1.1201235998455001,0.11587485515643106,-1.004248744689069
S2,healthy,Healthy,4816,122,1,2.5332225913621262,0.020764119601328904,-2.512458471760797
S3,healthy,Healthy,1858,42,2,2.2604951560818085,0.10764262648008611,-2.1528525296017222
S4,healthy,Healthy,3858,58,5,1.503369621565578,0.12960082944530846,-1.3737687921202697
WXJ,sonfh_cystic,SONFH,11061,757,752,6.843865834915468,6.798661965464244,-0.045203869451224676
bone,sonfh_cystic,SONFH,9467,2682,2640,28.32998838069082,27.886342030210205,-0.4436463504806163
fnf1,liao_alcohol,FNF,3580,14,0,0.39106145251396646,0.0,-0.39106145251396646
fnf2,liao_alcohol,FNF,3471,218,1,6.280610774992797,0.02881014116969173,-6.251800633823105
hoa1,liao_alcohol,HOA,5422,26,0,0.47952784950202876,0.0,-0.47952784950202876
hoa2,liao_alcohol,HOA,7629,1043,23,13.671516581465461,0.3014811901953074,-13.370035391270154
hoa3,liao_alcohol,HOA,6445,760,7,11.792086889061288,0.10861132660977502,-11.683475562451513
onfh1,liao_alcohol,ONFH_3A,4259,1124,16,26.3911716365344,0.3756750410894576,-26.01549659544494
onfh2,liao_alcohol,ONFH_3A,5261,63,5,1.1974909712982322,0.09503896597605017,-1.102452005322182
onfh3,liao_alcohol,ONFH_3A,6840,331,25,4.8391812865497075,0.3654970760233918,-4.473684210526316
onfh4,liao_alcohol,ONFH_4,4863,75,5,1.5422578655151142,0.10281719103434094,-1.4394406744807733
onfh5,liao_alcohol,ONFH_4,8790,628,81,7.14448236632537,0.9215017064846417,-6.2229806598407285
onfh6,liao_alcohol,ONFH_4,9707,325,24,3.34809930977645,0.24724425672195324,-3.100855053054497
