sample,dataset,group,lymphatic,typeH_EMCN_KDR,typeR_bone_remodel,venous_ACKR1
onfh1,liao_alcohol,ONFH_3A,0.0,98.48754448398577,0.9786476868327402,0.5338078291814947
onfh2,liao_alcohol,ONFH_3A,0.0,49.2063492063492,11.11111111111111,39.682539682539684
onfh3,liao_alcohol,ONFH_3A,0.0,22.356495468277945,8.761329305135952,68.8821752265861
onfh4,liao_alcohol,ONFH_4,1.3333333333333335,74.66666666666667,0.0,24.0
onfh5,liao_alcohol,ONFH_4,0.3184713375796179,51.910828025477706,3.9808917197452227,43.789808917197455
onfh6,liao_alcohol,ONFH_4,0.0,62.46153846153846,2.1538461538461537,35.38461538461539
hoa1,liao_alcohol,HOA,0.0,69.23076923076923,7.6923076923076925,23.076923076923077
hoa2,liao_alcohol,HOA,0.0,70.27804410354746,3.64333652924257,26.07861936720997
hoa3,liao_alcohol,HOA,0.0,56.05263157894736,3.026315789473684,40.921052631578945
fnf1,liao_alcohol,FNF,7.142857142857142,85.71428571428571,0.0,7.142857142857142
fnf2,liao_alcohol,FNF,0.0,97.70642201834863,1.3761467889908259,0.9174311926605505
S1,healthy,Healthy,0.0,96.55172413793103,3.4482758620689653,0.0
S2,healthy,Healthy,0.0,100.0,0.0,0.0
S3,healthy,Healthy,0.0,80.95238095238095,2.380952380952381,16.666666666666664
S4,healthy,Healthy,0.0,100.0,0.0,0.0
AL,sonfh_cystic,SONFH,2.33433734939759,90.28614457831326,7.30421686746988,0.07530120481927711
bone,sonfh_cystic,SONFH,0.0,95.2647278150634,4.735272184936615,0.0
DWR,sonfh_cystic,SONFH,0.026308866087871613,92.50197316495658,7.471717968955538,0.0
WXJ,sonfh_cystic,SONFH,0.0,31.307793923381773,68.42800528401585,0.26420079260237783
