rank_hoa2,Gene,Distance_hoa2,boxcox-transformed distance_hoa2,Z_hoa2,FC_hoa2,p-value_hoa2,adjusted p-value_hoa2,rank_hoa3,Distance_hoa3,boxcox-transformed distance_hoa3,Z_hoa3,FC_hoa3,p-value_hoa3,adjusted p-value_hoa3,mean_rank,max_rank,replicated_top50,replicated_fdr_0_05,replicated_nominal_0_05
1,SQSTM1,0.000339849670154207,-7.384607115729735,1.7987378310504258,285.1253637619176,5.737543993800677e-64,1.7212631981402032e-61,1,0.0006461596574737004,-6.831582721361832,1.8493651348411801,270.6059910378559,8.372143939244653e-61,2.5116431817733957e-58,1.0,1,True,True,True
2,VWF,3.3960380763027783e-05,-9.305086289853001,1.4908372871509967,2.8471296798586745,0.09153723043701391,0.9999999999964178,4,4.088119792589023e-05,-9.151145563287285,1.4749998777553393,1.083190779777771,0.2979848518614231,0.9999999999972699,3.0,4,True,False,False
15,TNFAIP3,9.961130665737008e-06,-10.292379197891066,1.3325496954556872,0.24495111512772194,0.6206528064396724,0.9999999999964178,10,1.9776664849937692e-05,-9.740415827581806,1.3798947527730219,0.253491753443229,0.6146270874787199,0.9999999999972699,12.5,15,True,False,False
24,EGR1,9.729159041710819e-06,-10.311111764737415,1.3295463994041918,0.23367526964599267,0.6288119613980725,0.9999999999964178,3,0.0001254121038328284,-8.224597812378848,1.6245398172222143,10.193812350507313,0.001409126860654866,0.1409126860654866,13.5,24,True,False,False
13,MIR22HG,1.0011891787116396e-05,-10.288337102337568,1.333197743836625,0.24745397851153028,0.6188735424165469,0.9999999999964178,15,1.8229098127613478e-05,-9.806006801627,1.3693087141380191,0.21537143095346892,0.6425895159349672,0.9999999999972699,14.0,15,True,False,False
14,B3GNT5,9.995294937024171e-06,-10.289656491049671,1.3329862130335082,0.24663424282236118,0.6194550453191465,0.9999999999964178,18,1.800959884998135e-05,-9.81574916064074,1.3677363485737501,0.21021601873041018,0.6465981434300014,0.9999999999972699,16.0,18,True,False,False
28,HBEGF,9.653040992174396e-06,-10.317354076959504,1.328545601606294,0.23003316122910034,0.631499241031676,0.9999999999964178,14,1.8249207278057126e-05,-9.805120024090964,1.3694518353737344,0.21584686043210943,0.6422227882236277,0.9999999999972699,21.0,28,True,False,False
34,NFE2L2,9.51845889254499e-06,-10.328509920283494,1.3267570426500734,0.22366365835896154,0.63626246200817,0.9999999999964178,11,1.8969049973932064e-05,-9.773991126404175,1.3744758759277038,0.2332109238667686,0.6291531304187721,0.9999999999972699,22.5,34,True,False,False
22,TIPARP,9.819438461888276e-06,-10.303769859539557,1.330723489285789,0.23803205849850062,0.6256310927344045,0.9999999999964178,24,1.6913432620914494e-05,-9.866213066629543,1.3595917392544477,0.18540491516975185,0.6667689059461148,0.9999999999972699,23.0,24,True,False,False
12,C2CD4B,1.0046981129766491e-05,-10.285554671006937,1.333643836734485,0.24919155489893519,0.6176449045749132,0.9999999999964178,41,1.1466912029417337e-05,-10.177125925153124,1.309412037239625,0.08522179738947737,0.7703418838608447,0.9999999999972699,26.5,41,True,False,False
